title,artist,date,word,language
ASAP ,STAYC (스테이씨),2021-04-08,stayc,en
ASAP ,STAYC (스테이씨),2021-04-08,girls,en
ASAP ,STAYC (스테이씨),2021-04-08,its,en
ASAP ,STAYC (스테이씨),2021-04-08,going,en
ASAP ,STAYC (스테이씨),2021-04-08,down,en
ASAP ,STAYC (스테이씨),2021-04-08,time,en
ASAP ,STAYC (스테이씨),2021-04-08,is,en
ASAP ,STAYC (스테이씨),2021-04-08,running,en
ASAP ,STAYC (스테이씨),2021-04-08,boy,en
ASAP ,STAYC (스테이씨),2021-04-08,그건,ko
ASAP ,STAYC (스테이씨),2021-04-08,누구에겐,ko
ASAP ,STAYC (스테이씨),2021-04-08,돈,ko
ASAP ,STAYC (스테이씨),2021-04-08,you,en
ASAP ,STAYC (스테이씨),2021-04-08,know,en
ASAP ,STAYC (스테이씨),2021-04-08,im,en
ASAP ,STAYC (스테이씨),2021-04-08,so,en
ASAP ,STAYC (스테이씨),2021-04-08,dope,en
ASAP ,STAYC (스테이씨),2021-04-08,더는,ko
ASAP ,STAYC (스테이씨),2021-04-08,못,ko
ASAP ,STAYC (스테이씨),2021-04-08,기다려,ko
ASAP ,STAYC (스테이씨),2021-04-08,줘,ko
ASAP ,STAYC (스테이씨),2021-04-08,원래,ko
ASAP ,STAYC (스테이씨),2021-04-08,나는,ko
ASAP ,STAYC (스테이씨),2021-04-08,좀,ko
ASAP ,STAYC (스테이씨),2021-04-08,참을성이,ko
ASAP ,STAYC (스테이씨),2021-04-08,없는,ko
ASAP ,STAYC (스테이씨),2021-04-08,몸,ko
ASAP ,STAYC (스테이씨),2021-04-08,솔직한,ko
ASAP ,STAYC (스테이씨),2021-04-08,게,ko
ASAP ,STAYC (스테이씨),2021-04-08,좋은,ko
ASAP ,STAYC (스테이씨),2021-04-08,걸,ko
ASAP ,STAYC (스테이씨),2021-04-08,but,en
ASAP ,STAYC (스테이씨),2021-04-08,you,en
ASAP ,STAYC (스테이씨),2021-04-08,gotta,en
ASAP ,STAYC (스테이씨),2021-04-08,know,en
ASAP ,STAYC (스테이씨),2021-04-08,yeah,en
ASAP ,STAYC (스테이씨),2021-04-08,e,en
ASAP ,STAYC (스테이씨),2021-04-08,yeah,en
ASAP ,STAYC (스테이씨),2021-04-08,달콤하기만,ko
ASAP ,STAYC (스테이씨),2021-04-08,해도,ko
ASAP ,STAYC (스테이씨),2021-04-08,싫어,ko
ASAP ,STAYC (스테이씨),2021-04-08,so,en
ASAP ,STAYC (스테이씨),2021-04-08,check,en
ASAP ,STAYC (스테이씨),2021-04-08,it,en
ASAP ,STAYC (스테이씨),2021-04-08,매너,ko
ASAP ,STAYC (스테이씨),2021-04-08,좋은,ko
ASAP ,STAYC (스테이씨),2021-04-08,거,ko
ASAP ,STAYC (스테이씨),2021-04-08,착한,ko
ASAP ,STAYC (스테이씨),2021-04-08,거는,ko
ASAP ,STAYC (스테이씨),2021-04-08,나도,ko
ASAP ,STAYC (스테이씨),2021-04-08,구분해,ko
ASAP ,STAYC (스테이씨),2021-04-08,e,en
ASAP ,STAYC (스테이씨),2021-04-08,yeah,en
ASAP ,STAYC (스테이씨),2021-04-08,순간,ko
ASAP ,STAYC (스테이씨),2021-04-08,반짝할,ko
ASAP ,STAYC (스테이씨),2021-04-08,거면,ko
ASAP ,STAYC (스테이씨),2021-04-08,시작도,ko
ASAP ,STAYC (스테이씨),2021-04-08,않는,ko
ASAP ,STAYC (스테이씨),2021-04-08,걸,ko
ASAP ,STAYC (스테이씨),2021-04-08,sometimes,en
ASAP ,STAYC (스테이씨),2021-04-08,내가,ko
ASAP ,STAYC (스테이씨),2021-04-08,생각해도,ko
ASAP ,STAYC (스테이씨),2021-04-08,i,en
ASAP ,STAYC (스테이씨),2021-04-08,think,en
ASAP ,STAYC (스테이씨),2021-04-08,im,en
ASAP ,STAYC (스테이씨),2021-04-08,really,en
ASAP ,STAYC (스테이씨),2021-04-08,cool,en
ASAP ,STAYC (스테이씨),2021-04-08,asap,en
ASAP ,STAYC (스테이씨),2021-04-08,내,ko
ASAP ,STAYC (스테이씨),2021-04-08,반쪽,ko
ASAP ,STAYC (스테이씨),2021-04-08,아니,ko
ASAP ,STAYC (스테이씨),2021-04-08,완전,ko
ASAP ,STAYC (스테이씨),2021-04-08,copy,en
ASAP ,STAYC (스테이씨),2021-04-08,나와,ko
ASAP ,STAYC (스테이씨),2021-04-08,똑같아,ko
ASAP ,STAYC (스테이씨),2021-04-08,내,ko
ASAP ,STAYC (스테이씨),2021-04-08,맘,ko
ASAP ,STAYC (스테이씨),2021-04-08,잘,ko
ASAP ,STAYC (스테이씨),2021-04-08,알아줄,ko
ASAP ,STAYC (스테이씨),2021-04-08,asap,en
ASAP ,STAYC (스테이씨),2021-04-08,꼭,ko
ASAP ,STAYC (스테이씨),2021-04-08,닮은,ko
ASAP ,STAYC (스테이씨),2021-04-08,내,ko
ASAP ,STAYC (스테이씨),2021-04-08,decalcomanie,en
ASAP ,STAYC (스테이씨),2021-04-08,눈앞에,ko
ASAP ,STAYC (스테이씨),2021-04-08,나타나,ko
ASAP ,STAYC (스테이씨),2021-04-08,줘,ko
ASAP ,STAYC (스테이씨),2021-04-08,asap,en
ASAP ,STAYC (스테이씨),2021-04-08,whoo,en
ASAP ,STAYC (스테이씨),2021-04-08,woo,en
ASAP ,STAYC (스테이씨),2021-04-08,woo,en
ASAP ,STAYC (스테이씨),2021-04-08,woo,en
ASAP ,STAYC (스테이씨),2021-04-08,asap,en
ASAP ,STAYC (스테이씨),2021-04-08,whoo,en
ASAP ,STAYC (스테이씨),2021-04-08,woo,en
ASAP ,STAYC (스테이씨),2021-04-08,woo,en
ASAP ,STAYC (스테이씨),2021-04-08,woo,en
ASAP ,STAYC (스테이씨),2021-04-08,눈앞에,ko
ASAP ,STAYC (스테이씨),2021-04-08,눈앞에,ko
ASAP ,STAYC (스테이씨),2021-04-08,나타나,ko
ASAP ,STAYC (스테이씨),2021-04-08,줘,ko
ASAP ,STAYC (스테이씨),2021-04-08,no,en
ASAP ,STAYC (스테이씨),2021-04-08,im,en
ASAP ,STAYC (스테이씨),2021-04-08,not,en
ASAP ,STAYC (스테이씨),2021-04-08,picky,en
ASAP ,STAYC (스테이씨),2021-04-08,가끔,ko
ASAP ,STAYC (스테이씨),2021-04-08,까탈스럽대,ko
ASAP ,STAYC (스테이씨),2021-04-08,its,en
ASAP ,STAYC (스테이씨),2021-04-08,ok,en
ASAP ,STAYC (스테이씨),2021-04-08,but,en
ASAP ,STAYC (스테이씨),2021-04-08,i,en
ASAP ,STAYC (스테이씨),2021-04-08,care,en
ASAP ,STAYC (스테이씨),2021-04-08,콧대,ko
ASAP ,STAYC (스테이씨),2021-04-08,높대,ko
ASAP ,STAYC (스테이씨),2021-04-08,아닌데,ko
ASAP ,STAYC (스테이씨),2021-04-08,get,en
ASAP ,STAYC (스테이씨),2021-04-08,it,en
ASAP ,STAYC (스테이씨),2021-04-08,이해하게,ko
ASAP ,STAYC (스테이씨),2021-04-08,될,ko
ASAP ,STAYC (스테이씨),2021-04-08,걸,ko
ASAP ,STAYC (스테이씨),2021-04-08,너만,ko
ASAP ,STAYC (스테이씨),2021-04-08,나타나면,ko
ASAP ,STAYC (스테이씨),2021-04-08,so,en
ASAP ,STAYC (스테이씨),2021-04-08,baby,en
ASAP ,STAYC (스테이씨),2021-04-08,hurry,en
ASAP ,STAYC (스테이씨),2021-04-08,up,en
ASAP ,STAYC (스테이씨),2021-04-08,im,en
ASAP ,STAYC (스테이씨),2021-04-08,just,en
ASAP ,STAYC (스테이씨),2021-04-08,waiting,en
ASAP ,STAYC (스테이씨),2021-04-08,on,en
ASAP ,STAYC (스테이씨),2021-04-08,달콤하기만,ko
ASAP ,STAYC (스테이씨),2021-04-08,해도,ko
ASAP ,STAYC (스테이씨),2021-04-08,싫어,ko
ASAP ,STAYC (스테이씨),2021-04-08,so,en
ASAP ,STAYC (스테이씨),2021-04-08,check,en
ASAP ,STAYC (스테이씨),2021-04-08,it,en
ASAP ,STAYC (스테이씨),2021-04-08,겉만,ko
ASAP ,STAYC (스테이씨),2021-04-08,그런지,ko
ASAP ,STAYC (스테이씨),2021-04-08,진심인지,ko
ASAP ,STAYC (스테이씨),2021-04-08,나도,ko
ASAP ,STAYC (스테이씨),2021-04-08,구분해,ko
ASAP ,STAYC (스테이씨),2021-04-08,e,en
ASAP ,STAYC (스테이씨),2021-04-08,yeah,en
ASAP ,STAYC (스테이씨),2021-04-08,금방,ko
ASAP ,STAYC (스테이씨),2021-04-08,타오른다면,ko
ASAP ,STAYC (스테이씨),2021-04-08,쉽게,ko
ASAP ,STAYC (스테이씨),2021-04-08,꺼지는,ko
ASAP ,STAYC (스테이씨),2021-04-08,걸,ko
ASAP ,STAYC (스테이씨),2021-04-08,sometimes,en
ASAP ,STAYC (스테이씨),2021-04-08,내가,ko
ASAP ,STAYC (스테이씨),2021-04-08,생각해도,ko
ASAP ,STAYC (스테이씨),2021-04-08,i,en
ASAP ,STAYC (스테이씨),2021-04-08,think,en
ASAP ,STAYC (스테이씨),2021-04-08,im,en
ASAP ,STAYC (스테이씨),2021-04-08,really,en
ASAP ,STAYC (스테이씨),2021-04-08,cool,en
ASAP ,STAYC (스테이씨),2021-04-08,asap,en
ASAP ,STAYC (스테이씨),2021-04-08,내,ko
ASAP ,STAYC (스테이씨),2021-04-08,반쪽,ko
ASAP ,STAYC (스테이씨),2021-04-08,아니,ko
ASAP ,STAYC (스테이씨),2021-04-08,완전,ko
ASAP ,STAYC (스테이씨),2021-04-08,copy,en
ASAP ,STAYC (스테이씨),2021-04-08,나와,ko
ASAP ,STAYC (스테이씨),2021-04-08,똑같아,ko
ASAP ,STAYC (스테이씨),2021-04-08,내,ko
ASAP ,STAYC (스테이씨),2021-04-08,맘,ko
ASAP ,STAYC (스테이씨),2021-04-08,잘,ko
ASAP ,STAYC (스테이씨),2021-04-08,알아줄,ko
ASAP ,STAYC (스테이씨),2021-04-08,asap,en
