title,artist,date,word,language
SO BAD ,STAYC (스테이씨),2020-11-12,stayc,en
SO BAD ,STAYC (스테이씨),2020-11-12,girls,en
SO BAD ,STAYC (스테이씨),2020-11-12,its,en
SO BAD ,STAYC (스테이씨),2020-11-12,going,en
SO BAD ,STAYC (스테이씨),2020-11-12,down,en
SO BAD ,STAYC (스테이씨),2020-11-12,you,en
SO BAD ,STAYC (스테이씨),2020-11-12,stole,en
SO BAD ,STAYC (스테이씨),2020-11-12,my,en
SO BAD ,STAYC (스테이씨),2020-11-12,heart,en
SO BAD ,STAYC (스테이씨),2020-11-12,내,ko
SO BAD ,STAYC (스테이씨),2020-11-12,맘을,ko
SO BAD ,STAYC (스테이씨),2020-11-12,뺏지,ko
SO BAD ,STAYC (스테이씨),2020-11-12,i,en
SO BAD ,STAYC (스테이씨),2020-11-12,need,en
SO BAD ,STAYC (스테이씨),2020-11-12,your,en
SO BAD ,STAYC (스테이씨),2020-11-12,love,en
SO BAD ,STAYC (스테이씨),2020-11-12,사랑의,ko
SO BAD ,STAYC (스테이씨),2020-11-12,patch가,ko
SO BAD ,STAYC (스테이씨),2020-11-12,필요해,ko
SO BAD ,STAYC (스테이씨),2020-11-12,니,ko
SO BAD ,STAYC (스테이씨),2020-11-12,옆에,ko
SO BAD ,STAYC (스테이씨),2020-11-12,불러줘,ko
SO BAD ,STAYC (스테이씨),2020-11-12,and,en
SO BAD ,STAYC (스테이씨),2020-11-12,ill,en
SO BAD ,STAYC (스테이씨),2020-11-12,never,en
SO BAD ,STAYC (스테이씨),2020-11-12,go,en
SO BAD ,STAYC (스테이씨),2020-11-12,away,en
SO BAD ,STAYC (스테이씨),2020-11-12,마음속에,ko
SO BAD ,STAYC (스테이씨),2020-11-12,모든,ko
SO BAD ,STAYC (스테이씨),2020-11-12,걸,ko
SO BAD ,STAYC (스테이씨),2020-11-12,다,ko
SO BAD ,STAYC (스테이씨),2020-11-12,보여주면,ko
SO BAD ,STAYC (스테이씨),2020-11-12,서툴러,ko
SO BAD ,STAYC (스테이씨),2020-11-12,철이,ko
SO BAD ,STAYC (스테이씨),2020-11-12,없다,ko
SO BAD ,STAYC (스테이씨),2020-11-12,해도,ko
SO BAD ,STAYC (스테이씨),2020-11-12,괜찮아,ko
SO BAD ,STAYC (스테이씨),2020-11-12,난,ko
SO BAD ,STAYC (스테이씨),2020-11-12,그게,ko
SO BAD ,STAYC (스테이씨),2020-11-12,좋아,ko
SO BAD ,STAYC (스테이씨),2020-11-12,baby,en
SO BAD ,STAYC (스테이씨),2020-11-12,아무리,ko
