title,artist,date,word,language
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,theres,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,something,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,to,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,tell,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,you,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,you,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,want,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,me,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,to,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,share,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,it,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,with,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,you,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,stayc,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,girls,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,its,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,going,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,down,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,오늘,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,유난히,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,티가,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,더,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,나는,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,걸,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,모두,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,쳐다보는,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,게,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,다,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,보여,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,왠지,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,그럴수록,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,더,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,난,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,당당해져,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,기분,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,좋아지는,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,걸,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,머릴,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,넘기며,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,어디든,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,지나가네,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,내,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,달콤한,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,향수가,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,흩날리게,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,yeah,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,항상,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,날,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,꾸미는,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,게,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,좋아,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,예쁜,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,게,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,좋아,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,근데,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,들어봐,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,yeah,en
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,나도,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,알아,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,내,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,모습이,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,이뻐,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,보일지도,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,당돌한,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,걸지도,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,자꾸만,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,널,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,유혹하듯,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,보이겠지만,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,미안하지만,ko
Stereotype (색안경) ,STAYC (스테이씨),2021-09-06,색안경을,ko
