title,artist,date,word,language
Christmas EveL ,Stray Kids,2021-11-30,its,en
Christmas EveL ,Stray Kids,2021-11-30,christmas,en
Christmas EveL ,Stray Kids,2021-11-30,eve,en
Christmas EveL ,Stray Kids,2021-11-30,밤새,ko
Christmas EveL ,Stray Kids,2021-11-30,내린,ko
Christmas EveL ,Stray Kids,2021-11-30,눈은,ko
Christmas EveL ,Stray Kids,2021-11-30,잠깐만,ko
Christmas EveL ,Stray Kids,2021-11-30,예뻐,ko
Christmas EveL ,Stray Kids,2021-11-30,낭만은,ko
Christmas EveL ,Stray Kids,2021-11-30,개뿔,ko
Christmas EveL ,Stray Kids,2021-11-30,눈치,ko
Christmas EveL ,Stray Kids,2021-11-30,없는,ko
Christmas EveL ,Stray Kids,2021-11-30,차들,ko
Christmas EveL ,Stray Kids,2021-11-30,땜에,ko
Christmas EveL ,Stray Kids,2021-11-30,금방,ko
Christmas EveL ,Stray Kids,2021-11-30,새까매진,ko
Christmas EveL ,Stray Kids,2021-11-30,거,ko
Christmas EveL ,Stray Kids,2021-11-30,봐,ko
Christmas EveL ,Stray Kids,2021-11-30,걷기도,ko
Christmas EveL ,Stray Kids,2021-11-30,빡세,ko
Christmas EveL ,Stray Kids,2021-11-30,눈밭보단,ko
Christmas EveL ,Stray Kids,2021-11-30,갯벌,ko
Christmas EveL ,Stray Kids,2021-11-30,무릎까지,ko
Christmas EveL ,Stray Kids,2021-11-30,다,ko
Christmas EveL ,Stray Kids,2021-11-30,젖은,ko
Christmas EveL ,Stray Kids,2021-11-30,바지,ko
Christmas EveL ,Stray Kids,2021-11-30,조금,ko
Christmas EveL ,Stray Kids,2021-11-30,걷다가,ko
Christmas EveL ,Stray Kids,2021-11-30,나자빠짐,ko
Christmas EveL ,Stray Kids,2021-11-30,특별한,ko
Christmas EveL ,Stray Kids,2021-11-30,날,ko
Christmas EveL ,Stray Kids,2021-11-30,특별하길,ko
Christmas EveL ,Stray Kids,2021-11-30,변질됐지,ko
Christmas EveL ,Stray Kids,2021-11-30,별일,ko
Christmas EveL ,Stray Kids,2021-11-30,없길,ko
Christmas EveL ,Stray Kids,2021-11-30,뒹굴뒹굴,ko
Christmas EveL ,Stray Kids,2021-11-30,뒹굴다,ko
Christmas EveL ,Stray Kids,2021-11-30,눈덩이만,ko
Christmas EveL ,Stray Kids,2021-11-30,부었지,ko
Christmas EveL ,Stray Kids,2021-11-30,어제,ko
Christmas EveL ,Stray Kids,2021-11-30,만든,ko
Christmas EveL ,Stray Kids,2021-11-30,눈사람은,ko
Christmas EveL ,Stray Kids,2021-11-30,멀쩡하려나,ko
Christmas EveL ,Stray Kids,2021-11-30,아,ko
Christmas EveL ,Stray Kids,2021-11-30,따가,ko
Christmas EveL ,Stray Kids,2021-11-30,부러,ko
Christmas EveL ,Stray Kids,2021-11-30,칼바람에,ko
Christmas EveL ,Stray Kids,2021-11-30,베여,ko
Christmas EveL ,Stray Kids,2021-11-30,칭칭,ko
Christmas EveL ,Stray Kids,2021-11-30,brrr,en
Christmas EveL ,Stray Kids,2021-11-30,떨리는,ko
Christmas EveL ,Stray Kids,2021-11-30,목소리,ko
Christmas EveL ,Stray Kids,2021-11-30,컬러풀은,ko
Christmas EveL ,Stray Kids,2021-11-30,무슨,ko
Christmas EveL ,Stray Kids,2021-11-30,풀,en
Christmas EveL ,Stray Kids,2021-11-30,하나,ko
Christmas EveL ,Stray Kids,2021-11-30,안,ko
Christmas EveL ,Stray Kids,2021-11-30,보여,ko
Christmas EveL ,Stray Kids,2021-11-30,랩하다,ko
Christmas EveL ,Stray Kids,2021-11-30,콜록콜록콜록,ko
Christmas EveL ,Stray Kids,2021-11-30,기침,ko
Christmas EveL ,Stray Kids,2021-11-30,jack,en
Christmas EveL ,Stray Kids,2021-11-30,frost,en
Christmas EveL ,Stray Kids,2021-11-30,coming,en
Christmas EveL ,Stray Kids,2021-11-30,for,en
Christmas EveL ,Stray Kids,2021-11-30,yall,en
Christmas EveL ,Stray Kids,2021-11-30,run,en
Christmas EveL ,Stray Kids,2021-11-30,run,en
Christmas EveL ,Stray Kids,2021-11-30,뼈까지,ko
Christmas EveL ,Stray Kids,2021-11-30,시리게,ko
Christmas EveL ,Stray Kids,2021-11-30,하는,ko
Christmas EveL ,Stray Kids,2021-11-30,holiday,en
Christmas EveL ,Stray Kids,2021-11-30,silence,en
Christmas EveL ,Stray Kids,2021-11-30,특별한,ko
Christmas EveL ,Stray Kids,2021-11-30,거,ko
Christmas EveL ,Stray Kids,2021-11-30,하나,ko
Christmas EveL ,Stray Kids,2021-11-30,없는데,ko
Christmas EveL ,Stray Kids,2021-11-30,왜들,ko
Christmas EveL ,Stray Kids,2021-11-30,그렇게,ko
Christmas EveL ,Stray Kids,2021-11-30,기다렸는지,ko
Christmas EveL ,Stray Kids,2021-11-30,christmas,en
Christmas EveL ,Stray Kids,2021-11-30,evel,en
Christmas EveL ,Stray Kids,2021-11-30,merry,en
Christmas EveL ,Stray Kids,2021-11-30,christmas,en
Christmas EveL ,Stray Kids,2021-11-30,jingle,en
Christmas EveL ,Stray Kids,2021-11-30,jingle,en
Christmas EveL ,Stray Kids,2021-11-30,jingle,en
Christmas EveL ,Stray Kids,2021-11-30,all,en
Christmas EveL ,Stray Kids,2021-11-30,the,en
Christmas EveL ,Stray Kids,2021-11-30,way,en
Christmas EveL ,Stray Kids,2021-11-30,you,en
Christmas EveL ,Stray Kids,2021-11-30,got,en
Christmas EveL ,Stray Kids,2021-11-30,me,en
Christmas EveL ,Stray Kids,2021-11-30,spinning,en
Christmas EveL ,Stray Kids,2021-11-30,빙글빙글빙글,ko
Christmas EveL ,Stray Kids,2021-11-30,돌겠네,ko
Christmas EveL ,Stray Kids,2021-11-30,빙판,ko
Christmas EveL ,Stray Kids,2021-11-30,위,ko
Christmas EveL ,Stray Kids,2021-11-30,christmas,en
Christmas EveL ,Stray Kids,2021-11-30,아슬아슬,ko
Christmas EveL ,Stray Kids,2021-11-30,우당탕탕,ko
Christmas EveL ,Stray Kids,2021-11-30,i,en
Christmas EveL ,Stray Kids,2021-11-30,dont,en
Christmas EveL ,Stray Kids,2021-11-30,need,en
Christmas EveL ,Stray Kids,2021-11-30,no,en
Christmas EveL ,Stray Kids,2021-11-30,presents,en
Christmas EveL ,Stray Kids,2021-11-30,crossing,en
Christmas EveL ,Stray Kids,2021-11-30,out,en
Christmas EveL ,Stray Kids,2021-11-30,xmas,en
Christmas EveL ,Stray Kids,2021-11-30,추위만,ko
Christmas EveL ,Stray Kids,2021-11-30,거세져,ko
Christmas EveL ,Stray Kids,2021-11-30,장작,ko
Christmas EveL ,Stray Kids,2021-11-30,대신,ko
Christmas EveL ,Stray Kids,2021-11-30,애가,ko
Christmas EveL ,Stray Kids,2021-11-30,탄다,ko
Christmas EveL ,Stray Kids,2021-11-30,미끄런,ko
Christmas EveL ,Stray Kids,2021-11-30,길,ko
Christmas EveL ,Stray Kids,2021-11-30,덕에,ko
Christmas EveL ,Stray Kids,2021-11-30,차는,ko
Christmas EveL ,Stray Kids,2021-11-30,더,ko
Christmas EveL ,Stray Kids,2021-11-30,막혀,ko
Christmas EveL ,Stray Kids,2021-11-30,땡큐다,ko
Christmas EveL ,Stray Kids,2021-11-30,겨울아,ko
Christmas EveL ,Stray Kids,2021-11-30,입김이,ko
