title,artist,date,word,language
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,뒤엉킨,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,머릿속의,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,고민,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,털어,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,어디로,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,갈까,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,하는,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,질문,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,이젠,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,상관없어,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,발길이,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,닿는,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,대로,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,어떤,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,곳이든,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,난,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,runnin,en
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,느슨해진,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,신발,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,끈을,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,다시,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,묶어,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,movin,en
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,now,en
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,im,en
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,free,en
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,get,en
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,up,en
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,어디든,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,나는,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,갈,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,수,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,있어,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,free,en
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,get,en
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,up,en
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,갈,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,길을,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,가지,ko
Double Knot (OT9 Ver.) ,Stray Kids,2019-10-09,뭐든,ko
