title,artist,date,word,language
Hello Stranger ,Stray Kids,2020-07-17,두,ko
Hello Stranger ,Stray Kids,2020-07-17,눈이,ko
Hello Stranger ,Stray Kids,2020-07-17,마주친,ko
Hello Stranger ,Stray Kids,2020-07-17,느낌이,ko
Hello Stranger ,Stray Kids,2020-07-17,든,ko
Hello Stranger ,Stray Kids,2020-07-17,순간,ko
Hello Stranger ,Stray Kids,2020-07-17,멋대로,ko
Hello Stranger ,Stray Kids,2020-07-17,움직여,ko
Hello Stranger ,Stray Kids,2020-07-17,movin,en
Hello Stranger ,Stray Kids,2020-07-17,movin,en
Hello Stranger ,Stray Kids,2020-07-17,movin,en
Hello Stranger ,Stray Kids,2020-07-17,movin,en
Hello Stranger ,Stray Kids,2020-07-17,movin,en
Hello Stranger ,Stray Kids,2020-07-17,거리가,ko
Hello Stranger ,Stray Kids,2020-07-17,줄수록,ko
Hello Stranger ,Stray Kids,2020-07-17,생각은,ko
Hello Stranger ,Stray Kids,2020-07-17,늘어나,ko
Hello Stranger ,Stray Kids,2020-07-17,어떤,ko
Hello Stranger ,Stray Kids,2020-07-17,느낌인지,ko
Hello Stranger ,Stray Kids,2020-07-17,물음표만,ko
Hello Stranger ,Stray Kids,2020-07-17,가득한,ko
Hello Stranger ,Stray Kids,2020-07-17,내,ko
Hello Stranger ,Stray Kids,2020-07-17,마음,ko
Hello Stranger ,Stray Kids,2020-07-17,주변,ko
Hello Stranger ,Stray Kids,2020-07-17,아무도,ko
Hello Stranger ,Stray Kids,2020-07-17,보이지,ko
Hello Stranger ,Stray Kids,2020-07-17,않아,ko
Hello Stranger ,Stray Kids,2020-07-17,더,ko
Hello Stranger ,Stray Kids,2020-07-17,선명해져,ko
Hello Stranger ,Stray Kids,2020-07-17,가는,ko
Hello Stranger ,Stray Kids,2020-07-17,네,ko
Hello Stranger ,Stray Kids,2020-07-17,모습이,ko
Hello Stranger ,Stray Kids,2020-07-17,모두,ko
Hello Stranger ,Stray Kids,2020-07-17,흐려져,ko
Hello Stranger ,Stray Kids,2020-07-17,너만,ko
Hello Stranger ,Stray Kids,2020-07-17,빼고,ko
Hello Stranger ,Stray Kids,2020-07-17,뿌옇게,ko
Hello Stranger ,Stray Kids,2020-07-17,칠해진,ko
Hello Stranger ,Stray Kids,2020-07-17,이,ko
Hello Stranger ,Stray Kids,2020-07-17,거리,ko
Hello Stranger ,Stray Kids,2020-07-17,대체,ko
