title,artist,date,word,language
Levanter (바람) ,Stray Kids,2019-12-09,보면,ko
Levanter (바람) ,Stray Kids,2019-12-09,닿을,ko
Levanter (바람) ,Stray Kids,2019-12-09,것만,ko
Levanter (바람) ,Stray Kids,2019-12-09,같았어,ko
Levanter (바람) ,Stray Kids,2019-12-09,의심,ko
Levanter (바람) ,Stray Kids,2019-12-09,따윈,ko
Levanter (바람) ,Stray Kids,2019-12-09,해본,ko
Levanter (바람) ,Stray Kids,2019-12-09,적도,ko
Levanter (바람) ,Stray Kids,2019-12-09,없었어,ko
Levanter (바람) ,Stray Kids,2019-12-09,상상한,ko
Levanter (바람) ,Stray Kids,2019-12-09,널,ko
Levanter (바람) ,Stray Kids,2019-12-09,안았지만,ko
Levanter (바람) ,Stray Kids,2019-12-09,두,ko
Levanter (바람) ,Stray Kids,2019-12-09,손,ko
Levanter (바람) ,Stray Kids,2019-12-09,꽉,ko
Levanter (바람) ,Stray Kids,2019-12-09,널,ko
Levanter (바람) ,Stray Kids,2019-12-09,잡았지만,ko
Levanter (바람) ,Stray Kids,2019-12-09,품속엔,ko
Levanter (바람) ,Stray Kids,2019-12-09,공허함만,ko
Levanter (바람) ,Stray Kids,2019-12-09,남은,ko
Levanter (바람) ,Stray Kids,2019-12-09,채,en
Levanter (바람) ,Stray Kids,2019-12-09,헤매이다,ko
Levanter (바람) ,Stray Kids,2019-12-09,결국,ko
Levanter (바람) ,Stray Kids,2019-12-09,깨닫게,ko
Levanter (바람) ,Stray Kids,2019-12-09,됐어,ko
Levanter (바람) ,Stray Kids,2019-12-09,널,ko
Levanter (바람) ,Stray Kids,2019-12-09,놓아야만,ko
Levanter (바람) ,Stray Kids,2019-12-09,한다는,ko
Levanter (바람) ,Stray Kids,2019-12-09,걸,ko
Levanter (바람) ,Stray Kids,2019-12-09,oh,en
Levanter (바람) ,Stray Kids,2019-12-09,스스로,ko
Levanter (바람) ,Stray Kids,2019-12-09,속여가며,ko
Levanter (바람) ,Stray Kids,2019-12-09,oh,en
Levanter (바람) ,Stray Kids,2019-12-09,버텨낸,ko
Levanter (바람) ,Stray Kids,2019-12-09,꿈을,ko
Levanter (바람) ,Stray Kids,2019-12-09,깬,ko
Levanter (바람) ,Stray Kids,2019-12-09,순간,ko
Levanter (바람) ,Stray Kids,2019-12-09,oh,en
Levanter (바람) ,Stray Kids,2019-12-09,쏟아져,ko
Levanter (바람) ,Stray Kids,2019-12-09,내리는,ko
Levanter (바람) ,Stray Kids,2019-12-09,빛이,ko
Levanter (바람) ,Stray Kids,2019-12-09,느껴져,ko
Levanter (바람) ,Stray Kids,2019-12-09,i,en
Levanter (바람) ,Stray Kids,2019-12-09,wanna,en
Levanter (바람) ,Stray Kids,2019-12-09,be,en
Levanter (바람) ,Stray Kids,2019-12-09,myself,en
Levanter (바람) ,Stray Kids,2019-12-09,i,en
Levanter (바람) ,Stray Kids,2019-12-09,dont,en
Levanter (바람) ,Stray Kids,2019-12-09,care,en
Levanter (바람) ,Stray Kids,2019-12-09,아직,ko
Levanter (바람) ,Stray Kids,2019-12-09,낯설다,ko
Levanter (바람) ,Stray Kids,2019-12-09,해도,ko
Levanter (바람) ,Stray Kids,2019-12-09,just,en
Levanter (바람) ,Stray Kids,2019-12-09,dont,en
Levanter (바람) ,Stray Kids,2019-12-09,care,en
Levanter (바람) ,Stray Kids,2019-12-09,널,ko
Levanter (바람) ,Stray Kids,2019-12-09,벗어난,ko
Levanter (바람) ,Stray Kids,2019-12-09,순간,ko
Levanter (바람) ,Stray Kids,2019-12-09,내가,ko
Levanter (바람) ,Stray Kids,2019-12-09,보여,ko
Levanter (바람) ,Stray Kids,2019-12-09,모든,ko
Levanter (바람) ,Stray Kids,2019-12-09,게,ko
Levanter (바람) ,Stray Kids,2019-12-09,다,ko
Levanter (바람) ,Stray Kids,2019-12-09,눈앞이,ko
Levanter (바람) ,Stray Kids,2019-12-09,다,ko
Levanter (바람) ,Stray Kids,2019-12-09,이제는,ko
Levanter (바람) ,Stray Kids,2019-12-09,알겠어,ko
Levanter (바람) ,Stray Kids,2019-12-09,now,en
Levanter (바람) ,Stray Kids,2019-12-09,i,en
Levanter (바람) ,Stray Kids,2019-12-09,know,en
Levanter (바람) ,Stray Kids,2019-12-09,내게,ko
Levanter (바람) ,Stray Kids,2019-12-09,필요했던,ko
Levanter (바람) ,Stray Kids,2019-12-09,건,ko
Levanter (바람) ,Stray Kids,2019-12-09,나란,ko
Levanter (바람) ,Stray Kids,2019-12-09,걸,ko
Levanter (바람) ,Stray Kids,2019-12-09,내,ko
Levanter (바람) ,Stray Kids,2019-12-09,두,ko
Levanter (바람) ,Stray Kids,2019-12-09,발이,ko
Levanter (바람) ,Stray Kids,2019-12-09,가는,ko
Levanter (바람) ,Stray Kids,2019-12-09,대로,ko
Levanter (바람) ,Stray Kids,2019-12-09,걸어가,ko
Levanter (바람) ,Stray Kids,2019-12-09,i,en
Levanter (바람) ,Stray Kids,2019-12-09,feel,en
Levanter (바람) ,Stray Kids,2019-12-09,the,en
Levanter (바람) ,Stray Kids,2019-12-09,light,en
Levanter (바람) ,Stray Kids,2019-12-09,i,en
Levanter (바람) ,Stray Kids,2019-12-09,feel,en
Levanter (바람) ,Stray Kids,2019-12-09,the,en
Levanter (바람) ,Stray Kids,2019-12-09,light,en
Levanter (바람) ,Stray Kids,2019-12-09,한결같이,ko
Levanter (바람) ,Stray Kids,2019-12-09,너를,ko
Levanter (바람) ,Stray Kids,2019-12-09,향해,ko
Levanter (바람) ,Stray Kids,2019-12-09,달려가다,ko
Levanter (바람) ,Stray Kids,2019-12-09,깨달은,ko
Levanter (바람) ,Stray Kids,2019-12-09,건,ko
Levanter (바람) ,Stray Kids,2019-12-09,필릭스현진,ko
Levanter (바람) ,Stray Kids,2019-12-09,내,ko
Levanter (바람) ,Stray Kids,2019-12-09,모든,ko
Levanter (바람) ,Stray Kids,2019-12-09,건,ko
Levanter (바람) ,Stray Kids,2019-12-09,널,ko
Levanter (바람) ,Stray Kids,2019-12-09,향해,ko
Levanter (바람) ,Stray Kids,2019-12-09,있었어,ko
Levanter (바람) ,Stray Kids,2019-12-09,너에게,ko
Levanter (바람) ,Stray Kids,2019-12-09,가까이,ko
Levanter (바람) ,Stray Kids,2019-12-09,갈수록,ko
Levanter (바람) ,Stray Kids,2019-12-09,리노필릭스,ko
Levanter (바람) ,Stray Kids,2019-12-09,점점,ko
Levanter (바람) ,Stray Kids,2019-12-09,더,ko
Levanter (바람) ,Stray Kids,2019-12-09,날,ko
Levanter (바람) ,Stray Kids,2019-12-09,잃어갔어,ko
Levanter (바람) ,Stray Kids,2019-12-09,저기,ko
Levanter (바람) ,Stray Kids,2019-12-09,나무,ko
Levanter (바람) ,Stray Kids,2019-12-09,밑에,ko
Levanter (바람) ,Stray Kids,2019-12-09,떨어진,ko
Levanter (바람) ,Stray Kids,2019-12-09,낙엽처럼,ko
Levanter (바람) ,Stray Kids,2019-12-09,결국,ko
Levanter (바람) ,Stray Kids,2019-12-09,눈,ko
Levanter (바람) ,Stray Kids,2019-12-09,속에,ko
Levanter (바람) ,Stray Kids,2019-12-09,묻혀,ko
Levanter (바람) ,Stray Kids,2019-12-09,짓밟힌다,ko
Levanter (바람) ,Stray Kids,2019-12-09,해도,ko
Levanter (바람) ,Stray Kids,2019-12-09,이젠,ko
Levanter (바람) ,Stray Kids,2019-12-09,너를,ko
Levanter (바람) ,Stray Kids,2019-12-09,넘어서,ko
Levanter (바람) ,Stray Kids,2019-12-09,봄을,ko
Levanter (바람) ,Stray Kids,2019-12-09,찾아,ko
Levanter (바람) ,Stray Kids,2019-12-09,떠나가,ko
Levanter (바람) ,Stray Kids,2019-12-09,남겨진,ko
Levanter (바람) ,Stray Kids,2019-12-09,감정은,ko
Levanter (바람) ,Stray Kids,2019-12-09,부는,ko
Levanter (바람) ,Stray Kids,2019-12-09,바람에,ko
Levanter (바람) ,Stray Kids,2019-12-09,휘날려,ko
Levanter (바람) ,Stray Kids,2019-12-09,oh,en
Levanter (바람) ,Stray Kids,2019-12-09,꿈속에,ko
Levanter (바람) ,Stray Kids,2019-12-09,날,ko
Levanter (바람) ,Stray Kids,2019-12-09,가뒀던,ko
Levanter (바람) ,Stray Kids,2019-12-09,oh,en
Levanter (바람) ,Stray Kids,2019-12-09,터널을,ko
Levanter (바람) ,Stray Kids,2019-12-09,벗어난,ko
Levanter (바람) ,Stray Kids,2019-12-09,순간,ko
Levanter (바람) ,Stray Kids,2019-12-09,oh,en
Levanter (바람) ,Stray Kids,2019-12-09,쏟아져,ko
Levanter (바람) ,Stray Kids,2019-12-09,내리는,ko
Levanter (바람) ,Stray Kids,2019-12-09,빛이,ko
Levanter (바람) ,Stray Kids,2019-12-09,느껴져,ko
Levanter (바람) ,Stray Kids,2019-12-09,i,en
Levanter (바람) ,Stray Kids,2019-12-09,wanna,en
Levanter (바람) ,Stray Kids,2019-12-09,be,en
Levanter (바람) ,Stray Kids,2019-12-09,myself,en
Levanter (바람) ,Stray Kids,2019-12-09,i,en
Levanter (바람) ,Stray Kids,2019-12-09,dont,en
Levanter (바람) ,Stray Kids,2019-12-09,care,en
Levanter (바람) ,Stray Kids,2019-12-09,아직,ko
Levanter (바람) ,Stray Kids,2019-12-09,낯설다,ko
Levanter (바람) ,Stray Kids,2019-12-09,해도,ko
Levanter (바람) ,Stray Kids,2019-12-09,just,en
Levanter (바람) ,Stray Kids,2019-12-09,dont,en
Levanter (바람) ,Stray Kids,2019-12-09,care,en
Levanter (바람) ,Stray Kids,2019-12-09,널,ko
Levanter (바람) ,Stray Kids,2019-12-09,벗어난,ko
Levanter (바람) ,Stray Kids,2019-12-09,순간,ko
Levanter (바람) ,Stray Kids,2019-12-09,내가,ko
Levanter (바람) ,Stray Kids,2019-12-09,보여,ko
Levanter (바람) ,Stray Kids,2019-12-09,모든,ko
Levanter (바람) ,Stray Kids,2019-12-09,게,ko
Levanter (바람) ,Stray Kids,2019-12-09,다,ko
Levanter (바람) ,Stray Kids,2019-12-09,눈앞이,ko
Levanter (바람) ,Stray Kids,2019-12-09,다,ko
Levanter (바람) ,Stray Kids,2019-12-09,이제는,ko
Levanter (바람) ,Stray Kids,2019-12-09,알겠어,ko
Levanter (바람) ,Stray Kids,2019-12-09,now,en
Levanter (바람) ,Stray Kids,2019-12-09,i,en
Levanter (바람) ,Stray Kids,2019-12-09,know,en
Levanter (바람) ,Stray Kids,2019-12-09,내게,ko
Levanter (바람) ,Stray Kids,2019-12-09,필요했던,ko
Levanter (바람) ,Stray Kids,2019-12-09,건,ko
