title,artist,date,word,language
Mixtape : Gone Days ,Stray Kids,2019-12-26,멈췄어,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,신호등,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,안,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,바뀌어,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,나이는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,계속,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,들어,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,but,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,we,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,aint,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,moving,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,on,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,기억에,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,머물러,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,그래서,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,안,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,바뀌어,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,시야는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,좁아져,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,눈,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,좀,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,떠,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,uh,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,이해는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,돼,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,그,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,당시에,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,다,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,그랬다는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,걸,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,근데,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,난,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,왜,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,그걸,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,이제,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,들어야,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,하는겨,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,you,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,think,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,youre,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,right,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,nobodys,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,right,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,오직,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,의견,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,그때는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,그때,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,지금은,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,지금,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,제발,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,놔줘,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,매일,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,똑같은,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,말,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,지겹지도,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,않아,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,알고,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,보니,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,말한,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,기억도,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,안,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,나는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,gone,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,days,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,왜,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,자꾸,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,다,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,안된다는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,건데,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,지나간,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,과거,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,신경,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,꺼,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,ey,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,this,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,is,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,the,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,new,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,generation,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,go,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,away,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,gone,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,days,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,꼰대,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,woah,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,go,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,away,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,꼰대,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,woah,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,uh,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,oh,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,이것저것,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,말해줘도,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,비염,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,세척하는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,것처럼,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,흘려,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,이상하게,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,뭔,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,말만,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,해도,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,난,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,잔소리밖에,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,안,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,들려,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,흠,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,과거,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,속에,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,갇혀,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,있다고,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,나도,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,끌어당기지,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,마,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,어찌,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,보면,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,조금,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,불쌍한,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,것,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,같아,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,ill,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,tell,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,you,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,why,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,인생,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,선배,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,입장에서,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,가르치고,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,싶은,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,마음,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,10년,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,20년,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,후,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,성공했으면,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,하니까,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,신경,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,써줘서,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,고맙기도,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,해,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,매일,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,똑같은,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,말,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,지겹지도,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,않아,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,알고,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,보니,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,말한,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,기억도,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,안,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,나는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,gone,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,days,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,왜,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,자꾸,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,다,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,안된다는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,건데,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,지나간,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,과거,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,신경,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,꺼,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,ey,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,this,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,is,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,the,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,new,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,generation,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,go,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,away,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,gone,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,days,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,꼰대,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,woah,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,go,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,away,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,꼰대,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,woah,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,uh,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,oh,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,꼰대,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,woah,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,go,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,away,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,꼰대,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,woah,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,uh,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,oh,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,gone,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,days,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,어차피,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,올해도,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,끝났는데,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,나,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,때는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,말이야,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,그만,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,좀,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,해,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,더,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,이상,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,참기가,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,힘들어,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,ey,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,gone,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,days,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,걱정돼서,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,그러는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,거,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,이해해,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,그래도,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,한번,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,믿어줘,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,ey,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,다가올,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,미래를,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,책임질게,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,let,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,me,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,be,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,myself,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,gone,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,days,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,왜,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,자꾸,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,다,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,안된다는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,건데,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,지나간,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,과거,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,신경,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,꺼,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,ey,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,this,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,is,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,the,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,new,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,generation,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,go,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,away,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,gone,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,days,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,gone,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,days,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,왜,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,자꾸,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,다,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,안된다는,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,건데,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,지나간,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,과거,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,신경,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,꺼,ko
Mixtape : Gone Days ,Stray Kids,2019-12-26,ey,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,this,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,is,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,the,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,new,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,generation,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,go,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,away,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,gone,en
Mixtape : Gone Days ,Stray Kids,2019-12-26,days,en
