title,artist,date,word,language
Side Effects (부작용) ,Stray Kids,2019-06-19,믿고서,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,날,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,던졌어,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,하지만,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,휩쓸리고,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,있을까,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,날,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,믿고서,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,날,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,던졌어,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,하지만,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프기만,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,한,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,걸까,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,비켜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,사실,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,난,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,내가,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,맞아,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,무섭다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,두고,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,봐,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,할,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,수,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,있나,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,그,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,말들을,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,지키지,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,못할까,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,두렵다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,점점,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,난,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,달라져,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,안과,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,밖이,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,달라져,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,가는데,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,물들어가는,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,난,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,지금,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,머리,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,머리,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,머리,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,날,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,믿고서,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,날,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,던졌어,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,하지만,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,휩쓸리고,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,있을까,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,날,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,믿고서,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,날,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,던졌어,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,하지만,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프기만,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,한,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,걸까,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,잠깐,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,나,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,이상해,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,초점이,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,흐려,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,안,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,끝나,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,불안한,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,소리가,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,계속,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,들려,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,여기서도,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,난,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,계속,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,패기,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,넘쳐,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,이겨낼,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,거라,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,믿었어,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,객기도,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,이젠,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,못,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,버텨,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,너무,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,쉽게,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,봐서,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,더,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아픈,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,걸까,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,안,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,변한다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,백날,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,yah,en
Side Effects (부작용) ,Stray Kids,2019-06-19,외쳐,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,대던,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,내가,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,주변,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,상황,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,따라,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,수도,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,없이,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,변하고,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,있는,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,걸까,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,그냥,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,툭,en
Side Effects (부작용) ,Stray Kids,2019-06-19,건드리고,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,지나간,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,사람이,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,누구냐에,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,따라,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,내,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,반응도,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,달라질까,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,난,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,또,en
Side Effects (부작용) ,Stray Kids,2019-06-19,내가,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,좋아야,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,리듬,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,타던,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,고개,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,남들,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,따라,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,리듬,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,타게,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,돼,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,이러다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,취향도,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,달라질까,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,머리,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,머리,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,머리,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,근자감이라는,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,알약을,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,입에,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,집어삼켜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,꿀꺽꿀꺽,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,너무,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,많이,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,먹었나,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,이젠,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,용기보다는,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,걱정,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,덜덜덜덜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,변해가고,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,있어,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,1부터,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,10까지,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,모두,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,점점,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,점점,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,내,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,의지완,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,상관없이,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,올라오는,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,부작용,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,no,en
Side Effects (부작용) ,Stray Kids,2019-06-19,no,en
Side Effects (부작용) ,Stray Kids,2019-06-19,no,en
Side Effects (부작용) ,Stray Kids,2019-06-19,no,en
Side Effects (부작용) ,Stray Kids,2019-06-19,아,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,잠깐,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,나,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,이상해,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,초점이,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,흐려,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,왜,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,안,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,끝나,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,불안한,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,소리가,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,계속,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,들려,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,여기서도,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,난,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,계속,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,패기,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,넘쳐,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,이겨낼,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,거라,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,믿었어,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,객기도,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,이젠,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,못,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,버텨,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,너무,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,쉽게,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,봐서,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,더,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아픈,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,걸까,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아…,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,머리,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,머리,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,머리,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프다,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,머리,ko
Side Effects (부작용) ,Stray Kids,2019-06-19,아프다,ko
