title,artist,date,word,language
TA (타) ,Stray Kids,2020-06-17,타,ko
TA (타) ,Stray Kids,2020-06-17,타take,ko
TA (타) ,Stray Kids,2020-06-17,me,en
TA (타) ,Stray Kids,2020-06-17,to,en
TA (타) ,Stray Kids,2020-06-17,the,en
TA (타) ,Stray Kids,2020-06-17,top,en
TA (타) ,Stray Kids,2020-06-17,hey,en
TA (타) ,Stray Kids,2020-06-17,걱정은,ko
TA (타) ,Stray Kids,2020-06-17,버려no,ko
TA (타) ,Stray Kids,2020-06-17,more,en
TA (타) ,Stray Kids,2020-06-17,고민해항상,ko
TA (타) ,Stray Kids,2020-06-17,움츠려,ko
TA (타) ,Stray Kids,2020-06-17,있던,ko
TA (타) ,Stray Kids,2020-06-17,모습,ko
TA (타) ,Stray Kids,2020-06-17,다,ko
TA (타) ,Stray Kids,2020-06-17,던져,ko
TA (타) ,Stray Kids,2020-06-17,hey소리,ko
TA (타) ,Stray Kids,2020-06-17,질러,ko
TA (타) ,Stray Kids,2020-06-17,like,en
TA (타) ,Stray Kids,2020-06-17,wow이,ko
TA (타) ,Stray Kids,2020-06-17,분위기에,ko
TA (타) ,Stray Kids,2020-06-17,올라타고심하는,ko
TA (타) ,Stray Kids,2020-06-17,건,ko
TA (타) ,Stray Kids,2020-06-17,치명타그냥,ko
TA (타) ,Stray Kids,2020-06-17,다,ko
TA (타) ,Stray Kids,2020-06-17,내려놓고,ko
TA (타) ,Stray Kids,2020-06-17,모두chill,ko
TA (타) ,Stray Kids,2020-06-17,out,en
TA (타) ,Stray Kids,2020-06-17,now,en
TA (타) ,Stray Kids,2020-06-17,어물쩡,ko
TA (타) ,Stray Kids,2020-06-17,거리지,ko
TA (타) ,Stray Kids,2020-06-17,마,ko
TA (타) ,Stray Kids,2020-06-17,어디든,ko
TA (타) ,Stray Kids,2020-06-17,왔다,ko
TA (타) ,Stray Kids,2020-06-17,갔다,ko
TA (타) ,Stray Kids,2020-06-17,해도다,ko
TA (타) ,Stray Kids,2020-06-17,상관없어한,ko
TA (타) ,Stray Kids,2020-06-17,길만,ko
TA (타) ,Stray Kids,2020-06-17,보이던,ko
TA (타) ,Stray Kids,2020-06-17,경주마처럼달리던,ko
TA (타) ,Stray Kids,2020-06-17,내가,ko
TA (타) ,Stray Kids,2020-06-17,경로,ko
TA (타) ,Stray Kids,2020-06-17,이탈했어,ko
TA (타) ,Stray Kids,2020-06-17,어디로,ko
TA (타) ,Stray Kids,2020-06-17,가든,ko
TA (타) ,Stray Kids,2020-06-17,걍,ko
TA (타) ,Stray Kids,2020-06-17,해어물쩡,ko
TA (타) ,Stray Kids,2020-06-17,대면,ko
TA (타) ,Stray Kids,2020-06-17,방해걍,ko
TA (타) ,Stray Kids,2020-06-17,달려,ko
TA (타) ,Stray Kids,2020-06-17,like,en
TA (타) ,Stray Kids,2020-06-17,bolt,en
TA (타) ,Stray Kids,2020-06-17,내,ko
TA (타) ,Stray Kids,2020-06-17,발이,ko
TA (타) ,Stray Kids,2020-06-17,가는,ko
TA (타) ,Stray Kids,2020-06-17,대로직진하지,ko
TA (타) ,Stray Kids,2020-06-17,유턴은,ko
TA (타) ,Stray Kids,2020-06-17,다음에,ko
TA (타) ,Stray Kids,2020-06-17,nanana,en
TA (타) ,Stray Kids,2020-06-17,na,en
TA (타) ,Stray Kids,2020-06-17,nananananana,en
TA (타) ,Stray Kids,2020-06-17,na,en
TA (타) ,Stray Kids,2020-06-17,nanana다다다,ko
TA (타) ,Stray Kids,2020-06-17,다,ko
TA (타) ,Stray Kids,2020-06-17,다다다모락,ko
TA (타) ,Stray Kids,2020-06-17,모락,ko
TA (타) ,Stray Kids,2020-06-17,타올라,ko
TA (타) ,Stray Kids,2020-06-17,복잡한,ko
TA (타) ,Stray Kids,2020-06-17,것들은,ko
TA (타) ,Stray Kids,2020-06-17,throw,en
TA (타) ,Stray Kids,2020-06-17,it,en
TA (타) ,Stray Kids,2020-06-17,out불안도,ko
TA (타) ,Stray Kids,2020-06-17,이제는,ko
TA (타) ,Stray Kids,2020-06-17,귀찮아불타는,ko
TA (타) ,Stray Kids,2020-06-17,기세를,ko
TA (타) ,Stray Kids,2020-06-17,몰아모락,ko
TA (타) ,Stray Kids,2020-06-17,모락,ko
TA (타) ,Stray Kids,2020-06-17,타올라,ko
TA (타) ,Stray Kids,2020-06-17,올라타타,ko
TA (타) ,Stray Kids,2020-06-17,타,ko
TA (타) ,Stray Kids,2020-06-17,타take,ko
TA (타) ,Stray Kids,2020-06-17,me,en
TA (타) ,Stray Kids,2020-06-17,to,en
TA (타) ,Stray Kids,2020-06-17,the,en
TA (타) ,Stray Kids,2020-06-17,top,en
TA (타) ,Stray Kids,2020-06-17,올라타타,ko
TA (타) ,Stray Kids,2020-06-17,타,ko
TA (타) ,Stray Kids,2020-06-17,타take,ko
TA (타) ,Stray Kids,2020-06-17,me,en
TA (타) ,Stray Kids,2020-06-17,to,en
TA (타) ,Stray Kids,2020-06-17,the,en
TA (타) ,Stray Kids,2020-06-17,top,en
TA (타) ,Stray Kids,2020-06-17,올라타,ko
TA (타) ,Stray Kids,2020-06-17,올라타올라올라타올라올라타올라타,ko
TA (타) ,Stray Kids,2020-06-17,타올라타올라올라타올라타,ko
TA (타) ,Stray Kids,2020-06-17,타올라타올라올라타올라올라타올라타,ko
TA (타) ,Stray Kids,2020-06-17,타올라타올라올라타올라타올라타,ko
TA (타) ,Stray Kids,2020-06-17,맞는,ko
TA (타) ,Stray Kids,2020-06-17,길을,ko
TA (타) ,Stray Kids,2020-06-17,찾아,ko
TA (타) ,Stray Kids,2020-06-17,삼만리를,ko
TA (타) ,Stray Kids,2020-06-17,떠나역시나,ko
TA (타) ,Stray Kids,2020-06-17,집,ko
TA (타) ,Stray Kids,2020-06-17,나가면,ko
TA (타) ,Stray Kids,2020-06-17,개고생삼만리,ko
TA (타) ,Stray Kids,2020-06-17,가는,ko
TA (타) ,Stray Kids,2020-06-17,길에,ko
TA (타) ,Stray Kids,2020-06-17,보인,ko
TA (타) ,Stray Kids,2020-06-17,길,ko
TA (타) ,Stray Kids,2020-06-17,참,ko
TA (타) ,Stray Kids,2020-06-17,많지이젠,ko
TA (타) ,Stray Kids,2020-06-17,보고,ko
TA (타) ,Stray Kids,2020-06-17,지나치기,ko
TA (타) ,Stray Kids,2020-06-17,잘,ko
TA (타) ,Stray Kids,2020-06-17,못,ko
TA (타) ,Stray Kids,2020-06-17,해,ko
TA (타) ,Stray Kids,2020-06-17,산을,ko
TA (타) ,Stray Kids,2020-06-17,넘어,ko
TA (타) ,Stray Kids,2020-06-17,강을,ko
TA (타) ,Stray Kids,2020-06-17,넘어먼,ko
TA (타) ,Stray Kids,2020-06-17,곳만,ko
TA (타) ,Stray Kids,2020-06-17,바라만,ko
TA (타) ,Stray Kids,2020-06-17,보다가10리,ko
TA (타) ,Stray Kids,2020-06-17,앞도,ko
TA (타) ,Stray Kids,2020-06-17,못,ko
TA (타) ,Stray Kids,2020-06-17,봤던,ko
TA (타) ,Stray Kids,2020-06-17,날다,ko
TA (타) ,Stray Kids,2020-06-17,뒤로하고,ko
TA (타) ,Stray Kids,2020-06-17,요,ko
TA (타) ,Stray Kids,2020-06-17,앞에,ko
TA (타) ,Stray Kids,2020-06-17,있는,ko
TA (타) ,Stray Kids,2020-06-17,것부터한둘씩,ko
TA (타) ,Stray Kids,2020-06-17,즐겨,ko
TA (타) ,Stray Kids,2020-06-17,볼까나,ko
TA (타) ,Stray Kids,2020-06-17,난리,ko
TA (타) ,Stray Kids,2020-06-17,날,ko
TA (타) ,Stray Kids,2020-06-17,리,ko
TA (타) ,Stray Kids,2020-06-17,없어,ko
TA (타) ,Stray Kids,2020-06-17,난리법석,ko
TA (타) ,Stray Kids,2020-06-17,할,ko
TA (타) ,Stray Kids,2020-06-17,리,ko
TA (타) ,Stray Kids,2020-06-17,없어아리까리,ko
TA (타) ,Stray Kids,2020-06-17,왔다리,ko
TA (타) ,Stray Kids,2020-06-17,갔다리,ko
TA (타) ,Stray Kids,2020-06-17,와리,ko
TA (타) ,Stray Kids,2020-06-17,가리털어,ko
TA (타) ,Stray Kids,2020-06-17,넘어져도,ko
TA (타) ,Stray Kids,2020-06-17,먼질,ko
TA (타) ,Stray Kids,2020-06-17,털고,ko
TA (타) ,Stray Kids,2020-06-17,일어나서,ko
TA (타) ,Stray Kids,2020-06-17,다시,ko
TA (타) ,Stray Kids,2020-06-17,걸어,ko
TA (타) ,Stray Kids,2020-06-17,nanana,en
TA (타) ,Stray Kids,2020-06-17,na,en
TA (타) ,Stray Kids,2020-06-17,nananananana,en
TA (타) ,Stray Kids,2020-06-17,na,en
TA (타) ,Stray Kids,2020-06-17,nanana다다다,ko
TA (타) ,Stray Kids,2020-06-17,다,ko
TA (타) ,Stray Kids,2020-06-17,다다다모락,ko
TA (타) ,Stray Kids,2020-06-17,모락,ko
TA (타) ,Stray Kids,2020-06-17,타올라,ko
TA (타) ,Stray Kids,2020-06-17,복잡한,ko
TA (타) ,Stray Kids,2020-06-17,것들은,ko
TA (타) ,Stray Kids,2020-06-17,throw,en
TA (타) ,Stray Kids,2020-06-17,it,en
TA (타) ,Stray Kids,2020-06-17,out불안도,ko
TA (타) ,Stray Kids,2020-06-17,이제는,ko
TA (타) ,Stray Kids,2020-06-17,귀찮아불타는,ko
TA (타) ,Stray Kids,2020-06-17,기세를,ko
TA (타) ,Stray Kids,2020-06-17,몰아모락,ko
TA (타) ,Stray Kids,2020-06-17,모락,ko
TA (타) ,Stray Kids,2020-06-17,타올라,ko
TA (타) ,Stray Kids,2020-06-17,올라타타,ko
TA (타) ,Stray Kids,2020-06-17,타,ko
TA (타) ,Stray Kids,2020-06-17,타take,ko
TA (타) ,Stray Kids,2020-06-17,me,en
TA (타) ,Stray Kids,2020-06-17,to,en
TA (타) ,Stray Kids,2020-06-17,the,en
TA (타) ,Stray Kids,2020-06-17,top,en
TA (타) ,Stray Kids,2020-06-17,올라타타,ko
TA (타) ,Stray Kids,2020-06-17,타,ko
TA (타) ,Stray Kids,2020-06-17,타take,ko
TA (타) ,Stray Kids,2020-06-17,me,en
TA (타) ,Stray Kids,2020-06-17,to,en
TA (타) ,Stray Kids,2020-06-17,the,en
TA (타) ,Stray Kids,2020-06-17,top,en
TA (타) ,Stray Kids,2020-06-17,올라타,ko
TA (타) ,Stray Kids,2020-06-17,lets,en
TA (타) ,Stray Kids,2020-06-17,ride,en
TA (타) ,Stray Kids,2020-06-17,fly,en
TA (타) ,Stray Kids,2020-06-17,high꽉,ko
TA (타) ,Stray Kids,2020-06-17,잡아,ko
TA (타) ,Stray Kids,2020-06-17,놓치기,ko
TA (타) ,Stray Kids,2020-06-17,전에lets,ko
TA (타) ,Stray Kids,2020-06-17,ride,en
TA (타) ,Stray Kids,2020-06-17,fly,en
TA (타) ,Stray Kids,2020-06-17,high저,ko
TA (타) ,Stray Kids,2020-06-17,하늘,ko
TA (타) ,Stray Kids,2020-06-17,보면서,ko
TA (타) ,Stray Kids,2020-06-17,가,ko
TA (타) ,Stray Kids,2020-06-17,가,ko
TA (타) ,Stray Kids,2020-06-17,가,ko
TA (타) ,Stray Kids,2020-06-17,lets,en
TA (타) ,Stray Kids,2020-06-17,ride,en
TA (타) ,Stray Kids,2020-06-17,fly,en
TA (타) ,Stray Kids,2020-06-17,high이,ko
TA (타) ,Stray Kids,2020-06-17,기회,ko
TA (타) ,Stray Kids,2020-06-17,놓치기,ko
TA (타) ,Stray Kids,2020-06-17,전에lets,ko
TA (타) ,Stray Kids,2020-06-17,ride,en
TA (타) ,Stray Kids,2020-06-17,fly,en
TA (타) ,Stray Kids,2020-06-17,high무거운,ko
TA (타) ,Stray Kids,2020-06-17,짐을,ko
TA (타) ,Stray Kids,2020-06-17,다,ko
TA (타) ,Stray Kids,2020-06-17,내려놔,ko
TA (타) ,Stray Kids,2020-06-17,take,en
TA (타) ,Stray Kids,2020-06-17,me,en
TA (타) ,Stray Kids,2020-06-17,to,en
TA (타) ,Stray Kids,2020-06-17,the,en
TA (타) ,Stray Kids,2020-06-17,top,en
TA (타) ,Stray Kids,2020-06-17,올라타타,ko
TA (타) ,Stray Kids,2020-06-17,타,ko
TA (타) ,Stray Kids,2020-06-17,타take,ko
TA (타) ,Stray Kids,2020-06-17,me,en
TA (타) ,Stray Kids,2020-06-17,to,en
TA (타) ,Stray Kids,2020-06-17,the,en
TA (타) ,Stray Kids,2020-06-17,top,en
TA (타) ,Stray Kids,2020-06-17,올라타take,ko
TA (타) ,Stray Kids,2020-06-17,me,en
TA (타) ,Stray Kids,2020-06-17,to,en
TA (타) ,Stray Kids,2020-06-17,the,en
TA (타) ,Stray Kids,2020-06-17,top,en
TA (타) ,Stray Kids,2020-06-17,올라타올라올라타올라올라타올라타,ko
TA (타) ,Stray Kids,2020-06-17,타올라타올라올라타올라타,ko
TA (타) ,Stray Kids,2020-06-17,타올라타올라올라타올라올라타올라타,ko
TA (타) ,Stray Kids,2020-06-17,타올라타올라올라타올라타올라타,ko
