title,artist,date,word,language
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,시끄럽게,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,때려,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,박는,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,리듬,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,위에,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,다,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,고막에,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,치고받는,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,bass,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,drum과,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,guitar,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,외쳐,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,분위기에,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,shout,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,처지지,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,않게,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,고개를,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,끄덕여,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,맞춰,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,템포,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,박자,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,driving,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,me,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,crazy,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,이,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,음악에,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,맞춰,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,딱딱,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,look,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,at,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,me,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,더,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,올라가는,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,중인,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,내,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,텐션,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,박자,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,위,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,근두운,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,타고,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,불러라,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,anthem,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,the,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,crowds,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,gonna,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,follow,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,us,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,더,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,불러,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,힘차게,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,더욱,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,세게,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,bang,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,bang,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,gonna,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,shout,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,it,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,out,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,now,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,oh,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,nothing,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,better,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,yeah,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,nothing,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,matters,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,조명이,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,꺼진다,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,해도,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,어둠을,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,밝히는,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,this,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,our,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,음악장,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,its,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,our,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,음악장,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,더,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,크게,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,울려,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,퍼지는,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,함성,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,소리를,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,들으며,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,몸을,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,움직여,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,따라와라,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,다,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,따라와라,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,다,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,this,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,our,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,음악장,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,its,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,our,en
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,음악장,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,더,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,멀리,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,퍼져,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,나가는,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,우리,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,음악이,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,들리면,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,몸을,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,움직여,ko
THE SOUND (Korean Ver.) ,Stray Kids,2023-06-05,따라와라,ko
