title,artist,date,word,language
Thunderous (소리꾼) ,Stray Kids,2021-08-23,oh,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,소리를,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,지르는,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,내가,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,oh,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,창빈이란다,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,내,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,자리는,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,내가,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,취한다,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,태도는,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,터프하게,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,트랙,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,위를,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,폭주하는,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,기관차,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,ey,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,몰아치는,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,허리케인에,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,뒤집어진,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,우산,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,잔소리꾼의,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,최후,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,하하,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,꼴이,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,좋구나,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,나무꾼은,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,어서,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,돌아가시오,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,여긴,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,나무랄,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,데가,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,없네,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,납작해질,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,리,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,없는,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,콧대,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,목,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,핏대와,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,함께,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,세운,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,줏대,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,훨씬,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,더,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,웅장하게,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,내는,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,경적,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,소리,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,빵빵,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,빵빵,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,here,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,they,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,come,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,악당,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,무리에,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,뜨거운,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,피가,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,돌아,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,온몸에,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,번져,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,소문난,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,꾼들의,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,모임에,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,쏟아지는,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,눈빛은,ko
Thunderous (소리꾼) ,Stray Kids,2021-08-23,freezing,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,cold,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,but,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,i,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,know,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,well,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,burn,en
Thunderous (소리꾼) ,Stray Kids,2021-08-23,forever,en
