title,artist,date,word,language
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,떠올린,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,네,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,생각에,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,머리가,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,좀,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,복잡해,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,깨질,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,것만,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,같아,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,가득한,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,fantasy,en
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,궁금한,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,mystery,en
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,제발,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,힌트를,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,줘,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,사소한,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,것,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,하나까지,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,널,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,따라해,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,실수한,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,건,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,아냐,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,자연스럽게,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,yeah,en
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,이미,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,몸에,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,깊게,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,배인,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,너란,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,향기에,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,중독이,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,돼,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,버린,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,거야,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,너,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,없인,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,난,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,아무것도,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,못,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,해,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,내가,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,바보,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,같아,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,보이겠지,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,yeah,en
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,심장이,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,너,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,없인,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,뛰질,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,못해,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,머리부터,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,발끝까지,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,모두,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,다,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,사랑해,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,널,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,사랑해,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,널,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,사랑해,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,널,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,사랑해,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,잠깐의,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,불씨가,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,퍼져,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,flame,en
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,절대로,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,벗어나지,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,마,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,내,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,frame,en
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,부피가,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,커진,ko
I LOVE YOU (사랑해) ,TREASURE,2020-09-18,내,ko
