title,artist,date,word,language
JIKJIN (직진) ,TREASURE,2022-02-16,잡힐,ko
JIKJIN (직진) ,TREASURE,2022-02-16,듯,ko
JIKJIN (직진) ,TREASURE,2022-02-16,잡히지,ko
JIKJIN (직진) ,TREASURE,2022-02-16,않는,ko
JIKJIN (직진) ,TREASURE,2022-02-16,신기루,ko
JIKJIN (직진) ,TREASURE,2022-02-16,같아,ko
JIKJIN (직진) ,TREASURE,2022-02-16,넌,ko
JIKJIN (직진) ,TREASURE,2022-02-16,woo,en
JIKJIN (직진) ,TREASURE,2022-02-16,woo,en
JIKJIN (직진) ,TREASURE,2022-02-16,woo,en
JIKJIN (직진) ,TREASURE,2022-02-16,woo,en
JIKJIN (직진) ,TREASURE,2022-02-16,woo,en
JIKJIN (직진) ,TREASURE,2022-02-16,woo,en
JIKJIN (직진) ,TREASURE,2022-02-16,월,ko
JIKJIN (직진) ,TREASURE,2022-02-16,화,ko
JIKJIN (직진) ,TREASURE,2022-02-16,수,ko
JIKJIN (직진) ,TREASURE,2022-02-16,목,ko
JIKJIN (직진) ,TREASURE,2022-02-16,금,ko
JIKJIN (직진) ,TREASURE,2022-02-16,토,ko
JIKJIN (직진) ,TREASURE,2022-02-16,일,ko
JIKJIN (직진) ,TREASURE,2022-02-16,네,ko
JIKJIN (직진) ,TREASURE,2022-02-16,생각에,ko
JIKJIN (직진) ,TREASURE,2022-02-16,난,ko
JIKJIN (직진) ,TREASURE,2022-02-16,미쳐가,ko
JIKJIN (직진) ,TREASURE,2022-02-16,im,en
JIKJIN (직진) ,TREASURE,2022-02-16,addicted,en
JIKJIN (직진) ,TREASURE,2022-02-16,to,en
JIKJIN (직진) ,TREASURE,2022-02-16,your,en
JIKJIN (직진) ,TREASURE,2022-02-16,love,en
JIKJIN (직진) ,TREASURE,2022-02-16,im,en
JIKJIN (직진) ,TREASURE,2022-02-16,on,en
JIKJIN (직진) ,TREASURE,2022-02-16,fire,en
