title,artist,date,word,language
Alcohol-Free ,TWICE,2021-06-09,너와,ko
Alcohol-Free ,TWICE,2021-06-09,있을,ko
Alcohol-Free ,TWICE,2021-06-09,땐,ko
Alcohol-Free ,TWICE,2021-06-09,내게,ko
Alcohol-Free ,TWICE,2021-06-09,신기한,ko
Alcohol-Free ,TWICE,2021-06-09,변화가,ko
Alcohol-Free ,TWICE,2021-06-09,있는데,ko
Alcohol-Free ,TWICE,2021-06-09,자꾸,ko
Alcohol-Free ,TWICE,2021-06-09,미소,ko
Alcohol-Free ,TWICE,2021-06-09,짓게,ko
Alcohol-Free ,TWICE,2021-06-09,돼,ko
Alcohol-Free ,TWICE,2021-06-09,아무,ko
Alcohol-Free ,TWICE,2021-06-09,일도,ko
Alcohol-Free ,TWICE,2021-06-09,없는데,ko
Alcohol-Free ,TWICE,2021-06-09,자꾸,ko
Alcohol-Free ,TWICE,2021-06-09,마법에,ko
Alcohol-Free ,TWICE,2021-06-09,걸려,ko
Alcohol-Free ,TWICE,2021-06-09,밤을,ko
Alcohol-Free ,TWICE,2021-06-09,새워도,ko
Alcohol-Free ,TWICE,2021-06-09,안,ko
Alcohol-Free ,TWICE,2021-06-09,졸려,ko
Alcohol-Free ,TWICE,2021-06-09,다른,ko
Alcohol-Free ,TWICE,2021-06-09,생각,ko
Alcohol-Free ,TWICE,2021-06-09,지워져,ko
Alcohol-Free ,TWICE,2021-06-09,심장,ko
Alcohol-Free ,TWICE,2021-06-09,소리는,ko
Alcohol-Free ,TWICE,2021-06-09,커져,ko
Alcohol-Free ,TWICE,2021-06-09,사랑이,ko
Alcohol-Free ,TWICE,2021-06-09,참,ko
Alcohol-Free ,TWICE,2021-06-09,쉬워져,ko
Alcohol-Free ,TWICE,2021-06-09,그래서,ko
Alcohol-Free ,TWICE,2021-06-09,빠지고,ko
Alcohol-Free ,TWICE,2021-06-09,빠져,ko
Alcohol-Free ,TWICE,2021-06-09,점점,ko
Alcohol-Free ,TWICE,2021-06-09,너에게,ko
Alcohol-Free ,TWICE,2021-06-09,thats,en
Alcohol-Free ,TWICE,2021-06-09,what,en
Alcohol-Free ,TWICE,2021-06-09,you,en
Alcohol-Free ,TWICE,2021-06-09,do,en
Alcohol-Free ,TWICE,2021-06-09,to,en
Alcohol-Free ,TWICE,2021-06-09,me,en
Alcohol-Free ,TWICE,2021-06-09,나는,ko
Alcohol-Free ,TWICE,2021-06-09,alcohol,en
Alcohol-Free ,TWICE,2021-06-09,free,en
Alcohol-Free ,TWICE,2021-06-09,근데,ko
Alcohol-Free ,TWICE,2021-06-09,취해,ko
Alcohol-Free ,TWICE,2021-06-09,마신,ko
Alcohol-Free ,TWICE,2021-06-09,게,ko
Alcohol-Free ,TWICE,2021-06-09,하나도,ko
Alcohol-Free ,TWICE,2021-06-09,없는데,ko
Alcohol-Free ,TWICE,2021-06-09,너와,ko
Alcohol-Free ,TWICE,2021-06-09,있을,ko
Alcohol-Free ,TWICE,2021-06-09,때마다,ko
Alcohol-Free ,TWICE,2021-06-09,이래,ko
Alcohol-Free ,TWICE,2021-06-09,날,ko
Alcohol-Free ,TWICE,2021-06-09,보는,ko
Alcohol-Free ,TWICE,2021-06-09,네,ko
Alcohol-Free ,TWICE,2021-06-09,눈빛,ko
Alcohol-Free ,TWICE,2021-06-09,때문에,ko
Alcohol-Free ,TWICE,2021-06-09,너는,ko
Alcohol-Free ,TWICE,2021-06-09,눈으로,ko
Alcohol-Free ,TWICE,2021-06-09,마시는,ko
Alcohol-Free ,TWICE,2021-06-09,내,ko
Alcohol-Free ,TWICE,2021-06-09,champagne,en
Alcohol-Free ,TWICE,2021-06-09,내,ko
Alcohol-Free ,TWICE,2021-06-09,wine,en
Alcohol-Free ,TWICE,2021-06-09,내,ko
Alcohol-Free ,TWICE,2021-06-09,tequila,en
Alcohol-Free ,TWICE,2021-06-09,margarita,en
Alcohol-Free ,TWICE,2021-06-09,mojito,en
Alcohol-Free ,TWICE,2021-06-09,with,en
Alcohol-Free ,TWICE,2021-06-09,lime,en
Alcohol-Free ,TWICE,2021-06-09,sweet,en
Alcohol-Free ,TWICE,2021-06-09,mimosa,en
Alcohol-Free ,TWICE,2021-06-09,pina,en
Alcohol-Free ,TWICE,2021-06-09,colada,en
Alcohol-Free ,TWICE,2021-06-09,im,en
Alcohol-Free ,TWICE,2021-06-09,drunk,en
Alcohol-Free ,TWICE,2021-06-09,in,en
Alcohol-Free ,TWICE,2021-06-09,you,en
Alcohol-Free ,TWICE,2021-06-09,im,en
Alcohol-Free ,TWICE,2021-06-09,drunk,en
Alcohol-Free ,TWICE,2021-06-09,in,en
Alcohol-Free ,TWICE,2021-06-09,you,en
Alcohol-Free ,TWICE,2021-06-09,너는,ko
Alcohol-Free ,TWICE,2021-06-09,정말,ko
Alcohol-Free ,TWICE,2021-06-09,특별해,ko
Alcohol-Free ,TWICE,2021-06-09,전혀,ko
Alcohol-Free ,TWICE,2021-06-09,독하지,ko
Alcohol-Free ,TWICE,2021-06-09,않은데,ko
Alcohol-Free ,TWICE,2021-06-09,낮에,ko
Alcohol-Free ,TWICE,2021-06-09,별이,ko
