title,artist,date,word,language
CRY FOR ME ,TWICE,2020-12-18,i,en
CRY FOR ME ,TWICE,2020-12-18,know,en
CRY FOR ME ,TWICE,2020-12-18,고쳐,ko
CRY FOR ME ,TWICE,2020-12-18,쓸,ko
CRY FOR ME ,TWICE,2020-12-18,가치도,ko
CRY FOR ME ,TWICE,2020-12-18,없단,ko
CRY FOR ME ,TWICE,2020-12-18,걸,ko
CRY FOR ME ,TWICE,2020-12-18,하지만,ko
CRY FOR ME ,TWICE,2020-12-18,그녀와,ko
CRY FOR ME ,TWICE,2020-12-18,달리,ko
CRY FOR ME ,TWICE,2020-12-18,난,ko
CRY FOR ME ,TWICE,2020-12-18,널,ko
CRY FOR ME ,TWICE,2020-12-18,쉽게,ko
CRY FOR ME ,TWICE,2020-12-18,놔줄,ko
CRY FOR ME ,TWICE,2020-12-18,맘이,ko
CRY FOR ME ,TWICE,2020-12-18,없거든,ko
CRY FOR ME ,TWICE,2020-12-18,"",en
CRY FOR ME ,TWICE,2020-12-18,never,en
CRY FOR ME ,TWICE,2020-12-18,let,en
CRY FOR ME ,TWICE,2020-12-18,go,en
CRY FOR ME ,TWICE,2020-12-18,"",en
CRY FOR ME ,TWICE,2020-12-18,you,en
CRY FOR ME ,TWICE,2020-12-18,dont,en
CRY FOR ME ,TWICE,2020-12-18,know,en
CRY FOR ME ,TWICE,2020-12-18,me,en
CRY FOR ME ,TWICE,2020-12-18,l,en
CRY FOR ME ,TWICE,2020-12-18,o,en
CRY FOR ME ,TWICE,2020-12-18,v,en
CRY FOR ME ,TWICE,2020-12-18,e,en
CRY FOR ME ,TWICE,2020-12-18,or,en
CRY FOR ME ,TWICE,2020-12-18,hatred,en
CRY FOR ME ,TWICE,2020-12-18,이별,ko
CRY FOR ME ,TWICE,2020-12-18,대신,ko
CRY FOR ME ,TWICE,2020-12-18,난,ko
CRY FOR ME ,TWICE,2020-12-18,순진한,ko
CRY FOR ME ,TWICE,2020-12-18,미소만,ko
CRY FOR ME ,TWICE,2020-12-18,오늘도,ko
CRY FOR ME ,TWICE,2020-12-18,네,ko
CRY FOR ME ,TWICE,2020-12-18,품에,ko
CRY FOR ME ,TWICE,2020-12-18,안길래,ko
CRY FOR ME ,TWICE,2020-12-18,아무것도,ko
CRY FOR ME ,TWICE,2020-12-18,모르는,ko
CRY FOR ME ,TWICE,2020-12-18,척,ko
CRY FOR ME ,TWICE,2020-12-18,baby,en
CRY FOR ME ,TWICE,2020-12-18,no,en
CRY FOR ME ,TWICE,2020-12-18,more,en
CRY FOR ME ,TWICE,2020-12-18,real,en
CRY FOR ME ,TWICE,2020-12-18,love,en
CRY FOR ME ,TWICE,2020-12-18,너의,ko
CRY FOR ME ,TWICE,2020-12-18,곁에,ko
CRY FOR ME ,TWICE,2020-12-18,있어줄게,ko
CRY FOR ME ,TWICE,2020-12-18,마지막엔,ko
CRY FOR ME ,TWICE,2020-12-18,break,en
CRY FOR ME ,TWICE,2020-12-18,your,en
CRY FOR ME ,TWICE,2020-12-18,heart,en
CRY FOR ME ,TWICE,2020-12-18,bad,en
CRY FOR ME ,TWICE,2020-12-18,boy,en
CRY FOR ME ,TWICE,2020-12-18,bad,en
CRY FOR ME ,TWICE,2020-12-18,boy,en
CRY FOR ME ,TWICE,2020-12-18,yeah,en
CRY FOR ME ,TWICE,2020-12-18,you,en
CRY FOR ME ,TWICE,2020-12-18,really,en
CRY FOR ME ,TWICE,2020-12-18,make,en
CRY FOR ME ,TWICE,2020-12-18,me,en
CRY FOR ME ,TWICE,2020-12-18,a,en
CRY FOR ME ,TWICE,2020-12-18,mad,en
CRY FOR ME ,TWICE,2020-12-18,girl,en
CRY FOR ME ,TWICE,2020-12-18,mad,en
CRY FOR ME ,TWICE,2020-12-18,girl,en
CRY FOR ME ,TWICE,2020-12-18,i,en
CRY FOR ME ,TWICE,2020-12-18,want,en
CRY FOR ME ,TWICE,2020-12-18,you,en
CRY FOR ME ,TWICE,2020-12-18,to,en
CRY FOR ME ,TWICE,2020-12-18,cry,en
CRY FOR ME ,TWICE,2020-12-18,cry,en
CRY FOR ME ,TWICE,2020-12-18,for,en
CRY FOR ME ,TWICE,2020-12-18,me,en
CRY FOR ME ,TWICE,2020-12-18,내가,ko
CRY FOR ME ,TWICE,2020-12-18,울었던,ko
CRY FOR ME ,TWICE,2020-12-18,것처럼,ko
CRY FOR ME ,TWICE,2020-12-18,cry,en
CRY FOR ME ,TWICE,2020-12-18,for,en
CRY FOR ME ,TWICE,2020-12-18,me,en
CRY FOR ME ,TWICE,2020-12-18,make,en
CRY FOR ME ,TWICE,2020-12-18,your,en
CRY FOR ME ,TWICE,2020-12-18,rain,en
CRY FOR ME ,TWICE,2020-12-18,fall,en
CRY FOR ME ,TWICE,2020-12-18,cry,en
CRY FOR ME ,TWICE,2020-12-18,for,en
CRY FOR ME ,TWICE,2020-12-18,me,en
CRY FOR ME ,TWICE,2020-12-18,but,en
CRY FOR ME ,TWICE,2020-12-18,again,en
CRY FOR ME ,TWICE,2020-12-18,조금씩,ko
CRY FOR ME ,TWICE,2020-12-18,조금씩,ko
CRY FOR ME ,TWICE,2020-12-18,또,en
CRY FOR ME ,TWICE,2020-12-18,빠져가,ko
CRY FOR ME ,TWICE,2020-12-18,사랑에,ko
CRY FOR ME ,TWICE,2020-12-18,내,ko
CRY FOR ME ,TWICE,2020-12-18,결심이,ko
CRY FOR ME ,TWICE,2020-12-18,또,en
CRY FOR ME ,TWICE,2020-12-18,무너져가,ko
CRY FOR ME ,TWICE,2020-12-18,용서할,ko
CRY FOR ME ,TWICE,2020-12-18,핑계를,ko
CRY FOR ME ,TWICE,2020-12-18,만들어가,ko
CRY FOR ME ,TWICE,2020-12-18,i,en
CRY FOR ME ,TWICE,2020-12-18,want,en
CRY FOR ME ,TWICE,2020-12-18,you,en
CRY FOR ME ,TWICE,2020-12-18,to,en
CRY FOR ME ,TWICE,2020-12-18,i,en
CRY FOR ME ,TWICE,2020-12-18,want,en
CRY FOR ME ,TWICE,2020-12-18,you,en
CRY FOR ME ,TWICE,2020-12-18,to,en
CRY FOR ME ,TWICE,2020-12-18,i,en
CRY FOR ME ,TWICE,2020-12-18,want,en
CRY FOR ME ,TWICE,2020-12-18,you,en
CRY FOR ME ,TWICE,2020-12-18,to,en
CRY FOR ME ,TWICE,2020-12-18,cry,en
CRY FOR ME ,TWICE,2020-12-18,for,en
CRY FOR ME ,TWICE,2020-12-18,me,en
CRY FOR ME ,TWICE,2020-12-18,i,en
CRY FOR ME ,TWICE,2020-12-18,dont,en
CRY FOR ME ,TWICE,2020-12-18,know,en
CRY FOR ME ,TWICE,2020-12-18,너란,ko
CRY FOR ME ,TWICE,2020-12-18,놈,ko
CRY FOR ME ,TWICE,2020-12-18,미워질,ko
CRY FOR ME ,TWICE,2020-12-18,줄,ko
CRY FOR ME ,TWICE,2020-12-18,모르고,ko
CRY FOR ME ,TWICE,2020-12-18,친구들한텐,ko
CRY FOR ME ,TWICE,2020-12-18,또,en
CRY FOR ME ,TWICE,2020-12-18,너를,ko
CRY FOR ME ,TWICE,2020-12-18,감싸주는,ko
CRY FOR ME ,TWICE,2020-12-18,중,ko
CRY FOR ME ,TWICE,2020-12-18,바보가,ko
CRY FOR ME ,TWICE,2020-12-18,돼,ko
CRY FOR ME ,TWICE,2020-12-18,버렸군,ko
CRY FOR ME ,TWICE,2020-12-18,너,ko
CRY FOR ME ,TWICE,2020-12-18,왜,ko
CRY FOR ME ,TWICE,2020-12-18,자꾸,ko
CRY FOR ME ,TWICE,2020-12-18,나를,ko
CRY FOR ME ,TWICE,2020-12-18,보며,ko
CRY FOR ME ,TWICE,2020-12-18,웃는데,ko
CRY FOR ME ,TWICE,2020-12-18,딱,ko
CRY FOR ME ,TWICE,2020-12-18,한,ko
CRY FOR ME ,TWICE,2020-12-18,번의,ko
CRY FOR ME ,TWICE,2020-12-18,눈물이면,ko
CRY FOR ME ,TWICE,2020-12-18,되는데,ko
CRY FOR ME ,TWICE,2020-12-18,cry,en
CRY FOR ME ,TWICE,2020-12-18,for,en
CRY FOR ME ,TWICE,2020-12-18,me,en
CRY FOR ME ,TWICE,2020-12-18,let,en
CRY FOR ME ,TWICE,2020-12-18,me,en
CRY FOR ME ,TWICE,2020-12-18,please,en
CRY FOR ME ,TWICE,2020-12-18,forgive,en
CRY FOR ME ,TWICE,2020-12-18,you,en
CRY FOR ME ,TWICE,2020-12-18,아무것도,ko
CRY FOR ME ,TWICE,2020-12-18,모르는,ko
CRY FOR ME ,TWICE,2020-12-18,척,ko
CRY FOR ME ,TWICE,2020-12-18,baby,en
CRY FOR ME ,TWICE,2020-12-18,just,en
CRY FOR ME ,TWICE,2020-12-18,like,en
CRY FOR ME ,TWICE,2020-12-18,real,en
CRY FOR ME ,TWICE,2020-12-18,love,en
CRY FOR ME ,TWICE,2020-12-18,"",en
CRY FOR ME ,TWICE,2020-12-18,real,en
CRY FOR ME ,TWICE,2020-12-18,love,en
