title,artist,date,word,language
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,come,en
Heart Shaker ,TWICE,2017-12-11,and,en
Heart Shaker ,TWICE,2017-12-11,be,en
Heart Shaker ,TWICE,2017-12-11,my,en
Heart Shaker ,TWICE,2017-12-11,love,en
Heart Shaker ,TWICE,2017-12-11,come,en
Heart Shaker ,TWICE,2017-12-11,and,en
Heart Shaker ,TWICE,2017-12-11,be,en
Heart Shaker ,TWICE,2017-12-11,my,en
Heart Shaker ,TWICE,2017-12-11,love,en
Heart Shaker ,TWICE,2017-12-11,baby,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,come,en
Heart Shaker ,TWICE,2017-12-11,and,en
Heart Shaker ,TWICE,2017-12-11,be,en
Heart Shaker ,TWICE,2017-12-11,my,en
Heart Shaker ,TWICE,2017-12-11,love,en
Heart Shaker ,TWICE,2017-12-11,come,en
Heart Shaker ,TWICE,2017-12-11,and,en
Heart Shaker ,TWICE,2017-12-11,be,en
Heart Shaker ,TWICE,2017-12-11,my,en
Heart Shaker ,TWICE,2017-12-11,love,en
Heart Shaker ,TWICE,2017-12-11,baby,en
Heart Shaker ,TWICE,2017-12-11,멍하니,ko
Heart Shaker ,TWICE,2017-12-11,서서,ko
Heart Shaker ,TWICE,2017-12-11,막,ko
Heart Shaker ,TWICE,2017-12-11,고민고민,ko
Heart Shaker ,TWICE,2017-12-11,해,ko
Heart Shaker ,TWICE,2017-12-11,나,ko
Heart Shaker ,TWICE,2017-12-11,이거,ko
Heart Shaker ,TWICE,2017-12-11,진짜,ko
Heart Shaker ,TWICE,2017-12-11,잘하는,ko
Heart Shaker ,TWICE,2017-12-11,짓인지,ko
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,뭐,en
Heart Shaker ,TWICE,2017-12-11,어때,ko
Heart Shaker ,TWICE,2017-12-11,no,en
Heart Shaker ,TWICE,2017-12-11,no,en
Heart Shaker ,TWICE,2017-12-11,no,en
Heart Shaker ,TWICE,2017-12-11,no,en
Heart Shaker ,TWICE,2017-12-11,미쳤어,ko
Heart Shaker ,TWICE,2017-12-11,난,ko
Heart Shaker ,TWICE,2017-12-11,쯔위라고,ko
Heart Shaker ,TWICE,2017-12-11,해,ko
Heart Shaker ,TWICE,2017-12-11,무작정,ko
Heart Shaker ,TWICE,2017-12-11,인사할까,ko
Heart Shaker ,TWICE,2017-12-11,내,ko
Heart Shaker ,TWICE,2017-12-11,전화번호야,ko
Heart Shaker ,TWICE,2017-12-11,쪽질,ko
Heart Shaker ,TWICE,2017-12-11,주고,ko
Heart Shaker ,TWICE,2017-12-11,도망칠까,ko
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,yeah,en
Heart Shaker ,TWICE,2017-12-11,어떡해,ko
Heart Shaker ,TWICE,2017-12-11,no,en
Heart Shaker ,TWICE,2017-12-11,no,en
Heart Shaker ,TWICE,2017-12-11,no,en
Heart Shaker ,TWICE,2017-12-11,no,en
Heart Shaker ,TWICE,2017-12-11,지금이야,ko
Heart Shaker ,TWICE,2017-12-11,girl,en
Heart Shaker ,TWICE,2017-12-11,you,en
Heart Shaker ,TWICE,2017-12-11,can,en
Heart Shaker ,TWICE,2017-12-11,do,en
Heart Shaker ,TWICE,2017-12-11,it,en
Heart Shaker ,TWICE,2017-12-11,눈이,ko
Heart Shaker ,TWICE,2017-12-11,마주치고,ko
Heart Shaker ,TWICE,2017-12-11,있잖아,ko
Heart Shaker ,TWICE,2017-12-11,love,en
Heart Shaker ,TWICE,2017-12-11,is,en
Heart Shaker ,TWICE,2017-12-11,timing,en
Heart Shaker ,TWICE,2017-12-11,놓치면,ko
Heart Shaker ,TWICE,2017-12-11,후회할지,ko
Heart Shaker ,TWICE,2017-12-11,몰라,ko
Heart Shaker ,TWICE,2017-12-11,다채,ko
Heart Shaker ,TWICE,2017-12-11,love,en
Heart Shaker ,TWICE,2017-12-11,is,en
