title,artist,date,word,language
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,나를,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,가지고,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,매일,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,가만,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,안,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,두죠,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,내가,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,너무,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,예쁘죠,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,나,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,때문에,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,다,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,힘들죠,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,어딜,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,걷고,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,있어도,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,빨간,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,바닥인거죠,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,red,en
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,carpet,en
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,같은,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,기분,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,모두,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,날,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,쳐다,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,보죠,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,어떤,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,사람은,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,어머님이,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,누구냐고,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,신선하게,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,말,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,걸어도,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,아무,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,느낌이,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,안,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,들죠,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,oh,en
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,하지만,ko
Like OOH-AHH (OOH-AHH하게) ,TWICE,2015-10-19,나도,ko
