title,artist,date,word,language
YES or YES ,TWICE,2018-11-05,boy,en
YES or YES ,TWICE,2018-11-05,look,en
YES or YES ,TWICE,2018-11-05,im,en
YES or YES ,TWICE,2018-11-05,gonna,en
YES or YES ,TWICE,2018-11-05,make,en
YES or YES ,TWICE,2018-11-05,this,en
YES or YES ,TWICE,2018-11-05,simple,en
YES or YES ,TWICE,2018-11-05,for,en
YES or YES ,TWICE,2018-11-05,you,en
YES or YES ,TWICE,2018-11-05,you,en
YES or YES ,TWICE,2018-11-05,got,en
YES or YES ,TWICE,2018-11-05,two,en
YES or YES ,TWICE,2018-11-05,choices…,ko
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,or,en
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,ah,en
YES or YES ,TWICE,2018-11-05,지all,ko
YES or YES ,TWICE,2018-11-05,둘,ko
YES or YES ,TWICE,2018-11-05,중에,ko
YES or YES ,TWICE,2018-11-05,하나만,ko
YES or YES ,TWICE,2018-11-05,골라,ko
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,or,en
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,ah,en
YES or YES ,TWICE,2018-11-05,ah,en
YES or YES ,TWICE,2018-11-05,나all,ko
YES or YES ,TWICE,2018-11-05,하나만,ko
YES or YES ,TWICE,2018-11-05,선택해,ko
YES or YES ,TWICE,2018-11-05,어서,ko
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,or,en
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,내가,ko
YES or YES ,TWICE,2018-11-05,이렇게도,ko
YES or YES ,TWICE,2018-11-05,이기적이었던가,ko
YES or YES ,TWICE,2018-11-05,뭔가,ko
YES or YES ,TWICE,2018-11-05,이렇게,ko
YES or YES ,TWICE,2018-11-05,갖고,ko
YES or YES ,TWICE,2018-11-05,싶던,ko
YES or YES ,TWICE,2018-11-05,적,ko
YES or YES ,TWICE,2018-11-05,있었나,ko
YES or YES ,TWICE,2018-11-05,다,ko
YES or YES ,TWICE,2018-11-05,놀라,ko
YES or YES ,TWICE,2018-11-05,내,ko
YES or YES ,TWICE,2018-11-05,뻔뻔함에,ko
YES or YES ,TWICE,2018-11-05,come,en
YES or YES ,TWICE,2018-11-05,on,en
YES or YES ,TWICE,2018-11-05,and,en
YES or YES ,TWICE,2018-11-05,tell,en
YES or YES ,TWICE,2018-11-05,me,en
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,생각보다,ko
YES or YES ,TWICE,2018-11-05,과감해진,ko
YES or YES ,TWICE,2018-11-05,나의,ko
YES or YES ,TWICE,2018-11-05,scenario,en
YES or YES ,TWICE,2018-11-05,이,ko
YES or YES ,TWICE,2018-11-05,정도,ko
YES or YES ,TWICE,2018-11-05,플랜이면,ko
YES or YES ,TWICE,2018-11-05,완벽해,ko
YES or YES ,TWICE,2018-11-05,만족해,ko
YES or YES ,TWICE,2018-11-05,i,en
YES or YES ,TWICE,2018-11-05,dont,en
YES or YES ,TWICE,2018-11-05,care,en
YES or YES ,TWICE,2018-11-05,누가,ko
YES or YES ,TWICE,2018-11-05,뭐래도,ko
YES or YES ,TWICE,2018-11-05,you,en
YES or YES ,TWICE,2018-11-05,better,en
YES or YES ,TWICE,2018-11-05,tell,en
YES or YES ,TWICE,2018-11-05,me,en
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,내,ko
YES or YES ,TWICE,2018-11-05,맘은,ko
YES or YES ,TWICE,2018-11-05,정했어,ko
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,그럼,ko
YES or YES ,TWICE,2018-11-05,이제,ko
YES or YES ,TWICE,2018-11-05,니,ko
YES or YES ,TWICE,2018-11-05,대답을,ko
YES or YES ,TWICE,2018-11-05,들을,ko
YES or YES ,TWICE,2018-11-05,차례,ko
YES or YES ,TWICE,2018-11-05,힘들면,ko
YES or YES ,TWICE,2018-11-05,보기를,ko
YES or YES ,TWICE,2018-11-05,줄게,ko
YES or YES ,TWICE,2018-11-05,넌,ko
YES or YES ,TWICE,2018-11-05,고르기만,ko
YES or YES ,TWICE,2018-11-05,해,ko
YES or YES ,TWICE,2018-11-05,고민할,ko
YES or YES ,TWICE,2018-11-05,필요도,ko
YES or YES ,TWICE,2018-11-05,없게,ko
YES or YES ,TWICE,2018-11-05,해줄게,ko
YES or YES ,TWICE,2018-11-05,뭘,en
YES or YES ,TWICE,2018-11-05,고를지,ko
YES or YES ,TWICE,2018-11-05,몰라,ko
YES or YES ,TWICE,2018-11-05,준비해봤어,ko
YES or YES ,TWICE,2018-11-05,채all,en
YES or YES ,TWICE,2018-11-05,둘,ko
YES or YES ,TWICE,2018-11-05,중에,ko
YES or YES ,TWICE,2018-11-05,하나만,ko
YES or YES ,TWICE,2018-11-05,골라,ko
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,or,en
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,니,ko
YES or YES ,TWICE,2018-11-05,마음을,ko
YES or YES ,TWICE,2018-11-05,몰라,ko
YES or YES ,TWICE,2018-11-05,준비해봤어,ko
YES or YES ,TWICE,2018-11-05,사all,ko
YES or YES ,TWICE,2018-11-05,하나만,ko
YES or YES ,TWICE,2018-11-05,선택해,ko
YES or YES ,TWICE,2018-11-05,어서,ko
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,or,en
YES or YES ,TWICE,2018-11-05,yes,en
YES or YES ,TWICE,2018-11-05,싫어는,ko
