title,artist,date,word,language
Like We Used To (좋았는데) ,The Rose,2018-02-25,오면,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,먼저,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,너의,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,연락을,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,확인했던,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,그날의,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,시작이,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,나를,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,온기,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,가득히,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,감싸고,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,예쁘게,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,입고,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,내게,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,웃던,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,날,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,반기며,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,손을,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,흔들던,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,그,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,기억들이,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,우리,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,그,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,추억들이,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,문득,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,날,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,돌아보잖아,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,그때가,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,내겐,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,더,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,좋았는데,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,그날이,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,내겐,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,더,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,행복했는데,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,조그만,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,미련에,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,지우지,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,못해,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,잊고,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,또,en
Like We Used To (좋았는데) ,The Rose,2018-02-25,잊으려,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,했던,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,순간에도,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,다,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,좋았는데,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,내일이,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,오지,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,않길,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,빌던,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,쓸쓸히,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,바라만,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,보던,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,그,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,표정들이,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,좋았던,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,시간들이,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,스쳐,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,견딜,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,수,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,없잖아,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,그때가,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,내겐,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,더,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,좋았는데,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,그날이,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,내겐,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,더,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,행복했는데,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,아직도,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,이렇게,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,널,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,놓지,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,못해,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,가끔,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,들려오는,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,니,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,소식조차,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,다,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,좋았는데,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,그때가,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,내겐,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,더,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,좋았는데,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,그날이,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,내겐,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,더,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,행복했는데,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,조그만,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,미련에,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,지우지,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,못해,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,잊고,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,또,en
Like We Used To (좋았는데) ,The Rose,2018-02-25,잊으려,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,했던,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,순간에도,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,어쩌면,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,네겐,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,더,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,좋을,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,텐데,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,아직도,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,이렇게,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,널,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,잡지,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,못해,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,한참을,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,멍하니,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,바라만,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,보다,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,가끔,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,들려오는,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,니,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,소식조차,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,다,ko
Like We Used To (좋았는데) ,The Rose,2018-02-25,좋았는데,ko
