title,artist,date,word,language
Dreams Come True ,aespa,2021-12-20,uh,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,wanna,en
Dreams Come True ,aespa,2021-12-20,feel,en
Dreams Come True ,aespa,2021-12-20,the,en
Dreams Come True ,aespa,2021-12-20,vibe,en
Dreams Come True ,aespa,2021-12-20,that,en
Dreams Come True ,aespa,2021-12-20,im,en
Dreams Come True ,aespa,2021-12-20,feeling,en
Dreams Come True ,aespa,2021-12-20,and,en
Dreams Come True ,aespa,2021-12-20,loving,en
Dreams Come True ,aespa,2021-12-20,it,en
Dreams Come True ,aespa,2021-12-20,and,en
Dreams Come True ,aespa,2021-12-20,imagining,en
Dreams Come True ,aespa,2021-12-20,what,en
Dreams Come True ,aespa,2021-12-20,저기,ko
Dreams Come True ,aespa,2021-12-20,멀리,ko
Dreams Come True ,aespa,2021-12-20,looks,en
Dreams Come True ,aespa,2021-12-20,like,en
Dreams Come True ,aespa,2021-12-20,tiny,en
Dreams Come True ,aespa,2021-12-20,we,en
Dreams Come True ,aespa,2021-12-20,call,en
Dreams Come True ,aespa,2021-12-20,its,en
Dreams Come True ,aespa,2021-12-20,destiny,en
Dreams Come True ,aespa,2021-12-20,"",en
Dreams Come True ,aespa,2021-12-20,카,ko
Dreams Come True ,aespa,2021-12-20,"",en
Dreams Come True ,aespa,2021-12-20,닝,ko
Dreams Come True ,aespa,2021-12-20,"",en
Dreams Come True ,aespa,2021-12-20,지금부터,ko
Dreams Come True ,aespa,2021-12-20,하나,ko
Dreams Come True ,aespa,2021-12-20,둘,ko
Dreams Come True ,aespa,2021-12-20,셋,ko
Dreams Come True ,aespa,2021-12-20,하면,ko
Dreams Come True ,aespa,2021-12-20,모여보자,ko
Dreams Come True ,aespa,2021-12-20,"",en
Dreams Come True ,aespa,2021-12-20,카,ko
Dreams Come True ,aespa,2021-12-20,"",en
Dreams Come True ,aespa,2021-12-20,닝,ko
Dreams Come True ,aespa,2021-12-20,"",en
Dreams Come True ,aespa,2021-12-20,그래,ko
Dreams Come True ,aespa,2021-12-20,come,en
Dreams Come True ,aespa,2021-12-20,over,en
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,get,en
Dreams Come True ,aespa,2021-12-20,it,en
Dreams Come True ,aespa,2021-12-20,on,en
Dreams Come True ,aespa,2021-12-20,nah,en
Dreams Come True ,aespa,2021-12-20,get,en
Dreams Come True ,aespa,2021-12-20,in,en
Dreams Come True ,aespa,2021-12-20,on,en
Dreams Come True ,aespa,2021-12-20,nah,en
Dreams Come True ,aespa,2021-12-20,"",en
Dreams Come True ,aespa,2021-12-20,지,ko
Dreams Come True ,aespa,2021-12-20,"",en
Dreams Come True ,aespa,2021-12-20,윈,ko
Dreams Come True ,aespa,2021-12-20,"",en
Dreams Come True ,aespa,2021-12-20,lets,en
Dreams Come True ,aespa,2021-12-20,bring,en
Dreams Come True ,aespa,2021-12-20,back,en
Dreams Come True ,aespa,2021-12-20,to,en
Dreams Come True ,aespa,2021-12-20,90s,en
Dreams Come True ,aespa,2021-12-20,내가,ko
Dreams Come True ,aespa,2021-12-20,원하는,ko
Dreams Come True ,aespa,2021-12-20,대로,ko
Dreams Come True ,aespa,2021-12-20,자신,ko
Dreams Come True ,aespa,2021-12-20,있는,ko
Dreams Come True ,aespa,2021-12-20,모습,ko
Dreams Come True ,aespa,2021-12-20,그대로,ko
Dreams Come True ,aespa,2021-12-20,이제껏,ko
Dreams Come True ,aespa,2021-12-20,숨겨,ko
Dreams Come True ,aespa,2021-12-20,왔던,ko
Dreams Come True ,aespa,2021-12-20,비밀을,ko
Dreams Come True ,aespa,2021-12-20,네게,ko
Dreams Come True ,aespa,2021-12-20,모두,ko
Dreams Come True ,aespa,2021-12-20,말하고,ko
Dreams Come True ,aespa,2021-12-20,싶어,ko
Dreams Come True ,aespa,2021-12-20,baby,en
Dreams Come True ,aespa,2021-12-20,funny,en
Dreams Come True ,aespa,2021-12-20,how,en
Dreams Come True ,aespa,2021-12-20,all,en
Dreams Come True ,aespa,2021-12-20,dreams,en
Dreams Come True ,aespa,2021-12-20,come,en
Dreams Come True ,aespa,2021-12-20,true,en
Dreams Come True ,aespa,2021-12-20,my,en
Dreams Come True ,aespa,2021-12-20,dreams,en
Dreams Come True ,aespa,2021-12-20,come,en
Dreams Come True ,aespa,2021-12-20,true,en
Dreams Come True ,aespa,2021-12-20,나를,ko
Dreams Come True ,aespa,2021-12-20,지켜줄,ko
Dreams Come True ,aespa,2021-12-20,거야,ko
Dreams Come True ,aespa,2021-12-20,아껴왔던,ko
Dreams Come True ,aespa,2021-12-20,작은,ko
Dreams Come True ,aespa,2021-12-20,사랑도,ko
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,make,en
Dreams Come True ,aespa,2021-12-20,me,en
Dreams Come True ,aespa,2021-12-20,feel,en
Dreams Come True ,aespa,2021-12-20,so,en
Dreams Come True ,aespa,2021-12-20,good,en
Dreams Come True ,aespa,2021-12-20,funny,en
Dreams Come True ,aespa,2021-12-20,how,en
Dreams Come True ,aespa,2021-12-20,i,en
Dreams Come True ,aespa,2021-12-20,feel,en
Dreams Come True ,aespa,2021-12-20,for,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,너의,ko
Dreams Come True ,aespa,2021-12-20,곁에,ko
Dreams Come True ,aespa,2021-12-20,그려질,ko
Dreams Come True ,aespa,2021-12-20,꿈결같은,ko
Dreams Come True ,aespa,2021-12-20,나의,ko
Dreams Come True ,aespa,2021-12-20,미래도,ko
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,gotta,en
Dreams Come True ,aespa,2021-12-20,be,en
Dreams Come True ,aespa,2021-12-20,mine,en
Dreams Come True ,aespa,2021-12-20,지금도,ko
Dreams Come True ,aespa,2021-12-20,미래도,ko
Dreams Come True ,aespa,2021-12-20,oh,en
Dreams Come True ,aespa,2021-12-20,oh,en
Dreams Come True ,aespa,2021-12-20,oh,en
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,make,en
Dreams Come True ,aespa,2021-12-20,it,en
Dreams Come True ,aespa,2021-12-20,feel,en
Dreams Come True ,aespa,2021-12-20,me,en
Dreams Come True ,aespa,2021-12-20,good,en
Dreams Come True ,aespa,2021-12-20,do,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,wanna,en
Dreams Come True ,aespa,2021-12-20,upside,en
Dreams Come True ,aespa,2021-12-20,down,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,make,en
Dreams Come True ,aespa,2021-12-20,it,en
Dreams Come True ,aespa,2021-12-20,feel,en
Dreams Come True ,aespa,2021-12-20,me,en
Dreams Come True ,aespa,2021-12-20,good,en
Dreams Come True ,aespa,2021-12-20,dont,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,wanna,en
Dreams Come True ,aespa,2021-12-20,up,en
Dreams Come True ,aespa,2021-12-20,and,en
Dreams Come True ,aespa,2021-12-20,down,en
Dreams Come True ,aespa,2021-12-20,im,en
Dreams Come True ,aespa,2021-12-20,in,en
Dreams Come True ,aespa,2021-12-20,twilight,en
Dreams Come True ,aespa,2021-12-20,zone,en
Dreams Come True ,aespa,2021-12-20,처음,ko
Dreams Come True ,aespa,2021-12-20,느낌인,ko
Dreams Come True ,aespa,2021-12-20,것처럼,ko
Dreams Come True ,aespa,2021-12-20,짜릿했던,ko
Dreams Come True ,aespa,2021-12-20,순간,ko
Dreams Come True ,aespa,2021-12-20,그대로야,ko
Dreams Come True ,aespa,2021-12-20,지금,ko
Dreams Come True ,aespa,2021-12-20,난,ko
Dreams Come True ,aespa,2021-12-20,마치,ko
Dreams Come True ,aespa,2021-12-20,약속했던,ko
Dreams Come True ,aespa,2021-12-20,것,ko
Dreams Come True ,aespa,2021-12-20,같아,ko
Dreams Come True ,aespa,2021-12-20,oh,en
Dreams Come True ,aespa,2021-12-20,no,en
Dreams Come True ,aespa,2021-12-20,같은,ko
Dreams Come True ,aespa,2021-12-20,곳,ko
Dreams Come True ,aespa,2021-12-20,바라볼,ko
Dreams Come True ,aespa,2021-12-20,때,ko
Dreams Come True ,aespa,2021-12-20,그때,ko
Dreams Come True ,aespa,2021-12-20,말하고,ko
Dreams Come True ,aespa,2021-12-20,싶어,ko
Dreams Come True ,aespa,2021-12-20,so,en
Dreams Come True ,aespa,2021-12-20,im,en
Dreams Come True ,aespa,2021-12-20,loving,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,more,en
Dreams Come True ,aespa,2021-12-20,than,en
Dreams Come True ,aespa,2021-12-20,last,en
Dreams Come True ,aespa,2021-12-20,forever,en
Dreams Come True ,aespa,2021-12-20,hey,en
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,funny,en
Dreams Come True ,aespa,2021-12-20,how,en
Dreams Come True ,aespa,2021-12-20,all,en
Dreams Come True ,aespa,2021-12-20,dreams,en
Dreams Come True ,aespa,2021-12-20,come,en
Dreams Come True ,aespa,2021-12-20,true,en
Dreams Come True ,aespa,2021-12-20,my,en
Dreams Come True ,aespa,2021-12-20,dreams,en
Dreams Come True ,aespa,2021-12-20,come,en
Dreams Come True ,aespa,2021-12-20,true,en
Dreams Come True ,aespa,2021-12-20,나를,ko
Dreams Come True ,aespa,2021-12-20,지켜줄,ko
Dreams Come True ,aespa,2021-12-20,거야,ko
Dreams Come True ,aespa,2021-12-20,아껴왔던,ko
Dreams Come True ,aespa,2021-12-20,작은,ko
Dreams Come True ,aespa,2021-12-20,사랑도,ko
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,make,en
Dreams Come True ,aespa,2021-12-20,it,en
Dreams Come True ,aespa,2021-12-20,feel,en
Dreams Come True ,aespa,2021-12-20,so,en
Dreams Come True ,aespa,2021-12-20,good,en
Dreams Come True ,aespa,2021-12-20,funny,en
Dreams Come True ,aespa,2021-12-20,how,en
Dreams Come True ,aespa,2021-12-20,i,en
Dreams Come True ,aespa,2021-12-20,feel,en
Dreams Come True ,aespa,2021-12-20,for,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,너의,ko
Dreams Come True ,aespa,2021-12-20,곁에,ko
Dreams Come True ,aespa,2021-12-20,그려질,ko
Dreams Come True ,aespa,2021-12-20,꿈결같은,ko
Dreams Come True ,aespa,2021-12-20,나의,ko
Dreams Come True ,aespa,2021-12-20,미래도,ko
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,gotta,en
Dreams Come True ,aespa,2021-12-20,be,en
Dreams Come True ,aespa,2021-12-20,mine,en
Dreams Come True ,aespa,2021-12-20,지금도,ko
Dreams Come True ,aespa,2021-12-20,미래도,ko
Dreams Come True ,aespa,2021-12-20,oh,en
Dreams Come True ,aespa,2021-12-20,oh,en
Dreams Come True ,aespa,2021-12-20,oh,en
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,지금도,ko
Dreams Come True ,aespa,2021-12-20,미래도,ko
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,make,en
Dreams Come True ,aespa,2021-12-20,it,en
Dreams Come True ,aespa,2021-12-20,feel,en
Dreams Come True ,aespa,2021-12-20,me,en
Dreams Come True ,aespa,2021-12-20,good,en
Dreams Come True ,aespa,2021-12-20,make,en
Dreams Come True ,aespa,2021-12-20,me,en
Dreams Come True ,aespa,2021-12-20,feel,en
Dreams Come True ,aespa,2021-12-20,me,en
Dreams Come True ,aespa,2021-12-20,good,en
Dreams Come True ,aespa,2021-12-20,do,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,wanna,en
Dreams Come True ,aespa,2021-12-20,upside,en
Dreams Come True ,aespa,2021-12-20,down,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,make,en
Dreams Come True ,aespa,2021-12-20,it,en
Dreams Come True ,aespa,2021-12-20,feel,en
Dreams Come True ,aespa,2021-12-20,me,en
Dreams Come True ,aespa,2021-12-20,good,en
Dreams Come True ,aespa,2021-12-20,dont,en
Dreams Come True ,aespa,2021-12-20,you,en
Dreams Come True ,aespa,2021-12-20,wanna,en
Dreams Come True ,aespa,2021-12-20,up,en
Dreams Come True ,aespa,2021-12-20,and,en
Dreams Come True ,aespa,2021-12-20,down,en
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,yeah,en
Dreams Come True ,aespa,2021-12-20,come,en
Dreams Come True ,aespa,2021-12-20,on,en
Dreams Come True ,aespa,2021-12-20,over,en
Dreams Come True ,aespa,2021-12-20,언제나,ko
Dreams Come True ,aespa,2021-12-20,둘이,ko
Dreams Come True ,aespa,2021-12-20,함께,ko
Dreams Come True ,aespa,2021-12-20,네가,ko
Dreams Come True ,aespa,2021-12-20,있는,ko
Dreams Come True ,aespa,2021-12-20,나,ko
Dreams Come True ,aespa,2021-12-20,행복할,ko
Dreams Come True ,aespa,2021-12-20,거예요,ko
Dreams Come True ,aespa,2021-12-20,더는,ko
Dreams Come True ,aespa,2021-12-20,슬픈,ko
Dreams Come True ,aespa,2021-12-20,노래,ko
Dreams Come True ,aespa,2021-12-20,듣지,ko
Dreams Come True ,aespa,2021-12-20,않을,ko
Dreams Come True ,aespa,2021-12-20,거예요,ko
Dreams Come True ,aespa,2021-12-20,내,ko
Dreams Come True ,aespa,2021-12-20,맘을,ko
Dreams Come True ,aespa,2021-12-20,알겠죠,ko
Dreams Come True ,aespa,2021-12-20,woo,en
Dreams Come True ,aespa,2021-12-20,woo,en
Dreams Come True ,aespa,2021-12-20,naw,en
Dreams Come True ,aespa,2021-12-20,ae,en
Dreams Come True ,aespa,2021-12-20,love,en
Dreams Come True ,aespa,2021-12-20,epp,en
Dreams Come True ,aespa,2021-12-20,few,en
Dreams Come True ,aespa,2021-12-20,love,en
Dreams Come True ,aespa,2021-12-20,mee,en
Dreams Come True ,aespa,2021-12-20,wern,en
Dreams Come True ,aespa,2021-12-20,ae,en
Dreams Come True ,aespa,2021-12-20,taki,en
Dreams Come True ,aespa,2021-12-20,wakka,en
Dreams Come True ,aespa,2021-12-20,mekezon,en
Dreams Come True ,aespa,2021-12-20,nart,en
Dreams Come True ,aespa,2021-12-20,weeny,en
Dreams Come True ,aespa,2021-12-20,beeney,en
Dreams Come True ,aespa,2021-12-20,weeny,en
Dreams Come True ,aespa,2021-12-20,beeney,en
Dreams Come True ,aespa,2021-12-20,ganer,en
Dreams Come True ,aespa,2021-12-20,gan,en
Dreams Come True ,aespa,2021-12-20,pam,en
Dreams Come True ,aespa,2021-12-20,murr,en
Dreams Come True ,aespa,2021-12-20,wassur,en
Dreams Come True ,aespa,2021-12-20,doo,en
Dreams Come True ,aespa,2021-12-20,wee,en
Dreams Come True ,aespa,2021-12-20,gecha,en
Dreams Come True ,aespa,2021-12-20,love,en
Dreams Come True ,aespa,2021-12-20,mee,en
Dreams Come True ,aespa,2021-12-20,wassur,en
Dreams Come True ,aespa,2021-12-20,doo,en
Dreams Come True ,aespa,2021-12-20,yee,en
Dreams Come True ,aespa,2021-12-20,thang,en
Dreams Come True ,aespa,2021-12-20,dui,en
Dreams Come True ,aespa,2021-12-20,giree,en
Dreams Come True ,aespa,2021-12-20,wesso,en
Dreams Come True ,aespa,2021-12-20,wella,en
Dreams Come True ,aespa,2021-12-20,gella,en
Dreams Come True ,aespa,2021-12-20,doo,en
