title,artist,date,word,language
Savage ,aespa,2021-10-05,oh,en
Savage ,aespa,2021-10-05,my,en
Savage ,aespa,2021-10-05,gosh,en
Savage ,aespa,2021-10-05,dont,en
Savage ,aespa,2021-10-05,you,en
Savage ,aespa,2021-10-05,know,en
Savage ,aespa,2021-10-05,im,en
Savage ,aespa,2021-10-05,a,en
Savage ,aespa,2021-10-05,savage,en
Savage ,aespa,2021-10-05,im,en
Savage ,aespa,2021-10-05,a,en
Savage ,aespa,2021-10-05,killa,en
Savage ,aespa,2021-10-05,너를,ko
Savage ,aespa,2021-10-05,깰,ko
Savage ,aespa,2021-10-05,ae,en
Savage ,aespa,2021-10-05,아직도,ko
Savage ,aespa,2021-10-05,가리고,ko
Savage ,aespa,2021-10-05,환각을,ko
Savage ,aespa,2021-10-05,펼친,ko
Savage ,aespa,2021-10-05,너,ko
Savage ,aespa,2021-10-05,팰라,ko
Savage ,aespa,2021-10-05,we,en
Savage ,aespa,2021-10-05,holler,en
Savage ,aespa,2021-10-05,두렵지,ko
Savage ,aespa,2021-10-05,않아,ko
Savage ,aespa,2021-10-05,너,ko
Savage ,aespa,2021-10-05,너,ko
Savage ,aespa,2021-10-05,hit,en
Savage ,aespa,2021-10-05,you,en
Savage ,aespa,2021-10-05,harder,en
Savage ,aespa,2021-10-05,날,ko
Savage ,aespa,2021-10-05,밀어,ko
Savage ,aespa,2021-10-05,넣어,ko
Savage ,aespa,2021-10-05,deep,en
Savage ,aespa,2021-10-05,fake,en
Savage ,aespa,2021-10-05,on,en
Savage ,aespa,2021-10-05,me,en
Savage ,aespa,2021-10-05,준비가,ko
Savage ,aespa,2021-10-05,안된,ko
Savage ,aespa,2021-10-05,무대로,ko
Savage ,aespa,2021-10-05,몰아넣어,ko
Savage ,aespa,2021-10-05,fake,en
Savage ,aespa,2021-10-05,on,en
Savage ,aespa,2021-10-05,me,en
Savage ,aespa,2021-10-05,got,en
Savage ,aespa,2021-10-05,everybody,en
Savage ,aespa,2021-10-05,mock,en
Savage ,aespa,2021-10-05,up,en
Savage ,aespa,2021-10-05,to,en
Savage ,aespa,2021-10-05,me,en
Savage ,aespa,2021-10-05,수치를,ko
Savage ,aespa,2021-10-05,느끼게,ko
Savage ,aespa,2021-10-05,멘탈을,ko
Savage ,aespa,2021-10-05,흔들어놔,ko
Savage ,aespa,2021-10-05,싸늘한,ko
Savage ,aespa,2021-10-05,관중,ko
Savage ,aespa,2021-10-05,무너져,ko
Savage ,aespa,2021-10-05,ae,en
Savage ,aespa,2021-10-05,더는,ko
Savage ,aespa,2021-10-05,널,ko
Savage ,aespa,2021-10-05,못,ko
Savage ,aespa,2021-10-05,참아,ko
Savage ,aespa,2021-10-05,say,en
Savage ,aespa,2021-10-05,no,en
Savage ,aespa,2021-10-05,두고,ko
Savage ,aespa,2021-10-05,봐,ko
Savage ,aespa,2021-10-05,난,ko
Savage ,aespa,2021-10-05,좀,ko
Savage ,aespa,2021-10-05,savage,en
Savage ,aespa,2021-10-05,너의,ko
Savage ,aespa,2021-10-05,dirty,en
Savage ,aespa,2021-10-05,한,ko
Savage ,aespa,2021-10-05,play,en
Savage ,aespa,2021-10-05,더는,ko
Savage ,aespa,2021-10-05,두고,ko
Savage ,aespa,2021-10-05,볼,ko
Savage ,aespa,2021-10-05,수,ko
Savage ,aespa,2021-10-05,없어,ko
Savage ,aespa,2021-10-05,나를,ko
Savage ,aespa,2021-10-05,무너뜨리고,ko
Savage ,aespa,2021-10-05,싶은,ko
Savage ,aespa,2021-10-05,네,ko
Savage ,aespa,2021-10-05,환각들이,ko
Savage ,aespa,2021-10-05,점점,ko
Savage ,aespa,2021-10-05,너를,ko
Savage ,aespa,2021-10-05,구축할,ko
Savage ,aespa,2021-10-05,이유가,ko
Savage ,aespa,2021-10-05,돼,ko
Savage ,aespa,2021-10-05,im,en
Savage ,aespa,2021-10-05,a,en
Savage ,aespa,2021-10-05,savage,en
Savage ,aespa,2021-10-05,널,ko
Savage ,aespa,2021-10-05,부셔,ko
Savage ,aespa,2021-10-05,깨,ko
Savage ,aespa,2021-10-05,줄게,ko
Savage ,aespa,2021-10-05,oh,en
Savage ,aespa,2021-10-05,im,en
