title,artist,date,word,language
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,feel,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,so,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,good,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,cuz,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,i,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,feel,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,so,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,good,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,"",en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,새,ko
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,all,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,nanananana,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,nanananana,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,"",en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,새,ko
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,all,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,nanananana,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,hello,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,come,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,into,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,my,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,place,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,"",en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,yeah,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,yeah,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,yeah,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,yeah,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,"",en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,비밀스런,ko
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,나의,ko
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,space,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,"",en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,yeah,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,yeah,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,yeah,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,yeah,en
Feel Good (Secret Code) ,fromis_9 (프로미스나인),2020-09-16,"",en
