title,artist,date,word,language
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,duduru,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,dudu,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,duru,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,duru,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,duru,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,dudu,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,dudu,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,"",en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,조금만,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,조금만,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,조금만,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,더,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,"",en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,duduru,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,dudu,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,duru,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,duru,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,duru,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,dudu,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,dudu,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,"",en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,너와,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,나,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,둘만의,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,"",en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,꼭,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,옆에,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,있는,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,것만,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,같아,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,손에,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,쥔,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,내,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,phone,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,너머,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,네,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,웃음이,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,들려오는,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,밤,ko
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,"",en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,were,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,calling,en
Talk & Talk ,fromis_9 (프로미스나인),2021-09-01,calling,en
