title,artist,date,word,language
DKDK (두근두근) ,fromis_9,2018-06-05,떨려도,ko
DKDK (두근두근) ,fromis_9,2018-06-05,이럴,ko
DKDK (두근두근) ,fromis_9,2018-06-05,수,ko
DKDK (두근두근) ,fromis_9,2018-06-05,있나,ko
DKDK (두근두근) ,fromis_9,2018-06-05,싶어요,ko
DKDK (두근두근) ,fromis_9,2018-06-05,드디어,ko
DKDK (두근두근) ,fromis_9,2018-06-05,왔죠,ko
DKDK (두근두근) ,fromis_9,2018-06-05,그날이,ko
DKDK (두근두근) ,fromis_9,2018-06-05,달력,ko
DKDK (두근두근) ,fromis_9,2018-06-05,가득,ko
DKDK (두근두근) ,fromis_9,2018-06-05,별,ko
DKDK (두근두근) ,fromis_9,2018-06-05,동그라미,ko
DKDK (두근두근) ,fromis_9,2018-06-05,요,ko
DKDK (두근두근) ,fromis_9,2018-06-05,몇일은,ko
DKDK (두근두근) ,fromis_9,2018-06-05,아무런,ko
DKDK (두근두근) ,fromis_9,2018-06-05,집중이,ko
DKDK (두근두근) ,fromis_9,2018-06-05,안돼서,ko
DKDK (두근두근) ,fromis_9,2018-06-05,혼이,ko
DKDK (두근두근) ,fromis_9,2018-06-05,났어요,ko
DKDK (두근두근) ,fromis_9,2018-06-05,공부해야지,ko
DKDK (두근두근) ,fromis_9,2018-06-05,하면서도,ko
DKDK (두근두근) ,fromis_9,2018-06-05,너의,ko
DKDK (두근두근) ,fromis_9,2018-06-05,이름으로,ko
DKDK (두근두근) ,fromis_9,2018-06-05,낙서만,ko
DKDK (두근두근) ,fromis_9,2018-06-05,수리,ko
DKDK (두근두근) ,fromis_9,2018-06-05,수리,ko
DKDK (두근두근) ,fromis_9,2018-06-05,수리,ko
DKDK (두근두근) ,fromis_9,2018-06-05,마수리야,ko
DKDK (두근두근) ,fromis_9,2018-06-05,시계,ko
DKDK (두근두근) ,fromis_9,2018-06-05,바늘아,ko
DKDK (두근두근) ,fromis_9,2018-06-05,느리게,ko
DKDK (두근두근) ,fromis_9,2018-06-05,구르르,ko
DKDK (두근두근) ,fromis_9,2018-06-05,빙글,ko
DKDK (두근두근) ,fromis_9,2018-06-05,빙글,ko
DKDK (두근두근) ,fromis_9,2018-06-05,뱅글,ko
DKDK (두근두근) ,fromis_9,2018-06-05,돌아가는,ko
DKDK (두근두근) ,fromis_9,2018-06-05,날씨,ko
DKDK (두근두근) ,fromis_9,2018-06-05,좋은,ko
DKDK (두근두근) ,fromis_9,2018-06-05,내,ko
DKDK (두근두근) ,fromis_9,2018-06-05,지구에서,ko
DKDK (두근두근) ,fromis_9,2018-06-05,기필코,ko
DKDK (두근두근) ,fromis_9,2018-06-05,나는,ko
DKDK (두근두근) ,fromis_9,2018-06-05,나는,ko
DKDK (두근두근) ,fromis_9,2018-06-05,난,ko
DKDK (두근두근) ,fromis_9,2018-06-05,말야,ko
DKDK (두근두근) ,fromis_9,2018-06-05,하나,ko
DKDK (두근두근) ,fromis_9,2018-06-05,둘,ko
DKDK (두근두근) ,fromis_9,2018-06-05,하고,ko
