title,artist,date,word,language
LOVE BOMB ,fromis_9,2018-10-10,맘,ko
LOVE BOMB ,fromis_9,2018-10-10,속의,ko
LOVE BOMB ,fromis_9,2018-10-10,limit,en
LOVE BOMB ,fromis_9,2018-10-10,time,en
LOVE BOMB ,fromis_9,2018-10-10,버튼을,ko
LOVE BOMB ,fromis_9,2018-10-10,눌러,ko
LOVE BOMB ,fromis_9,2018-10-10,지금,ko
LOVE BOMB ,fromis_9,2018-10-10,딱,ko
LOVE BOMB ,fromis_9,2018-10-10,t,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,t,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,t,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,tic,en
LOVE BOMB ,fromis_9,2018-10-10,tak,en
LOVE BOMB ,fromis_9,2018-10-10,짜릿한,ko
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,my,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,i,en
LOVE BOMB ,fromis_9,2018-10-10,want,en
LOVE BOMB ,fromis_9,2018-10-10,it,en
LOVE BOMB ,fromis_9,2018-10-10,오묘한,ko
LOVE BOMB ,fromis_9,2018-10-10,구름이,ko
LOVE BOMB ,fromis_9,2018-10-10,퍼져,ko
LOVE BOMB ,fromis_9,2018-10-10,and,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,it,en
LOVE BOMB ,fromis_9,2018-10-10,두,ko
LOVE BOMB ,fromis_9,2018-10-10,눈을,ko
LOVE BOMB ,fromis_9,2018-10-10,감아,ko
LOVE BOMB ,fromis_9,2018-10-10,보는,ko
LOVE BOMB ,fromis_9,2018-10-10,나,ko
LOVE BOMB ,fromis_9,2018-10-10,시간이,ko
LOVE BOMB ,fromis_9,2018-10-10,잠시,ko
LOVE BOMB ,fromis_9,2018-10-10,멈춘,ko
LOVE BOMB ,fromis_9,2018-10-10,것만,ko
LOVE BOMB ,fromis_9,2018-10-10,같아,ko
LOVE BOMB ,fromis_9,2018-10-10,깜짝,ko
LOVE BOMB ,fromis_9,2018-10-10,놀라,ko
LOVE BOMB ,fromis_9,2018-10-10,난,ko
LOVE BOMB ,fromis_9,2018-10-10,숨을,ko
LOVE BOMB ,fromis_9,2018-10-10,참아봐,ko
LOVE BOMB ,fromis_9,2018-10-10,이렇게,ko
LOVE BOMB ,fromis_9,2018-10-10,이렇게,ko
LOVE BOMB ,fromis_9,2018-10-10,네,ko
LOVE BOMB ,fromis_9,2018-10-10,맘을,ko
LOVE BOMB ,fromis_9,2018-10-10,yeah,en
LOVE BOMB ,fromis_9,2018-10-10,겨누다,ko
LOVE BOMB ,fromis_9,2018-10-10,겨누다,ko
LOVE BOMB ,fromis_9,2018-10-10,p,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,p,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,p,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,p,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,pow,en
LOVE BOMB ,fromis_9,2018-10-10,좋아,ko
LOVE BOMB ,fromis_9,2018-10-10,뭐가,ko
LOVE BOMB ,fromis_9,2018-10-10,어려워,ko
LOVE BOMB ,fromis_9,2018-10-10,저질러봐,ko
LOVE BOMB ,fromis_9,2018-10-10,ha,en
LOVE BOMB ,fromis_9,2018-10-10,ha,en
LOVE BOMB ,fromis_9,2018-10-10,ha,en
LOVE BOMB ,fromis_9,2018-10-10,yeah,en
LOVE BOMB ,fromis_9,2018-10-10,all,en
LOVE BOMB ,fromis_9,2018-10-10,night,en
LOVE BOMB ,fromis_9,2018-10-10,p,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,p,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,party야,ko
LOVE BOMB ,fromis_9,2018-10-10,색,ko
LOVE BOMB ,fromis_9,2018-10-10,다른,ko
LOVE BOMB ,fromis_9,2018-10-10,네,ko
LOVE BOMB ,fromis_9,2018-10-10,꿈,en
LOVE BOMB ,fromis_9,2018-10-10,속의,ko
LOVE BOMB ,fromis_9,2018-10-10,날,ko
LOVE BOMB ,fromis_9,2018-10-10,woo,en
LOVE BOMB ,fromis_9,2018-10-10,만난,ko
LOVE BOMB ,fromis_9,2018-10-10,그,ko
LOVE BOMB ,fromis_9,2018-10-10,순간,ko
LOVE BOMB ,fromis_9,2018-10-10,터져,ko
LOVE BOMB ,fromis_9,2018-10-10,펑,ko
LOVE BOMB ,fromis_9,2018-10-10,gyjw,en
LOVE BOMB ,fromis_9,2018-10-10,뭔가,ko
LOVE BOMB ,fromis_9,2018-10-10,다른,ko
LOVE BOMB ,fromis_9,2018-10-10,feels,en
LOVE BOMB ,fromis_9,2018-10-10,like,en
LOVE BOMB ,fromis_9,2018-10-10,zoom,en
LOVE BOMB ,fromis_9,2018-10-10,zoom,en
LOVE BOMB ,fromis_9,2018-10-10,zoom,en
LOVE BOMB ,fromis_9,2018-10-10,달콤한,ko
LOVE BOMB ,fromis_9,2018-10-10,l,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,l,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,l,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,l,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,떨린,ko
LOVE BOMB ,fromis_9,2018-10-10,네,ko
LOVE BOMB ,fromis_9,2018-10-10,맘에,ko
LOVE BOMB ,fromis_9,2018-10-10,날,ko
LOVE BOMB ,fromis_9,2018-10-10,가득,ko
LOVE BOMB ,fromis_9,2018-10-10,채울,ko
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,b,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,b,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,bomb이,ko
LOVE BOMB ,fromis_9,2018-10-10,what,en
LOVE BOMB ,fromis_9,2018-10-10,단잠을,ko
LOVE BOMB ,fromis_9,2018-10-10,깨울,ko
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,b,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,b,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,bomb이,ko
LOVE BOMB ,fromis_9,2018-10-10,what,en
LOVE BOMB ,fromis_9,2018-10-10,널,ko
LOVE BOMB ,fromis_9,2018-10-10,향한,ko
LOVE BOMB ,fromis_9,2018-10-10,l,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,l,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,l,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,l,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,우릴,ko
LOVE BOMB ,fromis_9,2018-10-10,비춰,ko
LOVE BOMB ,fromis_9,2018-10-10,낼,ko
LOVE BOMB ,fromis_9,2018-10-10,이,ko
LOVE BOMB ,fromis_9,2018-10-10,순간에,ko
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,b,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,bomb,en
LOVE BOMB ,fromis_9,2018-10-10,love,en
LOVE BOMB ,fromis_9,2018-10-10,b,en
LOVE BOMB ,fromis_9,2018-10-10,–,en
LOVE BOMB ,fromis_9,2018-10-10,bomb이,ko
LOVE BOMB ,fromis_9,2018-10-10,what,en
LOVE BOMB ,fromis_9,2018-10-10,달,ko
LOVE BOMB ,fromis_9,2018-10-10,빛,ko
LOVE BOMB ,fromis_9,2018-10-10,아래,ko
