title,artist,date,word,language
To Heart ,fromis_9,2018-01-24,그려왔던,ko
To Heart ,fromis_9,2018-01-24,그,ko
To Heart ,fromis_9,2018-01-24,날이,ko
To Heart ,fromis_9,2018-01-24,올까,ko
To Heart ,fromis_9,2018-01-24,소중히,ko
To Heart ,fromis_9,2018-01-24,바래왔던,ko
To Heart ,fromis_9,2018-01-24,내,ko
To Heart ,fromis_9,2018-01-24,맘,ko
To Heart ,fromis_9,2018-01-24,넌,ko
To Heart ,fromis_9,2018-01-24,알까,ko
To Heart ,fromis_9,2018-01-24,najih,en
To Heart ,fromis_9,2018-01-24,오,ko
To Heart ,fromis_9,2018-01-24,빛나는,ko
To Heart ,fromis_9,2018-01-24,땀방울도,ko
To Heart ,fromis_9,2018-01-24,sagy,en
To Heart ,fromis_9,2018-01-24,언젠가,ko
To Heart ,fromis_9,2018-01-24,만날,ko
To Heart ,fromis_9,2018-01-24,널,ko
To Heart ,fromis_9,2018-01-24,위해,ko
To Heart ,fromis_9,2018-01-24,흘려왔어,ko
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,포기하고,ko
To Heart ,fromis_9,2018-01-24,싶을,ko
To Heart ,fromis_9,2018-01-24,때,ko
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,내,ko
To Heart ,fromis_9,2018-01-24,손,ko
To Heart ,fromis_9,2018-01-24,잡아,ko
To Heart ,fromis_9,2018-01-24,언젠간,ko
To Heart ,fromis_9,2018-01-24,건네줄,ko
To Heart ,fromis_9,2018-01-24,내,ko
To Heart ,fromis_9,2018-01-24,러브레터,ko
To Heart ,fromis_9,2018-01-24,내,ko
To Heart ,fromis_9,2018-01-24,마음을,ko
To Heart ,fromis_9,2018-01-24,실어,ko
To Heart ,fromis_9,2018-01-24,보낼게,ko
To Heart ,fromis_9,2018-01-24,새로운,ko
To Heart ,fromis_9,2018-01-24,세계가,ko
To Heart ,fromis_9,2018-01-24,열릴,ko
To Heart ,fromis_9,2018-01-24,듯,ko
To Heart ,fromis_9,2018-01-24,멀게만,ko
To Heart ,fromis_9,2018-01-24,느껴질,ko
To Heart ,fromis_9,2018-01-24,때,ko
To Heart ,fromis_9,2018-01-24,힘껏,ko
To Heart ,fromis_9,2018-01-24,달려갈,ko
To Heart ,fromis_9,2018-01-24,거야,ko
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,to,en
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,to,en
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,바래왔던,ko
To Heart ,fromis_9,2018-01-24,만큼,ko
To Heart ,fromis_9,2018-01-24,기다린,ko
To Heart ,fromis_9,2018-01-24,미래에,ko
To Heart ,fromis_9,2018-01-24,손가락,ko
To Heart ,fromis_9,2018-01-24,걸고,ko
To Heart ,fromis_9,2018-01-24,약속해,ko
To Heart ,fromis_9,2018-01-24,우리의,ko
To Heart ,fromis_9,2018-01-24,소중한,ko
To Heart ,fromis_9,2018-01-24,마음이,ko
To Heart ,fromis_9,2018-01-24,너에게,ko
To Heart ,fromis_9,2018-01-24,느껴질,ko
To Heart ,fromis_9,2018-01-24,때,ko
To Heart ,fromis_9,2018-01-24,그때는,ko
To Heart ,fromis_9,2018-01-24,닿을,ko
To Heart ,fromis_9,2018-01-24,거야,ko
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,to,en
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,to,en
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,예쁘고,ko
To Heart ,fromis_9,2018-01-24,당당하게,ko
To Heart ,fromis_9,2018-01-24,포기는,ko
To Heart ,fromis_9,2018-01-24,안,ko
To Heart ,fromis_9,2018-01-24,하고,ko
To Heart ,fromis_9,2018-01-24,싶어,ko
To Heart ,fromis_9,2018-01-24,손가락,ko
To Heart ,fromis_9,2018-01-24,걸고,ko
To Heart ,fromis_9,2018-01-24,약속해,ko
To Heart ,fromis_9,2018-01-24,걸어갈,ko
To Heart ,fromis_9,2018-01-24,길의,ko
To Heart ,fromis_9,2018-01-24,끝에,ko
To Heart ,fromis_9,2018-01-24,뭐가,ko
To Heart ,fromis_9,2018-01-24,있을까,ko
To Heart ,fromis_9,2018-01-24,노력한,ko
To Heart ,fromis_9,2018-01-24,나를,ko
To Heart ,fromis_9,2018-01-24,위해,ko
To Heart ,fromis_9,2018-01-24,넌,ko
To Heart ,fromis_9,2018-01-24,웃어줄까,ko
To Heart ,fromis_9,2018-01-24,jiwse,en
To Heart ,fromis_9,2018-01-24,서툴지만,ko
To Heart ,fromis_9,2018-01-24,부탁할게,ko
To Heart ,fromis_9,2018-01-24,jihgy,en
To Heart ,fromis_9,2018-01-24,응원하는,ko
To Heart ,fromis_9,2018-01-24,마음으로,ko
To Heart ,fromis_9,2018-01-24,날,ko
To Heart ,fromis_9,2018-01-24,불러줘,ko
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,보여주고만,ko
To Heart ,fromis_9,2018-01-24,싶어,ko
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,woo,en
To Heart ,fromis_9,2018-01-24,기다려줄래,ko
To Heart ,fromis_9,2018-01-24,핑크빛,ko
To Heart ,fromis_9,2018-01-24,물들은,ko
To Heart ,fromis_9,2018-01-24,거리,ko
To Heart ,fromis_9,2018-01-24,우리가,ko
To Heart ,fromis_9,2018-01-24,만든,ko
To Heart ,fromis_9,2018-01-24,스토리,ko
To Heart ,fromis_9,2018-01-24,간절히,ko
To Heart ,fromis_9,2018-01-24,닿기를,ko
To Heart ,fromis_9,2018-01-24,바래,ko
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,to,en
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,i,en
To Heart ,fromis_9,2018-01-24,promise,en
To Heart ,fromis_9,2018-01-24,you,en
To Heart ,fromis_9,2018-01-24,새로운,ko
To Heart ,fromis_9,2018-01-24,세계가,ko
To Heart ,fromis_9,2018-01-24,열릴,ko
To Heart ,fromis_9,2018-01-24,듯,ko
To Heart ,fromis_9,2018-01-24,멀게만,ko
To Heart ,fromis_9,2018-01-24,느껴질,ko
To Heart ,fromis_9,2018-01-24,때,ko
To Heart ,fromis_9,2018-01-24,힘껏,ko
To Heart ,fromis_9,2018-01-24,달려갈,ko
To Heart ,fromis_9,2018-01-24,거야,ko
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,to,en
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,to,en
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,바래왔던,ko
To Heart ,fromis_9,2018-01-24,만큼,ko
To Heart ,fromis_9,2018-01-24,기다린,ko
To Heart ,fromis_9,2018-01-24,미래에,ko
To Heart ,fromis_9,2018-01-24,손가락,ko
To Heart ,fromis_9,2018-01-24,걸고,ko
To Heart ,fromis_9,2018-01-24,약속해,ko
To Heart ,fromis_9,2018-01-24,우리의,ko
To Heart ,fromis_9,2018-01-24,소중한,ko
To Heart ,fromis_9,2018-01-24,마음이,ko
To Heart ,fromis_9,2018-01-24,너에게,ko
To Heart ,fromis_9,2018-01-24,느껴질,ko
To Heart ,fromis_9,2018-01-24,때,ko
To Heart ,fromis_9,2018-01-24,그때는,ko
To Heart ,fromis_9,2018-01-24,닿을,ko
To Heart ,fromis_9,2018-01-24,거야,ko
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,to,en
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,to,en
To Heart ,fromis_9,2018-01-24,heart,en
To Heart ,fromis_9,2018-01-24,예쁘고,ko
To Heart ,fromis_9,2018-01-24,당당하게,ko
To Heart ,fromis_9,2018-01-24,포기는,ko
To Heart ,fromis_9,2018-01-24,안,ko
