title,artist,date,word,language
WE GO ,fromis_9,2021-05-17,come,en
WE GO ,fromis_9,2021-05-17,with,en
WE GO ,fromis_9,2021-05-17,me,en
WE GO ,fromis_9,2021-05-17,now,en
WE GO ,fromis_9,2021-05-17,넌,ko
WE GO ,fromis_9,2021-05-17,어디까지,ko
WE GO ,fromis_9,2021-05-17,가길,ko
WE GO ,fromis_9,2021-05-17,원해,ko
WE GO ,fromis_9,2021-05-17,we,en
WE GO ,fromis_9,2021-05-17,go,en
WE GO ,fromis_9,2021-05-17,we,en
WE GO ,fromis_9,2021-05-17,go,en
WE GO ,fromis_9,2021-05-17,we,en
WE GO ,fromis_9,2021-05-17,go,en
WE GO ,fromis_9,2021-05-17,we,en
WE GO ,fromis_9,2021-05-17,go,en
WE GO ,fromis_9,2021-05-17,이미,ko
WE GO ,fromis_9,2021-05-17,난,ko
WE GO ,fromis_9,2021-05-17,너무나도,ko
WE GO ,fromis_9,2021-05-17,들떠,ko
WE GO ,fromis_9,2021-05-17,비행기는,ko
WE GO ,fromis_9,2021-05-17,no,en
WE GO ,fromis_9,2021-05-17,no,en
WE GO ,fromis_9,2021-05-17,저,ko
WE GO ,fromis_9,2021-05-17,피드,ko
WE GO ,fromis_9,2021-05-17,속에,ko
WE GO ,fromis_9,2021-05-17,checkin,en
WE GO ,fromis_9,2021-05-17,난,ko
WE GO ,fromis_9,2021-05-17,너를,ko
WE GO ,fromis_9,2021-05-17,몰래,ko
WE GO ,fromis_9,2021-05-17,hashtag,en
WE GO ,fromis_9,2021-05-17,너와,ko
WE GO ,fromis_9,2021-05-17,함께면,ko
WE GO ,fromis_9,2021-05-17,나,ko
WE GO ,fromis_9,2021-05-17,어디라도,ko
WE GO ,fromis_9,2021-05-17,좋아,ko
WE GO ,fromis_9,2021-05-17,1초에,ko
WE GO ,fromis_9,2021-05-17,훌쩍,ko
WE GO ,fromis_9,2021-05-17,여기,ko
WE GO ,fromis_9,2021-05-17,저기,ko
WE GO ,fromis_9,2021-05-17,거기,ko
WE GO ,fromis_9,2021-05-17,right,en
WE GO ,fromis_9,2021-05-17,내,ko
WE GO ,fromis_9,2021-05-17,손,ko
WE GO ,fromis_9,2021-05-17,잡아,ko
WE GO ,fromis_9,2021-05-17,oh,en
WE GO ,fromis_9,2021-05-17,oh,en
WE GO ,fromis_9,2021-05-17,oh,en
WE GO ,fromis_9,2021-05-17,한여름,ko
WE GO ,fromis_9,2021-05-17,밤의,ko
WE GO ,fromis_9,2021-05-17,피서같이,ko
WE GO ,fromis_9,2021-05-17,우리,ko
WE GO ,fromis_9,2021-05-17,둘만의,ko
WE GO ,fromis_9,2021-05-17,파도타기,ko
WE GO ,fromis_9,2021-05-17,볼,ko
WE GO ,fromis_9,2021-05-17,게,ko
WE GO ,fromis_9,2021-05-17,우린,ko
WE GO ,fromis_9,2021-05-17,너무,ko
WE GO ,fromis_9,2021-05-17,많아,ko
WE GO ,fromis_9,2021-05-17,oh,en
WE GO ,fromis_9,2021-05-17,my,en
WE GO ,fromis_9,2021-05-17,my,en
WE GO ,fromis_9,2021-05-17,하루,ko
WE GO ,fromis_9,2021-05-17,종일,ko
WE GO ,fromis_9,2021-05-17,더,ko
WE GO ,fromis_9,2021-05-17,깊이,ko
WE GO ,fromis_9,2021-05-17,빠져,ko
WE GO ,fromis_9,2021-05-17,어느새,ko
WE GO ,fromis_9,2021-05-17,시간이,ko
WE GO ,fromis_9,2021-05-17,멈춰,ko
WE GO ,fromis_9,2021-05-17,온종일,ko
WE GO ,fromis_9,2021-05-17,go,en
WE GO ,fromis_9,2021-05-17,around,en
WE GO ,fromis_9,2021-05-17,네게,ko
WE GO ,fromis_9,2021-05-17,설레,ko
WE GO ,fromis_9,2021-05-17,가까워진,ko
WE GO ,fromis_9,2021-05-17,것만,ko
WE GO ,fromis_9,2021-05-17,같아,ko
WE GO ,fromis_9,2021-05-17,come,en
WE GO ,fromis_9,2021-05-17,with,en
WE GO ,fromis_9,2021-05-17,me,en
WE GO ,fromis_9,2021-05-17,now,en
WE GO ,fromis_9,2021-05-17,넌,ko
WE GO ,fromis_9,2021-05-17,어디까지,ko
WE GO ,fromis_9,2021-05-17,가길,ko
WE GO ,fromis_9,2021-05-17,원해,ko
WE GO ,fromis_9,2021-05-17,잠깐만,ko
WE GO ,fromis_9,2021-05-17,둘이,ko
WE GO ,fromis_9,2021-05-17,조금,ko
WE GO ,fromis_9,2021-05-17,더,ko
WE GO ,fromis_9,2021-05-17,멀리,ko
WE GO ,fromis_9,2021-05-17,follow,en
WE GO ,fromis_9,2021-05-17,me,en
WE GO ,fromis_9,2021-05-17,now,en
WE GO ,fromis_9,2021-05-17,난,ko
WE GO ,fromis_9,2021-05-17,너와,ko
WE GO ,fromis_9,2021-05-17,함께,ko
WE GO ,fromis_9,2021-05-17,가볼래,ko
WE GO ,fromis_9,2021-05-17,we,en
WE GO ,fromis_9,2021-05-17,go,en
WE GO ,fromis_9,2021-05-17,we,en
WE GO ,fromis_9,2021-05-17,go,en
WE GO ,fromis_9,2021-05-17,we,en
WE GO ,fromis_9,2021-05-17,go,en
WE GO ,fromis_9,2021-05-17,we,en
WE GO ,fromis_9,2021-05-17,go,en
WE GO ,fromis_9,2021-05-17,말해,ko
WE GO ,fromis_9,2021-05-17,봐,ko
WE GO ,fromis_9,2021-05-17,"",en
WE GO ,fromis_9,2021-05-17,지,ko
WE GO ,fromis_9,2021-05-17,all,en
WE GO ,fromis_9,2021-05-17,what,en
WE GO ,fromis_9,2021-05-17,you,en
WE GO ,fromis_9,2021-05-17,what,en
WE GO ,fromis_9,2021-05-17,you,en
WE GO ,fromis_9,2021-05-17,want,en
WE GO ,fromis_9,2021-05-17,"",en
WE GO ,fromis_9,2021-05-17,지,ko
WE GO ,fromis_9,2021-05-17,all,en
WE GO ,fromis_9,2021-05-17,what,en
