title,artist,date,word,language
B-DAY (벌떼) ,iKON,2017-05-22,stupid,en
B-DAY (벌떼) ,iKON,2017-05-22,like,en
B-DAY (벌떼) ,iKON,2017-05-22,its,en
B-DAY (벌떼) ,iKON,2017-05-22,your,en
B-DAY (벌떼) ,iKON,2017-05-22,birthday,en
B-DAY (벌떼) ,iKON,2017-05-22,this,en
B-DAY (벌떼) ,iKON,2017-05-22,is,en
B-DAY (벌떼) ,iKON,2017-05-22,how,en
B-DAY (벌떼) ,iKON,2017-05-22,we,en
B-DAY (벌떼) ,iKON,2017-05-22,celebrate,en
B-DAY (벌떼) ,iKON,2017-05-22,man,en
B-DAY (벌떼) ,iKON,2017-05-22,uh,en
B-DAY (벌떼) ,iKON,2017-05-22,get,en
B-DAY (벌떼) ,iKON,2017-05-22,em,en
B-DAY (벌떼) ,iKON,2017-05-22,선글라스,ko
B-DAY (벌떼) ,iKON,2017-05-22,목걸이,ko
B-DAY (벌떼) ,iKON,2017-05-22,금이빨,ko
B-DAY (벌떼) ,iKON,2017-05-22,ice,en
B-DAY (벌떼) ,iKON,2017-05-22,clean,en
B-DAY (벌떼) ,iKON,2017-05-22,내,ko
B-DAY (벌떼) ,iKON,2017-05-22,스타일,ko
B-DAY (벌떼) ,iKON,2017-05-22,눈부셔,ko
B-DAY (벌떼) ,iKON,2017-05-22,알잖아,ko
B-DAY (벌떼) ,iKON,2017-05-22,빛이,ko
B-DAY (벌떼) ,iKON,2017-05-22,몰려다녀,ko
B-DAY (벌떼) ,iKON,2017-05-22,우린,ko
B-DAY (벌떼) ,iKON,2017-05-22,메두사,ko
B-DAY (벌떼) ,iKON,2017-05-22,너넨,ko
B-DAY (벌떼) ,iKON,2017-05-22,다,ko
B-DAY (벌떼) ,iKON,2017-05-22,나,ko
B-DAY (벌떼) ,iKON,2017-05-22,보면,ko
B-DAY (벌떼) ,iKON,2017-05-22,돌처럼,ko
B-DAY (벌떼) ,iKON,2017-05-22,굳는다,ko
B-DAY (벌떼) ,iKON,2017-05-22,안,ko
B-DAY (벌떼) ,iKON,2017-05-22,친한,ko
B-DAY (벌떼) ,iKON,2017-05-22,녀석들,ko
B-DAY (벌떼) ,iKON,2017-05-22,숟가락,ko
B-DAY (벌떼) ,iKON,2017-05-22,치워라,ko
B-DAY (벌떼) ,iKON,2017-05-22,꿀,en
B-DAY (벌떼) ,iKON,2017-05-22,빨며,ko
B-DAY (벌떼) ,iKON,2017-05-22,돈,ko
B-DAY (벌떼) ,iKON,2017-05-22,번다,ko
B-DAY (벌떼) ,iKON,2017-05-22,돈,ko
B-DAY (벌떼) ,iKON,2017-05-22,벌어,ko
B-DAY (벌떼) ,iKON,2017-05-22,돈,ko
B-DAY (벌떼) ,iKON,2017-05-22,벌어,ko
B-DAY (벌떼) ,iKON,2017-05-22,100,en
B-DAY (벌떼) ,iKON,2017-05-22,bandz,en
B-DAY (벌떼) ,iKON,2017-05-22,해가,ko
B-DAY (벌떼) ,iKON,2017-05-22,저물,ko
B-DAY (벌떼) ,iKON,2017-05-22,때,ko
B-DAY (벌떼) ,iKON,2017-05-22,쇼는,ko
B-DAY (벌떼) ,iKON,2017-05-22,시작돼,ko
B-DAY (벌떼) ,iKON,2017-05-22,불처럼,ko
B-DAY (벌떼) ,iKON,2017-05-22,뜨겁게,ko
B-DAY (벌떼) ,iKON,2017-05-22,몸이,ko
B-DAY (벌떼) ,iKON,2017-05-22,달아올라,ko
B-DAY (벌떼) ,iKON,2017-05-22,this,en
B-DAY (벌떼) ,iKON,2017-05-22,is,en
B-DAY (벌떼) ,iKON,2017-05-22,how,en
B-DAY (벌떼) ,iKON,2017-05-22,we,en
B-DAY (벌떼) ,iKON,2017-05-22,celebrate,en
B-DAY (벌떼) ,iKON,2017-05-22,pop,en
B-DAY (벌떼) ,iKON,2017-05-22,the,en
B-DAY (벌떼) ,iKON,2017-05-22,champagne,en
B-DAY (벌떼) ,iKON,2017-05-22,벌처럼,ko
B-DAY (벌떼) ,iKON,2017-05-22,가볍게,ko
B-DAY (벌떼) ,iKON,2017-05-22,높이,ko
B-DAY (벌떼) ,iKON,2017-05-22,날아올라,ko
B-DAY (벌떼) ,iKON,2017-05-22,우리들은,ko
B-DAY (벌떼) ,iKON,2017-05-22,벌떼,ko
B-DAY (벌떼) ,iKON,2017-05-22,다,ko
B-DAY (벌떼) ,iKON,2017-05-22,birthday,en
B-DAY (벌떼) ,iKON,2017-05-22,처럼,ko
B-DAY (벌떼) ,iKON,2017-05-22,달려,ko
B-DAY (벌떼) ,iKON,2017-05-22,들어,ko
B-DAY (벌떼) ,iKON,2017-05-22,우리들은,ko
B-DAY (벌떼) ,iKON,2017-05-22,벌떼,ko
B-DAY (벌떼) ,iKON,2017-05-22,꿀,en
B-DAY (벌떼) ,iKON,2017-05-22,빨,ko
B-DAY (벌떼) ,iKON,2017-05-22,때처럼,ko
B-DAY (벌떼) ,iKON,2017-05-22,왱왱,ko
B-DAY (벌떼) ,iKON,2017-05-22,우리들은,ko
B-DAY (벌떼) ,iKON,2017-05-22,벌떼,ko
B-DAY (벌떼) ,iKON,2017-05-22,다,ko
B-DAY (벌떼) ,iKON,2017-05-22,birthday,en
B-DAY (벌떼) ,iKON,2017-05-22,처럼,ko
B-DAY (벌떼) ,iKON,2017-05-22,달려,ko
B-DAY (벌떼) ,iKON,2017-05-22,들어,ko
B-DAY (벌떼) ,iKON,2017-05-22,우리들은,ko
B-DAY (벌떼) ,iKON,2017-05-22,벌떼,ko
B-DAY (벌떼) ,iKON,2017-05-22,다같이,ko
B-DAY (벌떼) ,iKON,2017-05-22,꿀,en
B-DAY (벌떼) ,iKON,2017-05-22,빨러,ko
B-DAY (벌떼) ,iKON,2017-05-22,가자,ko
B-DAY (벌떼) ,iKON,2017-05-22,왱,ko
