title,artist,date,word,language
BLING BLING ,iKON,2017-05-22,yeah,en
BLING BLING ,iKON,2017-05-22,yeah,en
BLING BLING ,iKON,2017-05-22,yeah,en
BLING BLING ,iKON,2017-05-22,yeah,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,완전,ko
BLING BLING ,iKON,2017-05-22,멋쟁이,ko
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,눈이,ko
BLING BLING ,iKON,2017-05-22,부셔,ko
BLING BLING ,iKON,2017-05-22,24k,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,완전,ko
BLING BLING ,iKON,2017-05-22,멋쟁이,ko
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,눈이,ko
BLING BLING ,iKON,2017-05-22,부셔,ko
BLING BLING ,iKON,2017-05-22,24시,ko
BLING BLING ,iKON,2017-05-22,이,ko
BLING BLING ,iKON,2017-05-22,노래엔,ko
BLING BLING ,iKON,2017-05-22,사치,ko
BLING BLING ,iKON,2017-05-22,좀,ko
BLING BLING ,iKON,2017-05-22,부렸어,ko
BLING BLING ,iKON,2017-05-22,몸,ko
BLING BLING ,iKON,2017-05-22,안에,ko
BLING BLING ,iKON,2017-05-22,겸손은,ko
BLING BLING ,iKON,2017-05-22,죽였어,ko
BLING BLING ,iKON,2017-05-22,we,en
BLING BLING ,iKON,2017-05-22,party,en
BLING BLING ,iKON,2017-05-22,like,en
BLING BLING ,iKON,2017-05-22,a,en
BLING BLING ,iKON,2017-05-22,백수,ko
BLING BLING ,iKON,2017-05-22,놈팽이,ko
BLING BLING ,iKON,2017-05-22,i,en
BLING BLING ,iKON,2017-05-22,dont,en
BLING BLING ,iKON,2017-05-22,remember,en
BLING BLING ,iKON,2017-05-22,when,en
BLING BLING ,iKON,2017-05-22,i,en
BLING BLING ,iKON,2017-05-22,was,en
BLING BLING ,iKON,2017-05-22,올챙이,ko
BLING BLING ,iKON,2017-05-22,잔을,ko
BLING BLING ,iKON,2017-05-22,채워,ko
BLING BLING ,iKON,2017-05-22,건배,ko
BLING BLING ,iKON,2017-05-22,부르주아처럼,ko
BLING BLING ,iKON,2017-05-22,오케이,ko
BLING BLING ,iKON,2017-05-22,내,ko
BLING BLING ,iKON,2017-05-22,회사보다,ko
BLING BLING ,iKON,2017-05-22,돈이,ko
BLING BLING ,iKON,2017-05-22,많든가가,ko
BLING BLING ,iKON,2017-05-22,나야,ko
BLING BLING ,iKON,2017-05-22,오케이,ko
BLING BLING ,iKON,2017-05-22,its,en
BLING BLING ,iKON,2017-05-22,show,en
BLING BLING ,iKON,2017-05-22,time,en
BLING BLING ,iKON,2017-05-22,봐,ko
BLING BLING ,iKON,2017-05-22,누가,ko
BLING BLING ,iKON,2017-05-22,왔는지,ko
BLING BLING ,iKON,2017-05-22,우린,ko
BLING BLING ,iKON,2017-05-22,폭탄주를,ko
BLING BLING ,iKON,2017-05-22,만들지,ko
BLING BLING ,iKON,2017-05-22,힘,ko
BLING BLING ,iKON,2017-05-22,좀,ko
BLING BLING ,iKON,2017-05-22,줬어,ko
BLING BLING ,iKON,2017-05-22,머리부터,ko
BLING BLING ,iKON,2017-05-22,발끝까지,ko
BLING BLING ,iKON,2017-05-22,갈,ko
BLING BLING ,iKON,2017-05-22,때까지,ko
BLING BLING ,iKON,2017-05-22,가,ko
BLING BLING ,iKON,2017-05-22,우린,ko
BLING BLING ,iKON,2017-05-22,잘,ko
BLING BLING ,iKON,2017-05-22,노는,ko
BLING BLING ,iKON,2017-05-22,한국인,ko
BLING BLING ,iKON,2017-05-22,스타일,ko
BLING BLING ,iKON,2017-05-22,챙기고,ko
BLING BLING ,iKON,2017-05-22,한,ko
BLING BLING ,iKON,2017-05-22,모금,ko
BLING BLING ,iKON,2017-05-22,적시고,ko
BLING BLING ,iKON,2017-05-22,정신이,ko
BLING BLING ,iKON,2017-05-22,나갈,ko
BLING BLING ,iKON,2017-05-22,때까지,ko
BLING BLING ,iKON,2017-05-22,all,en
BLING BLING ,iKON,2017-05-22,night,en
BLING BLING ,iKON,2017-05-22,long,en
BLING BLING ,iKON,2017-05-22,여자들은,ko
BLING BLING ,iKON,2017-05-22,get,en
BLING BLING ,iKON,2017-05-22,low,en
BLING BLING ,iKON,2017-05-22,now,en
BLING BLING ,iKON,2017-05-22,tell,en
BLING BLING ,iKON,2017-05-22,me,en
BLING BLING ,iKON,2017-05-22,let,en
BLING BLING ,iKON,2017-05-22,me,en
BLING BLING ,iKON,2017-05-22,know,en
BLING BLING ,iKON,2017-05-22,119에,ko
BLING BLING ,iKON,2017-05-22,전화,ko
BLING BLING ,iKON,2017-05-22,걸어,ko
BLING BLING ,iKON,2017-05-22,우린,ko
BLING BLING ,iKON,2017-05-22,방화범,ko
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,완전,ko
BLING BLING ,iKON,2017-05-22,멋쟁이,ko
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,눈이,ko
BLING BLING ,iKON,2017-05-22,부셔,ko
BLING BLING ,iKON,2017-05-22,24k,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,완전,ko
BLING BLING ,iKON,2017-05-22,멋쟁이,ko
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,눈이,ko
BLING BLING ,iKON,2017-05-22,부셔,ko
BLING BLING ,iKON,2017-05-22,24시,ko
BLING BLING ,iKON,2017-05-22,동해,ko
BLING BLING ,iKON,2017-05-22,번쩍,ko
BLING BLING ,iKON,2017-05-22,서해,ko
BLING BLING ,iKON,2017-05-22,번쩍,ko
BLING BLING ,iKON,2017-05-22,어딜,ko
BLING BLING ,iKON,2017-05-22,가도,ko
BLING BLING ,iKON,2017-05-22,번쩍번쩍,ko
BLING BLING ,iKON,2017-05-22,내가,ko
BLING BLING ,iKON,2017-05-22,봐도,ko
BLING BLING ,iKON,2017-05-22,난,ko
BLING BLING ,iKON,2017-05-22,좀,ko
BLING BLING ,iKON,2017-05-22,멋져,ko
BLING BLING ,iKON,2017-05-22,물,ko
BLING BLING ,iKON,2017-05-22,만났어,ko
BLING BLING ,iKON,2017-05-22,첨벙첨벙,ko
BLING BLING ,iKON,2017-05-22,네가,ko
BLING BLING ,iKON,2017-05-22,내게,ko
BLING BLING ,iKON,2017-05-22,무슨,ko
BLING BLING ,iKON,2017-05-22,말을,ko
BLING BLING ,iKON,2017-05-22,하던지,ko
BLING BLING ,iKON,2017-05-22,상관,ko
BLING BLING ,iKON,2017-05-22,안,ko
BLING BLING ,iKON,2017-05-22,해,ko
BLING BLING ,iKON,2017-05-22,내,ko
BLING BLING ,iKON,2017-05-22,미래가,ko
BLING BLING ,iKON,2017-05-22,밝아서,ko
BLING BLING ,iKON,2017-05-22,눈부셔,ko
BLING BLING ,iKON,2017-05-22,선글라스를,ko
BLING BLING ,iKON,2017-05-22,더,ko
BLING BLING ,iKON,2017-05-22,구매해,ko
BLING BLING ,iKON,2017-05-22,안,ko
BLING BLING ,iKON,2017-05-22,친한,ko
BLING BLING ,iKON,2017-05-22,놈들의,ko
BLING BLING ,iKON,2017-05-22,악수에,ko
BLING BLING ,iKON,2017-05-22,무관심,ko
BLING BLING ,iKON,2017-05-22,차가워,ko
BLING BLING ,iKON,2017-05-22,헛기침하게,ko
BLING BLING ,iKON,2017-05-22,해,ko
BLING BLING ,iKON,2017-05-22,눈웃음,ko
BLING BLING ,iKON,2017-05-22,한방에,ko
BLING BLING ,iKON,2017-05-22,니,ko
BLING BLING ,iKON,2017-05-22,여친,ko
BLING BLING ,iKON,2017-05-22,유혹해,ko
BLING BLING ,iKON,2017-05-22,박수,ko
BLING BLING ,iKON,2017-05-22,세례를,ko
BLING BLING ,iKON,2017-05-22,받아,ko
BLING BLING ,iKON,2017-05-22,우리들의,ko
BLING BLING ,iKON,2017-05-22,존재는,ko
BLING BLING ,iKON,2017-05-22,everywhere,en
BLING BLING ,iKON,2017-05-22,영화,ko
BLING BLING ,iKON,2017-05-22,속,ko
BLING BLING ,iKON,2017-05-22,주인공,ko
BLING BLING ,iKON,2017-05-22,thats,en
BLING BLING ,iKON,2017-05-22,me,en
BLING BLING ,iKON,2017-05-22,금은보화,ko
BLING BLING ,iKON,2017-05-22,in,en
BLING BLING ,iKON,2017-05-22,my,en
BLING BLING ,iKON,2017-05-22,주머니,ko
BLING BLING ,iKON,2017-05-22,빠지지,ko
BLING BLING ,iKON,2017-05-22,않지만,ko
BLING BLING ,iKON,2017-05-22,절대,ko
BLING BLING ,iKON,2017-05-22,빼지,ko
BLING BLING ,iKON,2017-05-22,않지,ko
BLING BLING ,iKON,2017-05-22,난리,ko
BLING BLING ,iKON,2017-05-22,난리,ko
BLING BLING ,iKON,2017-05-22,나,ko
BLING BLING ,iKON,2017-05-22,우린,ko
BLING BLING ,iKON,2017-05-22,잘,ko
BLING BLING ,iKON,2017-05-22,빠진,ko
BLING BLING ,iKON,2017-05-22,한국인,ko
BLING BLING ,iKON,2017-05-22,스타일,ko
BLING BLING ,iKON,2017-05-22,챙기고,ko
BLING BLING ,iKON,2017-05-22,한,ko
BLING BLING ,iKON,2017-05-22,모금,ko
BLING BLING ,iKON,2017-05-22,적시고,ko
BLING BLING ,iKON,2017-05-22,정신이,ko
BLING BLING ,iKON,2017-05-22,나갈,ko
BLING BLING ,iKON,2017-05-22,때까지,ko
BLING BLING ,iKON,2017-05-22,all,en
BLING BLING ,iKON,2017-05-22,night,en
BLING BLING ,iKON,2017-05-22,long,en
BLING BLING ,iKON,2017-05-22,여자들은,ko
BLING BLING ,iKON,2017-05-22,get,en
BLING BLING ,iKON,2017-05-22,low,en
BLING BLING ,iKON,2017-05-22,now,en
BLING BLING ,iKON,2017-05-22,tell,en
BLING BLING ,iKON,2017-05-22,me,en
BLING BLING ,iKON,2017-05-22,let,en
BLING BLING ,iKON,2017-05-22,me,en
BLING BLING ,iKON,2017-05-22,know,en
BLING BLING ,iKON,2017-05-22,119에,ko
BLING BLING ,iKON,2017-05-22,전화,ko
BLING BLING ,iKON,2017-05-22,걸어,ko
BLING BLING ,iKON,2017-05-22,우린,ko
BLING BLING ,iKON,2017-05-22,방화범,ko
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,완전,ko
BLING BLING ,iKON,2017-05-22,멋쟁이,ko
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,눈이,ko
BLING BLING ,iKON,2017-05-22,부셔,ko
BLING BLING ,iKON,2017-05-22,24k,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,완전,ko
BLING BLING ,iKON,2017-05-22,멋쟁이,ko
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,눈이,ko
BLING BLING ,iKON,2017-05-22,부셔,ko
BLING BLING ,iKON,2017-05-22,24시,ko
BLING BLING ,iKON,2017-05-22,동해,ko
BLING BLING ,iKON,2017-05-22,번쩍,ko
BLING BLING ,iKON,2017-05-22,서해,ko
BLING BLING ,iKON,2017-05-22,번쩍,ko
BLING BLING ,iKON,2017-05-22,어딜,ko
BLING BLING ,iKON,2017-05-22,가도,ko
BLING BLING ,iKON,2017-05-22,번쩍번쩍,ko
BLING BLING ,iKON,2017-05-22,내가,ko
BLING BLING ,iKON,2017-05-22,봐도,ko
BLING BLING ,iKON,2017-05-22,난,ko
BLING BLING ,iKON,2017-05-22,좀,ko
BLING BLING ,iKON,2017-05-22,멋져,ko
BLING BLING ,iKON,2017-05-22,물,ko
BLING BLING ,iKON,2017-05-22,만났어,ko
BLING BLING ,iKON,2017-05-22,첨벙첨벙,ko
BLING BLING ,iKON,2017-05-22,목걸이와,ko
BLING BLING ,iKON,2017-05-22,귀걸이,ko
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,내,ko
BLING BLING ,iKON,2017-05-22,반지와,ko
BLING BLING ,iKON,2017-05-22,신발이,ko
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,bling,en
BLING BLING ,iKON,2017-05-22,머리부터,ko
BLING BLING ,iKON,2017-05-22,발끝까지,ko
BLING BLING ,iKON,2017-05-22,사치,ko
BLING BLING ,iKON,2017-05-22,사치,ko
BLING BLING ,iKON,2017-05-22,사치,ko
BLING BLING ,iKON,2017-05-22,yeah,en
BLING BLING ,iKON,2017-05-22,저녁부터,ko
BLING BLING ,iKON,2017-05-22,아침까지,ko
BLING BLING ,iKON,2017-05-22,잔치,ko
BLING BLING ,iKON,2017-05-22,잔치,ko
BLING BLING ,iKON,2017-05-22,잔치해,ko
BLING BLING ,iKON,2017-05-22,샴페인,ko
BLING BLING ,iKON,2017-05-22,pop,en
BLING BLING ,iKON,2017-05-22,pop,en
BLING BLING ,iKON,2017-05-22,pop,en
BLING BLING ,iKON,2017-05-22,건배,ko
BLING BLING ,iKON,2017-05-22,짠짠짠,ko
BLING BLING ,iKON,2017-05-22,모두,ko
BLING BLING ,iKON,2017-05-22,떼,ko
BLING BLING ,iKON,2017-05-22,창창창,ko
BLING BLING ,iKON,2017-05-22,oh,en
BLING BLING ,iKON,2017-05-22,oh,en
BLING BLING ,iKON,2017-05-22,oh,en
BLING BLING ,iKON,2017-05-22,oh,en
BLING BLING ,iKON,2017-05-22,oh,en
