title,artist,date,word,language
Dive (뛰어들게) ,iKON,2020-02-06,낮과,ko
Dive (뛰어들게) ,iKON,2020-02-06,밤,ko
Dive (뛰어들게) ,iKON,2020-02-06,침묵이,ko
Dive (뛰어들게) ,iKON,2020-02-06,찾아와,ko
Dive (뛰어들게) ,iKON,2020-02-06,기꺼이,ko
Dive (뛰어들게) ,iKON,2020-02-06,네,ko
Dive (뛰어들게) ,iKON,2020-02-06,세상에,ko
Dive (뛰어들게) ,iKON,2020-02-06,갇힐게,ko
Dive (뛰어들게) ,iKON,2020-02-06,애틋한,ko
Dive (뛰어들게) ,iKON,2020-02-06,한마디면,ko
Dive (뛰어들게) ,iKON,2020-02-06,나는,ko
Dive (뛰어들게) ,iKON,2020-02-06,괜찮아,ko
Dive (뛰어들게) ,iKON,2020-02-06,그,ko
Dive (뛰어들게) ,iKON,2020-02-06,고운,ko
Dive (뛰어들게) ,iKON,2020-02-06,미소,ko
Dive (뛰어들게) ,iKON,2020-02-06,내가,ko
Dive (뛰어들게) ,iKON,2020-02-06,지킬,ko
Dive (뛰어들게) ,iKON,2020-02-06,테니,ko
Dive (뛰어들게) ,iKON,2020-02-06,너는,ko
Dive (뛰어들게) ,iKON,2020-02-06,그대로만,ko
Dive (뛰어들게) ,iKON,2020-02-06,있어,ko
Dive (뛰어들게) ,iKON,2020-02-06,눈이,ko
Dive (뛰어들게) ,iKON,2020-02-06,멀었다,ko
Dive (뛰어들게) ,iKON,2020-02-06,그깟,ko
Dive (뛰어들게) ,iKON,2020-02-06,사랑,ko
Dive (뛰어들게) ,iKON,2020-02-06,따위에,ko
Dive (뛰어들게) ,iKON,2020-02-06,뛰어들었다,ko
Dive (뛰어들게) ,iKON,2020-02-06,네가,ko
Dive (뛰어들게) ,iKON,2020-02-06,사는,ko
Dive (뛰어들게) ,iKON,2020-02-06,세상에,ko
Dive (뛰어들게) ,iKON,2020-02-06,넌,ko
Dive (뛰어들게) ,iKON,2020-02-06,나를,ko
Dive (뛰어들게) ,iKON,2020-02-06,뜨겁게,ko
Dive (뛰어들게) ,iKON,2020-02-06,해,ko
Dive (뛰어들게) ,iKON,2020-02-06,정신,ko
Dive (뛰어들게) ,iKON,2020-02-06,못,ko
Dive (뛰어들게) ,iKON,2020-02-06,차리게,ko
Dive (뛰어들게) ,iKON,2020-02-06,해,ko
Dive (뛰어들게) ,iKON,2020-02-06,넌,ko
Dive (뛰어들게) ,iKON,2020-02-06,나를,ko
Dive (뛰어들게) ,iKON,2020-02-06,날개도,ko
Dive (뛰어들게) ,iKON,2020-02-06,없이,ko
Dive (뛰어들게) ,iKON,2020-02-06,하늘을,ko
Dive (뛰어들게) ,iKON,2020-02-06,날게,ko
Dive (뛰어들게) ,iKON,2020-02-06,해,ko
Dive (뛰어들게) ,iKON,2020-02-06,뛰어들게,ko
Dive (뛰어들게) ,iKON,2020-02-06,네가,ko
Dive (뛰어들게) ,iKON,2020-02-06,불길이라면,ko
Dive (뛰어들게) ,iKON,2020-02-06,나는,ko
Dive (뛰어들게) ,iKON,2020-02-06,따뜻하다며,ko
Dive (뛰어들게) ,iKON,2020-02-06,타오를게,ko
Dive (뛰어들게) ,iKON,2020-02-06,뛰어들게,ko
Dive (뛰어들게) ,iKON,2020-02-06,가시밭길이라면,ko
Dive (뛰어들게) ,iKON,2020-02-06,나는,ko
Dive (뛰어들게) ,iKON,2020-02-06,부드럽다며,ko
Dive (뛰어들게) ,iKON,2020-02-06,몸,ko
Dive (뛰어들게) ,iKON,2020-02-06,던질게,ko
Dive (뛰어들게) ,iKON,2020-02-06,네가,ko
Dive (뛰어들게) ,iKON,2020-02-06,나를,ko
Dive (뛰어들게) ,iKON,2020-02-06,벼랑,ko
Dive (뛰어들게) ,iKON,2020-02-06,끝에,ko
Dive (뛰어들게) ,iKON,2020-02-06,세운다면,ko
Dive (뛰어들게) ,iKON,2020-02-06,날고,ko
Dive (뛰어들게) ,iKON,2020-02-06,싶다며,ko
Dive (뛰어들게) ,iKON,2020-02-06,떨어질게,ko
Dive (뛰어들게) ,iKON,2020-02-06,에이,ko
Dive (뛰어들게) ,iKON,2020-02-06,네가,ko
Dive (뛰어들게) ,iKON,2020-02-06,나를,ko
Dive (뛰어들게) ,iKON,2020-02-06,어둠,ko
Dive (뛰어들게) ,iKON,2020-02-06,속에,ko
