title,artist,date,word,language
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,we,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,about,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,to,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,go,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,stupid,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,now,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,lets,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,get,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,dumb,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,then,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,get,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,dumber,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,lets,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,get,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,dumb,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,olle,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,olle,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,lets,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,get,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,dumb,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,bibobby,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,olle,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,olle,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,lets,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,get,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,dumb,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,olle,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,olle,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,bibobby,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,we,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,goin,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,yeah,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,난,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,품위,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,없어,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,난,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,숨김없어,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,그래서,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,수위는,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,높아,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,숨,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,쉴,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,틈이,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,없어,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,자연스런,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,슬랩스틱,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,오늘,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,파티,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,느낌은,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,클래식,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,yeah,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,짐,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,캐리보다,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,더,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,getting,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,dumb,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,맘껏,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,뽐내,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,너의,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,객기,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,눈,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,돌아가지,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,when,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,i,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,enter,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,the,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,room,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,싫을,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,만도,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,하지,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,너의,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,spotlight,en
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,은,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,내,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,꺼,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,춤을,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,춰,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,춤을,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,춰,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,집,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,나간,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,정신,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,뜨거운,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,오늘,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,밤,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,들어와,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,여기,ko
Dumb & Dumber (덤앤더머) ,iKON,2015-12-24,uh,en
