title,artist,date,word,language
FREEDOM (바람) ,iKON,2018-08-02,아직,ko
FREEDOM (바람) ,iKON,2018-08-02,어른이,ko
FREEDOM (바람) ,iKON,2018-08-02,되긴,ko
FREEDOM (바람) ,iKON,2018-08-02,멀었지,ko
FREEDOM (바람) ,iKON,2018-08-02,너무,ko
FREEDOM (바람) ,iKON,2018-08-02,무거워,ko
FREEDOM (바람) ,iKON,2018-08-02,철들기,ko
FREEDOM (바람) ,iKON,2018-08-02,지금,ko
FREEDOM (바람) ,iKON,2018-08-02,아니면,ko
FREEDOM (바람) ,iKON,2018-08-02,하지,ko
FREEDOM (바람) ,iKON,2018-08-02,못하는,ko
FREEDOM (바람) ,iKON,2018-08-02,여러,ko
FREEDOM (바람) ,iKON,2018-08-02,가지,ko
FREEDOM (바람) ,iKON,2018-08-02,울타리,ko
FREEDOM (바람) ,iKON,2018-08-02,벗어나서,ko
FREEDOM (바람) ,iKON,2018-08-02,자유를,ko
FREEDOM (바람) ,iKON,2018-08-02,걸어가지,ko
FREEDOM (바람) ,iKON,2018-08-02,꼰대들은,ko
FREEDOM (바람) ,iKON,2018-08-02,dont,en
FREEDOM (바람) ,iKON,2018-08-02,touch,en
FREEDOM (바람) ,iKON,2018-08-02,me,en
FREEDOM (바람) ,iKON,2018-08-02,나는,ko
FREEDOM (바람) ,iKON,2018-08-02,나일,ko
FREEDOM (바람) ,iKON,2018-08-02,때,ko
FREEDOM (바람) ,iKON,2018-08-02,포텐,ko
FREEDOM (바람) ,iKON,2018-08-02,터지지,ko
FREEDOM (바람) ,iKON,2018-08-02,알,ko
FREEDOM (바람) ,iKON,2018-08-02,수,ko
FREEDOM (바람) ,iKON,2018-08-02,없기에,ko
FREEDOM (바람) ,iKON,2018-08-02,인생,ko
FREEDOM (바람) ,iKON,2018-08-02,재밌지,ko
FREEDOM (바람) ,iKON,2018-08-02,나는,ko
FREEDOM (바람) ,iKON,2018-08-02,중,ko
FREEDOM (바람) ,iKON,2018-08-02,2병,ko
FREEDOM (바람) ,iKON,2018-08-02,사춘기,ko
FREEDOM (바람) ,iKON,2018-08-02,we,en
FREEDOM (바람) ,iKON,2018-08-02,love,en
FREEDOM (바람) ,iKON,2018-08-02,it,en
FREEDOM (바람) ,iKON,2018-08-02,여기,ko
FREEDOM (바람) ,iKON,2018-08-02,여기,ko
FREEDOM (바람) ,iKON,2018-08-02,모여,ko
FREEDOM (바람) ,iKON,2018-08-02,하늘엔,ko
FREEDOM (바람) ,iKON,2018-08-02,별이,ko
FREEDOM (바람) ,iKON,2018-08-02,많이,ko
FREEDOM (바람) ,iKON,2018-08-02,보여,ko
FREEDOM (바람) ,iKON,2018-08-02,평범한,ko
FREEDOM (바람) ,iKON,2018-08-02,세상과는,ko
FREEDOM (바람) ,iKON,2018-08-02,안,ko
FREEDOM (바람) ,iKON,2018-08-02,어울려,ko
FREEDOM (바람) ,iKON,2018-08-02,넌,ko
FREEDOM (바람) ,iKON,2018-08-02,몰라,ko
FREEDOM (바람) ,iKON,2018-08-02,you,en
FREEDOM (바람) ,iKON,2018-08-02,dont,en
FREEDOM (바람) ,iKON,2018-08-02,understand,en
FREEDOM (바람) ,iKON,2018-08-02,자유롭기를,ko
FREEDOM (바람) ,iKON,2018-08-02,원해,ko
FREEDOM (바람) ,iKON,2018-08-02,망가진대도,ko
FREEDOM (바람) ,iKON,2018-08-02,난,ko
