title,artist,date,word,language
GOODBYE ROAD (이별길) ,iKON,2018-10-02,이별을,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,알았다면,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,그토록,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,사랑하지,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,말,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,걸,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,그랬나,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,봐요,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,check,en
GOODBYE ROAD (이별길) ,iKON,2018-10-02,it,en
GOODBYE ROAD (이별길) ,iKON,2018-10-02,out,en
GOODBYE ROAD (이별길) ,iKON,2018-10-02,yo,en
GOODBYE ROAD (이별길) ,iKON,2018-10-02,무덤덤해져,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,가는,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,서로의,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,감정,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,때문에,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,상처를,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,주는,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,것조차도,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,이제,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,무덤덤한,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,우리,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,이미,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,사랑은,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,떠났고,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,정밖에,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,남지,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,않았어,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,그냥,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,그런가,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,하고,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,뜨뜻미지근,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,해졌지,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,where,en
GOODBYE ROAD (이별길) ,iKON,2018-10-02,you,en
GOODBYE ROAD (이별길) ,iKON,2018-10-02,at,en
GOODBYE ROAD (이별길) ,iKON,2018-10-02,관심은,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,집착이,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,되어,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,버리고,ko
GOODBYE ROAD (이별길) ,iKON,2018-10-02,where,en
GOODBYE ROAD (이별길) ,iKON,2018-10-02,you,en
GOODBYE ROAD (이별길) ,iKON,2018-10-02,at,en
GOODBYE ROAD (이별길) ,iKON,2018-10-02,의심은,ko
