title,artist,date,word,language
I'M OK ,iKON,2019-01-07,위로하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,동정하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,곁에,ko
I'M OK ,iKON,2019-01-07,있어,ko
I'M OK ,iKON,2019-01-07,줄,ko
I'M OK ,iKON,2019-01-07,필요,ko
I'M OK ,iKON,2019-01-07,없어,ko
I'M OK ,iKON,2019-01-07,괜찮으니까,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,걱정하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,신경,ko
I'M OK ,iKON,2019-01-07,쓰지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,차라리,ko
I'M OK ,iKON,2019-01-07,혼자,ko
I'M OK ,iKON,2019-01-07,있는,ko
I'M OK ,iKON,2019-01-07,게,ko
I'M OK ,iKON,2019-01-07,난,ko
I'M OK ,iKON,2019-01-07,익숙하니까,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,듣기,ko
I'M OK ,iKON,2019-01-07,싫어,ko
I'M OK ,iKON,2019-01-07,모든,ko
I'M OK ,iKON,2019-01-07,힘이,ko
I'M OK ,iKON,2019-01-07,되는,ko
I'M OK ,iKON,2019-01-07,말들,ko
I'M OK ,iKON,2019-01-07,현실이,ko
I'M OK ,iKON,2019-01-07,무거워,ko
I'M OK ,iKON,2019-01-07,들지,ko
I'M OK ,iKON,2019-01-07,못해,ko
I'M OK ,iKON,2019-01-07,잠을,ko
I'M OK ,iKON,2019-01-07,채울,ko
I'M OK ,iKON,2019-01-07,걸,ko
I'M OK ,iKON,2019-01-07,찾다가,ko
I'M OK ,iKON,2019-01-07,채워지는,ko
I'M OK ,iKON,2019-01-07,잔들,ko
I'M OK ,iKON,2019-01-07,메마른,ko
I'M OK ,iKON,2019-01-07,내,ko
I'M OK ,iKON,2019-01-07,감정에,ko
I'M OK ,iKON,2019-01-07,솔직해지지,ko
I'M OK ,iKON,2019-01-07,가끔,ko
I'M OK ,iKON,2019-01-07,무덤덤하지,ko
I'M OK ,iKON,2019-01-07,어떤,ko
I'M OK ,iKON,2019-01-07,상황이,ko
I'M OK ,iKON,2019-01-07,와도,ko
I'M OK ,iKON,2019-01-07,혼자인,ko
I'M OK ,iKON,2019-01-07,게,ko
I'M OK ,iKON,2019-01-07,편할,ko
I'M OK ,iKON,2019-01-07,때도,ko
I'M OK ,iKON,2019-01-07,외로움은,ko
I'M OK ,iKON,2019-01-07,나를,ko
I'M OK ,iKON,2019-01-07,잡고,ko
I'M OK ,iKON,2019-01-07,하고픈,ko
I'M OK ,iKON,2019-01-07,게,ko
I'M OK ,iKON,2019-01-07,많아도,ko
I'M OK ,iKON,2019-01-07,무기력에,ko
I'M OK ,iKON,2019-01-07,무너져,ko
I'M OK ,iKON,2019-01-07,잘,ko
I'M OK ,iKON,2019-01-07,지내냐는,ko
I'M OK ,iKON,2019-01-07,물음에,ko
I'M OK ,iKON,2019-01-07,내,ko
I'M OK ,iKON,2019-01-07,답변은,ko
I'M OK ,iKON,2019-01-07,밝은,ko
I'M OK ,iKON,2019-01-07,미소,ko
I'M OK ,iKON,2019-01-07,세상,ko
I'M OK ,iKON,2019-01-07,속,ko
I'M OK ,iKON,2019-01-07,모두가,ko
I'M OK ,iKON,2019-01-07,내게,ko
I'M OK ,iKON,2019-01-07,등을,ko
I'M OK ,iKON,2019-01-07,돌린,ko
I'M OK ,iKON,2019-01-07,듯해,ko
I'M OK ,iKON,2019-01-07,초라한,ko
I'M OK ,iKON,2019-01-07,내,ko
I'M OK ,iKON,2019-01-07,모습,ko
I'M OK ,iKON,2019-01-07,한없이,ko
I'M OK ,iKON,2019-01-07,작아지네,ko
I'M OK ,iKON,2019-01-07,다가올,ko
I'M OK ,iKON,2019-01-07,외로움에,ko
I'M OK ,iKON,2019-01-07,사무쳤을,ko
I'M OK ,iKON,2019-01-07,때,ko
I'M OK ,iKON,2019-01-07,내,ko
I'M OK ,iKON,2019-01-07,눈물을,ko
I'M OK ,iKON,2019-01-07,보게,ko
I'M OK ,iKON,2019-01-07,되면,ko
I'M OK ,iKON,2019-01-07,부디,ko
I'M OK ,iKON,2019-01-07,모른척해,ko
I'M OK ,iKON,2019-01-07,줘,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,위로하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,동정하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,곁에,ko
I'M OK ,iKON,2019-01-07,있어,ko
I'M OK ,iKON,2019-01-07,줄,ko
I'M OK ,iKON,2019-01-07,필요,ko
I'M OK ,iKON,2019-01-07,없어,ko
I'M OK ,iKON,2019-01-07,괜찮으니까,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,걱정하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,신경,ko
I'M OK ,iKON,2019-01-07,쓰지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,차라리,ko
I'M OK ,iKON,2019-01-07,혼자,ko
I'M OK ,iKON,2019-01-07,있는,ko
I'M OK ,iKON,2019-01-07,게,ko
I'M OK ,iKON,2019-01-07,난,ko
I'M OK ,iKON,2019-01-07,익숙하니까,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,듣기,ko
I'M OK ,iKON,2019-01-07,싫어,ko
I'M OK ,iKON,2019-01-07,모든,ko
I'M OK ,iKON,2019-01-07,힘이,ko
I'M OK ,iKON,2019-01-07,되는,ko
I'M OK ,iKON,2019-01-07,말들,ko
I'M OK ,iKON,2019-01-07,난,ko
I'M OK ,iKON,2019-01-07,괜찮은데,ko
I'M OK ,iKON,2019-01-07,왜,ko
I'M OK ,iKON,2019-01-07,유난,ko
I'M OK ,iKON,2019-01-07,떠는지,ko
I'M OK ,iKON,2019-01-07,다들,ko
I'M OK ,iKON,2019-01-07,이별이,ko
I'M OK ,iKON,2019-01-07,날카로워,ko
I'M OK ,iKON,2019-01-07,조금,ko
I'M OK ,iKON,2019-01-07,긁혔을,ko
I'M OK ,iKON,2019-01-07,뿐,en
I'M OK ,iKON,2019-01-07,금방,ko
I'M OK ,iKON,2019-01-07,나아지겠지,ko
I'M OK ,iKON,2019-01-07,하루,ko
I'M OK ,iKON,2019-01-07,이틀,ko
I'M OK ,iKON,2019-01-07,지나면,ko
I'M OK ,iKON,2019-01-07,침묵의,ko
I'M OK ,iKON,2019-01-07,의미는,ko
I'M OK ,iKON,2019-01-07,꼭,ko
I'M OK ,iKON,2019-01-07,행복하라고,ko
I'M OK ,iKON,2019-01-07,눈물의,ko
I'M OK ,iKON,2019-01-07,의미는,ko
I'M OK ,iKON,2019-01-07,진실로,ko
I'M OK ,iKON,2019-01-07,사랑했다고,ko
I'M OK ,iKON,2019-01-07,그녀,ko
I'M OK ,iKON,2019-01-07,떠나간다고,ko
I'M OK ,iKON,2019-01-07,난,ko
I'M OK ,iKON,2019-01-07,죽지,ko
I'M OK ,iKON,2019-01-07,않으니,ko
I'M OK ,iKON,2019-01-07,생이,ko
I'M OK ,iKON,2019-01-07,끝난,ko
I'M OK ,iKON,2019-01-07,사람처럼,ko
I'M OK ,iKON,2019-01-07,날,ko
I'M OK ,iKON,2019-01-07,보지,ko
I'M OK ,iKON,2019-01-07,말아,ko
I'M OK ,iKON,2019-01-07,줘,ko
I'M OK ,iKON,2019-01-07,바람이,ko
I'M OK ,iKON,2019-01-07,스치면,ko
I'M OK ,iKON,2019-01-07,낙엽이,ko
I'M OK ,iKON,2019-01-07,흔들리고,ko
I'M OK ,iKON,2019-01-07,파도가,ko
I'M OK ,iKON,2019-01-07,스치면,ko
I'M OK ,iKON,2019-01-07,바다가,ko
I'M OK ,iKON,2019-01-07,흔들리듯,ko
I'M OK ,iKON,2019-01-07,사랑이,ko
I'M OK ,iKON,2019-01-07,스친,ko
I'M OK ,iKON,2019-01-07,나도,ko
I'M OK ,iKON,2019-01-07,흔들렸을,ko
I'M OK ,iKON,2019-01-07,뿐,en
I'M OK ,iKON,2019-01-07,내,ko
I'M OK ,iKON,2019-01-07,눈물을,ko
I'M OK ,iKON,2019-01-07,보게,ko
I'M OK ,iKON,2019-01-07,되면,ko
I'M OK ,iKON,2019-01-07,부디,ko
I'M OK ,iKON,2019-01-07,모른척해,ko
I'M OK ,iKON,2019-01-07,줘,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,위로하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,동정하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,곁에,ko
I'M OK ,iKON,2019-01-07,있어,ko
I'M OK ,iKON,2019-01-07,줄,ko
I'M OK ,iKON,2019-01-07,필요,ko
I'M OK ,iKON,2019-01-07,없어,ko
I'M OK ,iKON,2019-01-07,괜찮으니까,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,걱정하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,신경,ko
I'M OK ,iKON,2019-01-07,쓰지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,차라리,ko
I'M OK ,iKON,2019-01-07,혼자,ko
I'M OK ,iKON,2019-01-07,있는,ko
I'M OK ,iKON,2019-01-07,게,ko
I'M OK ,iKON,2019-01-07,난,ko
I'M OK ,iKON,2019-01-07,익숙하니까,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,내,ko
I'M OK ,iKON,2019-01-07,슬픔은,ko
I'M OK ,iKON,2019-01-07,별거,ko
I'M OK ,iKON,2019-01-07,아니라는,ko
I'M OK ,iKON,2019-01-07,듯,ko
I'M OK ,iKON,2019-01-07,웃어넘기려는,ko
I'M OK ,iKON,2019-01-07,네가,ko
I'M OK ,iKON,2019-01-07,난,ko
I'M OK ,iKON,2019-01-07,원망스러워,ko
I'M OK ,iKON,2019-01-07,leave,en
I'M OK ,iKON,2019-01-07,me,en
I'M OK ,iKON,2019-01-07,alone,en
I'M OK ,iKON,2019-01-07,내게,ko
I'M OK ,iKON,2019-01-07,다가오지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,어차피,ko
I'M OK ,iKON,2019-01-07,떠나갈,ko
I'M OK ,iKON,2019-01-07,사람,ko
I'M OK ,iKON,2019-01-07,정들까,ko
I'M OK ,iKON,2019-01-07,봐,ko
I'M OK ,iKON,2019-01-07,무서워,ko
I'M OK ,iKON,2019-01-07,준회제이,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,위로하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,동정하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,준회제이,ko
I'M OK ,iKON,2019-01-07,곁에,ko
I'M OK ,iKON,2019-01-07,있어,ko
I'M OK ,iKON,2019-01-07,줄,ko
I'M OK ,iKON,2019-01-07,필요,ko
I'M OK ,iKON,2019-01-07,없어,ko
I'M OK ,iKON,2019-01-07,괜찮으니까,ko
I'M OK ,iKON,2019-01-07,제이준회,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,걱정하지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,신경,ko
I'M OK ,iKON,2019-01-07,쓰지,ko
I'M OK ,iKON,2019-01-07,마,ko
I'M OK ,iKON,2019-01-07,제이준회,ko
I'M OK ,iKON,2019-01-07,차라리,ko
I'M OK ,iKON,2019-01-07,혼자,ko
I'M OK ,iKON,2019-01-07,있는,ko
I'M OK ,iKON,2019-01-07,게,ko
I'M OK ,iKON,2019-01-07,난,ko
I'M OK ,iKON,2019-01-07,익숙하니까,ko
I'M OK ,iKON,2019-01-07,im,en
I'M OK ,iKON,2019-01-07,ok,en
I'M OK ,iKON,2019-01-07,아무것도,ko
I'M OK ,iKON,2019-01-07,모르잖아,ko
I'M OK ,iKON,2019-01-07,넌,ko
I'M OK ,iKON,2019-01-07,다,ko
I'M OK ,iKON,2019-01-07,아는,ko
I'M OK ,iKON,2019-01-07,척하지,ko
I'M OK ,iKON,2019-01-07,말아,ko
I'M OK ,iKON,2019-01-07,줘,ko
I'M OK ,iKON,2019-01-07,날,ko
I'M OK ,iKON,2019-01-07,위한다는,ko
I'M OK ,iKON,2019-01-07,말,ko
I'M OK ,iKON,2019-01-07,오지랖도,ko
I'M OK ,iKON,2019-01-07,넓으셔,ko
I'M OK ,iKON,2019-01-07,혼자,ko
I'M OK ,iKON,2019-01-07,있고,ko
I'M OK ,iKON,2019-01-07,싶으니,ko
I'M OK ,iKON,2019-01-07,날,ko
I'M OK ,iKON,2019-01-07,좀,ko
I'M OK ,iKON,2019-01-07,내버려,ko
I'M OK ,iKON,2019-01-07,둬,ko
