title,artist,date,word,language
KILLING ME (죽겠다) ,iKON,2018-08-02,어김없이,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,너의,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,흔적이,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,남아,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,날,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,괴롭힌다,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,죽겠다,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,남,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,대하듯이,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,돌아섰는데,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,왜,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,나는,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,외로울까,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,초연할,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,줄,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,알았어,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,헤어짐에,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,대해,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,근데,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,널,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,닮은,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,습관,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,하나,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,버린다는,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,게,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,쉽지,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,않네,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,미련하게도,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,미련이,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,남아,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,후회,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,비슷한,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,걸,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,해,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,잘,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,먹고,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,잘,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,살고,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,있을,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,너와,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,달리,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,난,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,반쯤,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,죽어있네,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,몰랐던,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,거야,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,헤어짐의,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,그,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,무게를,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,이기적인,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,거야,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,외면했어,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,네,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,눈물을,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,죽겠다,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,또,en
KILLING ME (죽겠다) ,iKON,2018-08-02,어김없이,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,너의,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,흔적이,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,남아,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,날,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,괴롭힌다,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,죽겠다,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,남,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,대하듯이,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,돌아섰는데,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,왜,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,나는,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,외로울까,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,죽겠다,ko
KILLING ME (죽겠다) ,iKON,2018-08-02,죽겠다,ko
