title,artist,date,word,language
Rubber Band (고무줄다리기) ,iKON,2018-03-06,wo,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,ohh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,wo,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,wo,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,ohh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,wo,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,wo,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,ohh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,wo,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,wo,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,ohh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,wo,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,uh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,사랑의,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,온도,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,좀,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,미지근한,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,정도,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,요즘엔,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,혼자,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,있고,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,싶을,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,때가,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,있어,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,종종,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,oh,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,no,en
Rubber Band (고무줄다리기) ,iKON,2018-03-06,웬만한,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,일엔,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,화도,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,잘,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,안내,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,그,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,끝엔,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,진짜,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,끝이란,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,걸,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,알기에,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,반복되는,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,눈치,ko
Rubber Band (고무줄다리기) ,iKON,2018-03-06,싸움,ko
