release_date,name,artist
2023-07-13,Angel Pt. 2 (Acoustic Version),Fast & Furious: The Fast Saga
2023-06-28,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth & Muni Long) (Sped Up) [FAST X Soundtrack]",Fast & Furious: The Fast Saga
2023-06-15,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long / FAST X Soundtrack)",Fast & Furious: The Fast Saga
2023-06-09,Take Two,BTS
2023-05-18,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) (FAST X Soundtrack)",Fast & Furious: The Fast Saga
2023-02-15,There,Stray Kids
2023-01-28,THE SOUND,Stray Kids
2022-12-15,CASE 143 -Japanese ver.-,Stray Kids
2022-10-20,"Love in Contract, Pt. 3 (Original Television Soundtrack)",Stray Kids
2022-08-01,Mixtape : Time Out,Stray Kids
2023-07-07,NewJeans 'Super Shy',NewJeans
2023-06-20,Zero (J.I.D Remix),NewJeans
2023-05-31,Be Who You Are (Real Magic),Jon Batiste
2023-04-03,Zero,NewJeans
2023-01-02,NewJeans 'OMG',NewJeans
2023-05-31,Hare Hare,TWICE
2023-05-12,Hare Hare,TWICE
2023-03-17,SET ME FREE (Remixes),TWICE
2023-01-24,MOONLIGHT SUNRISE (The Remixes),TWICE
2023-01-20,MOONLIGHT SUNRISE,TWICE
2022-08-19,Pink Venom,BLACKPINK
2021-08-03,You Never Know (JP Ver.),BLACKPINK
2021-08-03,Pretty Savage (JP Ver.),BLACKPINK
2021-07-27,How You Like That (JP Ver.),BLACKPINK
2021-07-13,Lovesick Girls (JP Ver.),BLACKPINK
2023-07-19,Do It Like That (Jersey Club Remix),TOMORROW X TOGETHER
2023-07-07,Do It Like That,TOMORROW X TOGETHER
2023-06-30,紫陽花のような恋 (Hydrangea Love),TOMORROW X TOGETHER
2023-06-27,Sugar Rush Ride (Japanese Ver.),TOMORROW X TOGETHER
2023-02-22,Goodbye Now (Love Revolution X TOMORROW X TOGETHER) [Original Webtoon Soundtrack],TOMORROW X TOGETHER
2023-07-06,Barbie Dreams (feat. Kaliii) [From Barbie The Album],FIFTY FIFTY
2023-06-30,Cupid – Twin Ver. (Snack),FIFTY FIFTY
2023-06-16,Cupid – Twin Ver. (Slowed Down Version),FIFTY FIFTY
2023-02-24,The Beginning: Cupid,FIFTY FIFTY
2022-11-18,THE FIFTY,FIFTY FIFTY
2023-04-24,SEVENTEEN 10th Mini Album 'FML',SEVENTEEN
2023-01-17,BETTING,香取慎吾
2022-11-08,DREAM,SEVENTEEN
2022-08-26,_WORLD,SEVENTEEN
2022-04-15,Darl+ing,SEVENTEEN
2023-07-13,I DO,(G)I-DLE
2023-05-15,I feel,(G)I-DLE
2023-03-09,Expectations,Anne-Marie
2022-12-16,Nxde (Steve Aoki Remix),(G)I-DLE
2022-10-17,I love,(G)I-DLE
2023-07-11,One and Only,ENHYPEN
2023-05-22,DARK BLOOD,ENHYPEN
2022-11-28,"Summer Strike, Pt. 4 (Original Soundtrack)",ENHYPEN
2022-10-11,Make the change,ENHYPEN
2022-09-06,One In A Billion,ENHYPEN
2023-06-16,THE WORLD EP.2 : OUTLAW,ATEEZ
2023-03-22,Limitless,ATEEZ
2022-12-30,SPIN OFF : FROM THE WITNESS,ATEEZ
2022-11-30,THE WORLD EP.PARADIGM,ATEEZ
2022-09-09,Let′s Get Together,ATEEZ
2023-07-14,"Eve, Psyche & the Bluebeard’s wife (feat. UPSAHL)",LE SSERAFIM
2023-07-06,"Eve, Psyche & the Bluebeard’s wife (English Ver.)",LE SSERAFIM
2023-06-09,BASTIONS OST Part.4,LE SSERAFIM
2023-01-24,FEARLESS,LE SSERAFIM
2023-01-08,Choices,LE SSERAFIM
2023-06-30,Hear Me Out,EXO
2023-06-12,Let Me In,EXO
2023-04-15,BIRD (THE BEST Ver.),EXO
2021-06-07,DON'T FIGHT THE FEELING - Special Album,EXO
2020-04-21,BIRD (EXO PLANET #5 - EXplOration - in JAPAN),EXO
2023-07-13,I WANT,IVE
2023-05-31,WAVE,IVE
2023-05-09,WAVE,IVE
2023-03-27,Kitsch,IVE
2023-01-16,LOVE DIVE -Japanese version-,IVE
2023-05-08,MY WORLD - The 3rd Mini Album,aespa
2023-05-02,Welcome To MY World (feat. nævis),aespa
2023-03-30,Hold On Tight,aespa
2022-12-14,Beautiful Christmas,Red Velvet
2022-10-21,iScreaM Vol.18 : Girls Remixes,aespa
2022-12-14,Beautiful Christmas,Red Velvet
2022-11-28,‘The ReVe Festival 2022 - Birthday’,Red Velvet
2022-03-21,‘The ReVe Festival 2022 - Feel My Rhythm’,Red Velvet
2021-11-01,iScreaM Vol.12 : Bad Boy Remixes,Red Velvet
2021-10-15,iScreaM Vol.11 : Queendom Remix,Red Velvet
2023-06-19,Broken Melodies,NCT DREAM
2023-03-21,Beatbox (English Version),NCT DREAM
2023-02-08,Best Friend Ever,NCT DREAM
2022-12-16,Candy - Winter Special Mini Album,NCT DREAM
2022-06-21,iScreaM Vol.16 : Glitch Mode Remix,NCT DREAM
2022-11-30,CHESHIRE,ITZY
2022-10-21,Boys Like You,ITZY
2022-10-05,Blah Blah Blah,ITZY
2022-09-21,Blah Blah Blah,ITZY
2022-07-29,Break My Heart Myself (feat. YEJI & RYUJIN of ITZY),Bebe Rexha
2023-06-30,GRL GVNG,XG
2023-05-05,LEFT RIGHT REMIXX (FEAT. CIARA & JACKSON WANG // PROD BY JAKOPS),XG
2023-04-07,SHOOTING STAR REMIXX (PROD BY JAKOPS),XG
2023-01-25,SHOOTING STAR,XG
2022-06-29,MASCARA,XG
2023-04-24,Sunny Road,NCT 127
2023-02-17,iScreaM Vol.21 : 2 Baddies Remixes,NCT 127
2021-12-30,iScreaM Vol.13 : Sticker Remixes,NCT 127
2021-12-17,Amino Acid (Analog Trip NCT 127 Original Soundtrack),NCT 127
2021-11-03,"Freeze (KARTRIDER X LINE FRIENDS [Original Game Soundtrack], Pt. 1)",NCT 127
2021-06-28,SUPERSTAR,SHINee
2021-05-24,SUPERSTAR,SHINee
2021-03-27,iScreaM Vol.7 : Don't Call Me Remixes,SHINee
2018-07-27,Sunny Side,SHINee
2018-06-25,The Story of Light' EP.3 - The 6th Album,SHINee
2023-07-11,A Midsummer NMIXX’s Dream,NMIXX
2023-07-03,Roller Coaster,NMIXX
2023-03-20,expérgo,NMIXX
2023-03-12,"Young, Dumb, Stupid",NMIXX
2022-11-23,1st Intermixxion Single <Funky Glitter Christmas>,NMIXX
2023-04-05,Teddy Bear (Japanese Ver.),STAYC
2023-02-14,Teddy Bear,STAYC
2023-02-03,Poppy (Korean Ver.),STAYC
2022-11-23,POPPY (Japanese Ver.),STAYC
2022-07-19,WE NEED LOVE,STAYC
2023-06-09,JUMP (English Version),P1Harmony
2023-06-08,HARMONY : ALL IN,P1Harmony
2023-04-21,Super Chic,New Hope Club
2022-11-30,HARMONY : SET IN,P1Harmony
2022-07-20,HARMONY : ZERO IN,P1Harmony
2023-03-17,SWING,Play-N-Skillz
2023-01-09,REASON,MONSTA X
2022-09-30,Late Night Feels (Öwnboss Remix),Sam Feldt
2022-08-19,Late Night Feels (Jonasu Remix),Sam Feldt
2022-07-21,Late Night Feels,Sam Feldt
2020-11-06,ALL OUT,K/DA
2020-10-28,MORE,K/DA
2020-08-27,THE BADDEST,K/DA
2018-11-03,POP/STARS,K/DA
2023-05-24,[Apocalypse : From us],Dreamcatcher
2023-01-13,[REASON],Dreamcatcher
2022-10-11,[Apocalypse : Follow us],Dreamcatcher
2021-07-30,[Summer Holiday],Dreamcatcher
2021-03-24,Eclipse,Dreamcatcher
2023-02-19,[Hwa Sa Show Vol.3] MMM Simile,MAMAMOO
2022-10-11,MIC ON,MAMAMOO
2021-09-22,Where Are We Now -Japanese ver.-,MAMAMOO
2021-06-02,WAW,MAMAMOO
2021-01-27,AYA -Japanese ver.-,MAMAMOO
