name,popularity,followers,artist_uri
NewJeans,80,4069057,spotify:artist:6HvZYsbFfjnjFrWF950C9d
TWICE,79,18255717,spotify:artist:7n2Ycct7Beij7Dj7meI4X0
BLACKPINK,82,43311140,spotify:artist:41MozSoPIsD1dJM0CLPjZF
TOMORROW X TOGETHER,76,8324879,spotify:artist:0ghlgldX5Dd6720Q3qFyQB
FIFTY FIFTY,77,1032238,spotify:artist:4GJ6xDCF5jaUqD6avOuQT6
SEVENTEEN,78,9714730,spotify:artist:7nqOGRxlXj7N2JYbgNEjYH
(G)I-DLE,76,6506982,spotify:artist:2AfmfGFbe0A0WsTYm0SDTx
ENHYPEN,76,6021739,spotify:artist:5t5FqBwTcgKTaWmfEbwQY9
ATEEZ,72,3015640,spotify:artist:68KmkJeZGfwe1OUaivBa2L
LE SSERAFIM,76,2604976,spotify:artist:4SpbR6yFEvexJuaBpgAU5p
EXO,74,9697191,spotify:artist:3cjEqqelV9zb4BYE3qDQ4O
IVE,75,2477561,spotify:artist:6RHTUrRF63xao58xh9FXYJ
aespa,72,3409994,spotify:artist:6YVMFz59CuY7ngCxTxjpxE
Red Velvet,69,8567224,spotify:artist:1z4g3DjTBBZKhvAroFlhOM
NCT DREAM,73,6892829,spotify:artist:1gBUSTR3TyDdTVFIaQnc02
ITZY,68,5615591,spotify:artist:2KC9Qb60EaY0kW4eH68vr3
XG,66,687909,spotify:artist:0LOK81e9H5lr61HlGGHqwA
NMIXX,67,1689025,spotify:artist:28ot3wh4oNmoFOdVajibBl
NCT 127,66,6906365,spotify:artist:7f4ignuCJhLXfZ9giKT7rH
SHINee,65,3037727,spotify:artist:2hRQKC0gqlZGPrmUKbcchR
STAYC,62,1391473,spotify:artist:01XYiBYaoMJcNhPokrg0l0
P1Harmony,60,768860,spotify:artist:3JjvsPeGMbDJqsphe2z8xU
MONSTA X,62,5097455,spotify:artist:4TnGh5PKbSjpYqpIdlW5nz
K/DA,62,2047923,spotify:artist:4gOc8TsQed9eqnqJct2c5v
Dreamcatcher,60,1231458,spotify:artist:5V1qsQHdXNm4ZEZHWvFnqQ
MAMAMOO,62,6967601,spotify:artist:0XATRDCYuuGhk0oE7C0o5G
fromis_9,58,1086530,spotify:artist:24nUVBIlCGi4twz4nYxJum
LOONA,58,2402670,spotify:artist:52zMTJCKluDlFwMQWmccY7
Girls' Generation,61,2446365,spotify:artist:0Sadg1vgvaPqGTOjxu0N6c
BIGBANG,62,5144230,spotify:artist:4Kxlr1PRlDKEB0ekOCyHgX
NCT U,60,4076749,spotify:artist:3paGCCtX1Xr4Gx53mSeZuQ
The Rose,60,2244507,spotify:artist:5na1LmEmK2VzNLje9snJYW
DAY6,61,3150034,spotify:artist:5TnQc2N1iKlFjYD7CPGvFc
GOT7,58,6650838,spotify:artist:6nfDaffa50mKtEOwR8g4df
TREASURE,67,2885017,spotify:artist:3KonOYiLsU53m4yT7gNotP
NCT DOJAEJUNG,58,203177,spotify:artist:0W0w607z3JEA1vXLz9FVGw
Wonder Girls,55,752448,spotify:artist:3Cv2vi3WTl8VZOTdrBkKdM
THE BOYZ,57,2594014,spotify:artist:0CmvFWTX9zmMNCUi6fHtAx
IZ*ONE,59,1874351,spotify:artist:5r1tUTxVSgvBHnoDuDODPH
EVERGLOW,57,1832698,spotify:artist:3ZZzT0naD25RhY2uZvIKkJ
iKON,59,3509563,spotify:artist:5qRSs6mvI17zrkJpOHkCoM
Xdinary Heroes,56,731580,spotify:artist:1khChLj7REGqjM043PlYyn
GFRIEND,57,1538477,spotify:artist:0qlWcS66ohOIi0M8JZwPft
tripleS,53,204477,spotify:artist:5Z71xE9prhpHrqL5thVMyK
2NE1,57,2448446,spotify:artist:1l0mKo96Jh9HVYONcRl3Yp
ONEUS,52,868162,spotify:artist:3CVYSpM7nfHFG5qCTW7Ht9
NCT,53,5989423,spotify:artist:48eO052eSDcn8aTxiv6QaG
PENTAGON,53,2180183,spotify:artist:1wKpMkucynaTfG8lyPprYV
SUPER JUNIOR,56,2397490,spotify:artist:6gzXCdfYfFe5XKhPKkYqxV
ASTRO,56,1921640,spotify:artist:4pz4uzOMpJQyV8UTsDy4H8
f(x),50,1289823,spotify:artist:3wRA5UYoo08BBKJnzyKkpF
BTOB,55,1503006,spotify:artist:2hcsKca6hCfFMwwdbFvenJ
