,song_id,ko_tok,en_tok,ko_type,en_type
0,Lyrics/bts_ineedu.txt,184.0,143,117.0,18
1,Lyrics/itzy_mafiainthemorning.txt,138.0,192,89.0,52
2,Lyrics/bts_dynamite.txt,,431,,128
3,Lyrics/gidle_nxde.txt,113.0,158,85.0,57
4,Lyrics/nj_cookie.txt,190.0,122,72.0,39
5,Lyrics/t_knockknock.txt,149.0,248,80.0,38
6,Lyrics/txt_cantyouseeme.txt,93.0,227,61.0,43
7,Lyrics/sk_thunderous.txt,194.0,101,131.0,43
8,Lyrics/sk_miroh.txt,236.0,62,94.0,18
9,Lyrics/txt_catanddog.txt,198.0,175,90.0,35
10,Lyrics/itzy_notshy.txt,185.0,209,77.0,39
11,Lyrics/bts_permissiontodance.txt,,418,,128
12,Lyrics/sk_winterfalls.txt,257.0,116,163.0,21
13,Lyrics/t_oohahh.txt,229.0,105,112.0,34
14,Lyrics/t_talkthattalk.txt,149.0,227,100.0,72
15,Lyrics/bts_dna.txt,182.0,53,103.0,13
16,Lyrics/nj_attention.txt,76.0,198,54.0,45
17,Lyrics/gidle_uhoh.txt,192.0,103,107.0,47
18,Lyrics/t_signal.txt,238.0,48,91.0,9
19,Lyrics/t_fancy.txt,178.0,116,103.0,37
20,Lyrics/bp_shutdown.txt,57.0,357,43.0,117
21,Lyrics/gidle_tomboy.txt,56.0,252,44.0,104
22,Lyrics/bts_blackswan.txt,145.0,233,102.0,47
23,Lyrics/itzy_cheshire.txt,120.0,135,86.0,51
24,Lyrics/itzy_sneakers.txt,127.0,244,65.0,70
25,Lyrics/bts_idol.txt,106.0,198,69.0,60
26,Lyrics/bts_dope.txt,207.0,130,119.0,45
27,Lyrics/sk_godsmenu.txt,195.0,108,116.0,46
28,Lyrics/sk_levanter.txt,161.0,63,100.0,17
29,Lyrics/itzy_icy.txt,129.0,215,67.0,65
30,Lyrics/sk_timeout.txt,146.0,145,103.0,56
31,Lyrics/sk_iamyou.txt,268.0,105,135.0,27
32,Lyrics/sk_mixtapegonedays.txt,167.0,95,113.0,33
33,Lyrics/bts_on.txt,147.0,291,107.0,74
34,Lyrics/bp_playingwithfire.txt,145.0,84,95.0,31
35,Lyrics/bp_boombaya.txt,142.0,227,85.0,68
36,Lyrics/sk_sideeffects.txt,214.0,7,110.0,4
37,Lyrics/itzy_weapon.txt,96.0,235,52.0,95
38,Lyrics/bp_stay.txt,179.0,85,108.0,28
39,Lyrics/sk_hellevator.txt,248.0,51,170.0,9
40,Lyrics/t_dancethenightaway.txt,120.0,176,72.0,30
41,Lyrics/txt_oursummer.txt,131.0,19,93.0,5
42,Lyrics/sk_hellostranger.txt,242.0,29,135.0,4
43,Lyrics/itzy_midzy.txt,199.0,100,110.0,26
44,Lyrics/sk_mixtapeontrack.txt,265.0,79,148.0,15
45,Lyrics/bp_lovesickgirls.txt,140.0,184,85.0,72
46,Lyrics/sk_thestorythatwontend.txt,247.0,23,162.0,11
47,Lyrics/bts_epilogueyoungforever.txt,171.0,49,118.0,9
48,Lyrics/gidle_hwaa.txt,168.0,5,104.0,2
49,Lyrics/sk_christmasevel.txt,171.0,114,144.0,48
50,Lyrics/txt_yourlight.txt,160.0,79,112.0,30
51,Lyrics/bts_boywithluv.txt,164.0,203,100.0,55
52,Lyrics/t_heartshaker.txt,163.0,158,89.0,25
53,Lyrics/bp_howyoulikethat.txt,72.0,278,57.0,59
54,Lyrics/itzy_wannabe.txt,123.0,195,72.0,50
55,Lyrics/sk_maniac.txt,177.0,114,110.0,52
56,Lyrics/bp_ddududduddudu.txt,138.0,174,91.0,53
57,Lyrics/t_alcoholfree.txt,151.0,78,79.0,39
58,Lyrics/nj_ditto.txt,69.0,222,41.0,43
59,Lyrics/bts_fakelove.txt,212.0,192,86.0,34
60,Lyrics/sk_mypace.txt,209.0,70,120.0,29
61,Lyrics/t_tt.txt,223.0,95,115.0,24
62,Lyrics/lesserafim_unforgiven.txt,161.0,191,73.0,65
63,Lyrics/sk_doubleknot.txt,206.0,70,115.0,23
64,Lyrics/t_yesoryes.txt,215.0,150,117.0,54
65,Lyrics/bts_bloodsweattears.txt,220.0,24,91.0,17
66,Lyrics/bts_run.txt,240.0,109,122.0,16
67,Lyrics/txt_drama.txt,142.0,79,87.0,27
68,Lyrics/gidle_dumdidumdi.txt,181.0,74,114.0,29
69,Lyrics/t_thefeels.txt,,546,,123
70,Lyrics/t_whatislove.txt,186.0,141,109.0,11
71,Lyrics/txt_lover=loser.txt,111.0,233,79.0,52
72,Lyrics/bp_asifitsyourlast.txt,174.0,88,87.0,53
73,Lyrics/sk_top.txt,220.0,85,152.0,19
74,Lyrics/gidle_senorita.txt,127.0,172,75.0,24
75,Lyrics/bp_killthislove.txt,89.0,217,70.0,94
76,Lyrics/bts_lifegoeson.txt,162.0,76,121.0,24
77,Lyrics/itzy_boyslikeyou.txt,,494,,113
78,Lyrics/bts_yettocome.txt,155.0,218,115.0,70
79,Lyrics/sk_district9.txt,240.0,103,160.0,31
80,Lyrics/bts_nottoday.txt,172.0,229,96.0,56
81,Lyrics/gidle_ohmygod.txt,137.0,97,108.0,36
82,Lyrics/t_thebestthingieverdid.txt,190.0,75,80.0,16
83,Lyrics/t_cheerup.txt,231.0,105,139.0,24
84,Lyrics/t_scientist.txt,145.0,167,97.0,54
85,Lyrics/bts_micdrop.txt,231.0,149,140.0,57
86,Lyrics/bts_butter.txt,,381,,122
87,Lyrics/itzy_loco.txt,125.0,155,89.0,39
88,Lyrics/t_icantstopme.txt,155.0,162,96.0,46
